"Date/Time (PST)","T_0.4m (K)","T_2m (K)","u_0.4m (m s-1)","u_2m (m s-1)","Q* (W m-2)","u'w' (m2 s-2)","w'T' (K m s-1)","w'rho_v' (g m-2 s-1)","w'rho_CO2' (micromol m-2 s-1)","w'rho_CH4' (microåmol m-2 s-1)"
2016-07-23 00:30,    285.22,    287.27,      0.13,      0.90,    -58.69,   -0.0028,   -0.0031,   -0.0001,    0.6541,    0.0737
2016-07-23 01:00,    285.05,    287.09,      1.00,      1.20,    -60.17,   -0.0026,   -0.0057,   -0.0002,    1.0259,    0.0627
2016-07-23 01:30,    284.58,    286.51,      0.77,      0.89,    -58.16,   -0.0010,   -0.0024,    0.0008,    1.9357,    0.1300
2016-07-23 02:00,    284.44,    286.40,      0.08,      1.24,    -58.43,   -0.0030,   -0.0054,    0.0000,    0.8257,    0.0522
2016-07-23 02:30,    284.58,    286.50,      0.27,      1.33,    -58.81,   -0.0051,   -0.0077,   -0.0001,    0.8454,    0.0598
2016-07-23 03:00,    284.39,    286.43,      0.05,      1.06,    -58.25,   -0.0058,   -0.0080,   -0.0003,    1.2358,    0.0661
2016-07-23 03:30,    284.34,    286.29,      0.16,      1.25,    -59.01,   -0.0033,   -0.0055,    0.0005,    0.2732,    0.0537
2016-07-23 04:00,    283.82,    286.00,      0.61,      0.72,    -54.53,   -0.0013,    0.0002,    0.0010,    1.7546,    0.1168
2016-07-23 04:30,    282.68,    285.02,      0.03,      0.21,    -50.68,   -0.0023,   -0.0069,   -0.0026,    1.7314,    0.1152
2016-07-23 05:00,    281.96,    284.05,      0.00,      0.02,    -43.41,   -0.0299,   -0.0173,   -0.0043,    1.6983,    0.1130
2016-07-23 05:30,    283.00,    284.51,      0.00,      0.18,    -17.55,   -0.0029,   -0.0023,   -0.0002,    3.4867,    0.1105
2016-07-23 06:00,    286.65,    286.23,      0.37,      0.51,     21.30,   -0.0035,    0.0029,   -0.0007,    0.0393,    0.0426
2016-07-23 06:30,    289.44,    288.14,      0.74,      1.14,     46.97,   -0.0162,    0.0076,    0.0029,    1.1939,    0.1472
2016-07-23 07:00,    288.46,    288.32,      0.95,      1.32,     56.88,   -0.0169,    0.0124,    0.0013,   -0.4262,    0.0837
2016-07-23 07:30,    291.40,    289.66,      0.73,      1.30,    253.84,   -0.0451,    0.0823,    0.0227,    3.7981,    0.2152
2016-07-23 08:00,    292.66,    290.46,      1.25,      1.64,    373.87,   -0.0314,    0.1237,    0.0247,   -2.2807,    0.1397
2016-07-23 08:30,    291.66,    290.32,      1.29,      1.87,    240.05,   -0.0446,    0.0739,    0.0185,   -0.1360,    0.1472
2016-07-23 09:00,    293.02,    291.15,      1.52,      2.11,    405.86,   -0.0540,    0.1343,    0.0276,   -3.0766,    0.1286
2016-07-23 09:30,    293.48,    291.65,      1.84,      2.62,    491.58,   -0.0780,    0.1559,    0.0308,   -3.6309,    0.1259
2016-07-23 10:00,    293.62,    291.91,      1.77,      2.71,    541.18,   -0.1032,    0.1818,    0.0398,   -3.4982,    0.1325
2016-07-23 10:30,    294.36,    292.33,      1.78,      2.61,    585.65,   -0.0908,    0.2007,    0.0551,   -3.5439,    0.1481
2016-07-23 11:00,    294.68,    292.64,      1.78,      2.73,    617.62,   -0.1072,    0.1988,    0.0515,   -2.7043,    0.1308
2016-07-23 11:30,    295.34,    293.41,      1.68,      2.49,    637.68,   -0.0898,    0.2182,    0.0612,   -2.8962,    0.1391
2016-07-23 12:00,    295.58,    293.45,      1.46,      2.02,    651.06,   -0.0521,    0.1712,    0.0545,   -2.2784,    0.1146
2016-07-23 12:30,    296.09,    294.10,      1.29,      1.79,    654.40,   -0.0498,    0.2248,    0.0825,   -2.8151,    0.1522
2016-07-23 13:00,    296.43,    294.26,      1.06,      1.61,    646.12,   -0.0559,    0.2224,    0.0925,   -1.8552,    0.1572
2016-07-23 13:30,    296.67,    294.50,      1.56,      2.01,    631.79,   -0.0427,    0.1955,    0.0790,   -2.0640,    0.1350
2016-07-23 14:00,    296.82,    295.00,      1.17,      1.77,    605.90,   -0.0622,    0.2135,    0.0907,   -1.9420,    0.1603
2016-07-23 14:30,    297.03,    295.07,      1.53,      2.23,    566.89,   -0.0727,    0.1974,    0.0788,   -1.9379,    0.1478
2016-07-23 15:00,    297.10,    295.24,      1.75,      2.67,    532.62,   -0.1023,    0.1900,    0.0790,   -1.8663,    0.1498
2016-07-23 15:30,    296.99,    295.14,      1.77,      2.61,    491.26,   -0.0892,    0.1770,    0.0691,   -1.8299,    0.1473
2016-07-23 16:00,    297.31,    295.44,      1.75,      2.65,    464.16,   -0.0952,    0.1670,    0.0606,   -2.2035,    0.1474
2016-07-23 16:30,    297.26,    295.40,      1.90,      2.71,    389.20,   -0.0790,    0.1337,    0.0503,   -2.1634,    0.1323
2016-07-23 17:00,    297.15,    295.43,      1.67,      2.44,    313.98,   -0.0722,    0.1198,    0.0453,   -2.0368,    0.1497
2016-07-23 17:30,    297.10,    295.57,      1.45,      2.25,    248.94,   -0.0756,    0.1134,    0.0429,   -1.3340,    0.1781
2016-07-23 18:00,    296.08,    295.13,      1.80,      2.77,    164.66,   -0.0895,    0.0737,    0.0279,   -1.0425,    0.1522
2016-07-23 18:30,    294.59,    294.28,      1.66,      2.46,     68.01,   -0.0608,    0.0381,    0.0182,   -0.3711,    0.1375
2016-07-23 19:00,    293.41,    293.55,      1.32,      2.19,      5.61,   -0.0577,    0.0140,    0.0140,    0.1317,    0.1463
2016-07-23 19:30,    292.28,    292.80,      0.89,      1.59,    -40.06,   -0.0276,   -0.0027,    0.0050,    0.5942,    0.1224
2016-07-23 20:00,    291.01,    291.83,      0.16,      0.83,    -61.85,   -0.0043,   -0.0036,    0.0002,    0.4781,    0.1114
2016-07-23 20:30,    289.42,    290.57,      0.60,      0.65,    -63.42,   -0.0002,   -0.0015,   -0.0009,    2.2605,    0.1577
2016-07-23 21:00,    287.95,    289.46,      0.76,      0.96,    -61.82,   -0.0025,   -0.0042,   -0.0002,    2.2501,    0.1248
2016-07-23 21:30,    287.11,    288.76,      0.41,      0.61,    -59.44,   -0.0052,    0.0029,    0.0013,    2.1940,    0.1516
2016-07-23 22:00,    286.40,    288.24,      0.18,      0.33,    -56.66,   -0.0040,    0.0044,    0.0010,    2.1639,    0.1489
2016-07-23 22:30,    285.68,    287.72,      0.17,      0.33,    -55.36,   -0.0038,    0.0022,    0.0011,    2.1298,    0.1459
2016-07-23 23:00,    285.33,    287.68,      0.40,      0.51,    -54.37,   -0.0009,    0.0000,    0.0008,    2.0899,    0.1425
2016-07-23 23:30,    285.08,    287.31,      0.22,      0.31,    -52.82,   -0.0005,   -0.0003,   -0.0003,    2.0562,    0.1397
2016-07-24 00:00,    284.63,    286.51,      0.00,      0.07,    -48.93,   -0.0105,    0.0019,    0.0049,    2.0261,    0.1372
