"Date/Time (PST)","T_0.4m (K)","T_2m (K)","u_0.4m (m s-1)","u_2m (m s-1)","Q* (W m-2)","u'w' (m2 s-2)","w'T' (K m s-1)","w'rho_v' (g m-2 s-1)","w'rho_CO2' (micromol m-2 s-1)","w'rho_CH4' (microåmol m-2 s-1)"
2016-08-17 00:30,    289.07,    290.96,      1.02,      2.14,    -69.53,   -0.0400,   -0.0268,   -0.0000,    1.8307,    0.1101
2016-08-17 01:00,    289.12,    290.76,      0.94,      2.09,    -69.73,   -0.0443,   -0.0280,   -0.0000,    1.9296,    0.1210
2016-08-17 01:30,    288.97,    290.49,      1.30,      2.54,    -69.64,   -0.0687,   -0.0284,   -0.0002,    2.2059,    0.1128
2016-08-17 02:00,    288.81,    290.29,      1.23,      2.28,    -66.67,   -0.0417,   -0.0210,    0.0002,    1.9310,    0.0804
2016-08-17 02:30,    288.41,    290.03,      1.13,      2.24,    -65.68,   -0.0464,   -0.0242,   -0.0002,    1.8450,    0.1280
2016-08-17 03:00,    288.40,    290.02,      1.40,      2.55,    -65.82,   -0.0589,   -0.0226,   -0.0005,    1.2026,    0.1109
2016-08-17 03:30,    288.12,    289.82,      1.10,      2.15,    -63.44,   -0.0409,   -0.0207,   -0.0004,    1.5547,    0.1151
2016-08-17 04:00,    287.79,    289.60,      0.68,      1.65,    -62.04,   -0.0160,   -0.0147,   -0.0004,    1.5520,    0.0961
2016-08-17 04:30,    287.52,    289.32,      0.68,      1.68,    -64.52,   -0.0197,   -0.0175,   -0.0001,    1.7751,    0.1175
2016-08-17 05:00,    287.25,    289.07,      0.69,      1.63,    -66.78,   -0.0173,   -0.0143,   -0.0001,    0.4378,    0.1033
2016-08-17 05:30,    286.47,    288.66,      0.45,      0.63,    -56.41,   -0.0020,   -0.0025,   -0.0000,    0.3186,    0.0222
2016-08-17 06:00,    287.80,    288.82,      0.42,      0.89,    -28.56,   -0.0048,   -0.0019,    0.0010,    0.5653,    0.0684
2016-08-17 06:30,    291.77,    289.84,      1.04,      1.63,     22.56,   -0.0235,    0.0007,    0.0010,    0.0107,    0.0948
2016-08-17 07:00,    294.02,    290.81,      1.48,      2.07,     91.54,   -0.0339,    0.0177,    0.0046,   -0.5363,    0.0913
2016-08-17 07:30,    296.22,    291.67,      1.17,      1.90,    163.80,   -0.0535,    0.0409,    0.0091,   -0.5329,    0.1007
2016-08-17 08:00,    297.03,    292.46,      1.43,      2.17,    236.43,   -0.0615,    0.0733,    0.0149,    1.6637,    0.1086
2016-08-17 08:30,    297.88,    293.00,      1.53,      2.37,    307.72,   -0.0754,    0.0858,    0.0148,   -3.7878,    0.0818
2016-08-17 09:00,    297.20,    293.33,      2.03,      3.06,    371.74,   -0.1057,    0.1133,    0.0226,   -1.8668,    0.1084
2016-08-17 09:30,    297.89,    293.67,      2.22,      3.40,    434.26,   -0.1328,    0.1329,    0.0266,   -3.5273,    0.1149
2016-08-17 10:00,    298.72,    293.91,      2.30,      3.43,    485.70,   -0.1282,    0.1484,    0.0320,   -2.4539,    0.1178
2016-08-17 10:30,    298.41,    294.53,      2.25,      3.44,    529.65,   -0.1416,    0.1768,    0.0406,   -2.8582,    0.1090
2016-08-17 11:00,    299.55,    294.67,      2.33,      3.65,    563.78,   -0.1646,    0.1784,    0.0370,   -2.2569,    0.1033
2016-08-17 11:30,    299.74,    294.91,      2.30,      3.37,    586.25,   -0.1212,    0.1742,    0.0430,   -2.2624,    0.0993
2016-08-17 12:00,    300.25,    295.42,      2.33,      3.34,    599.98,   -0.1121,    0.1726,    0.0434,   -2.3824,    0.1132
2016-08-17 12:30,    300.90,    295.70,      2.29,      3.53,    605.07,   -0.1519,    0.1940,    0.0522,   -1.3555,    0.1303
2016-08-17 13:00,    300.87,    295.67,      2.21,      3.42,    598.57,   -0.1467,    0.1914,    0.0485,   -1.2754,    0.1221
2016-08-17 13:30,    300.65,    296.27,      2.33,      3.59,    582.65,   -0.1543,    0.1809,    0.0510,   -2.5508,    0.1116
2016-08-17 14:00,    300.83,    296.50,      2.68,      4.04,    556.92,   -0.1697,    0.1626,    0.0505,   -1.8378,    0.1439
2016-08-17 14:30,    301.09,    296.78,      2.43,      3.87,    519.33,   -0.1883,    0.1817,    0.0557,   -3.1436,    0.1137
2016-08-17 15:00,    301.55,    297.18,      2.56,      3.77,    471.23,   -0.1386,    0.1478,    0.0473,   -3.4696,    0.1502
2016-08-17 15:30,    301.45,    297.43,      2.66,      4.14,    417.29,   -0.1893,    0.1501,    0.0516,    0.4007,    0.1796
2016-08-17 16:00,    301.68,    297.88,      2.40,      3.59,    351.55,   -0.1314,    0.1187,    0.0436,    2.1638,    0.1511
2016-08-17 16:30,    300.63,    297.67,      2.74,      4.44,    286.57,   -0.2220,    0.1058,    0.0418,    0.9183,    0.1654
2016-08-17 17:00,    299.92,    297.61,      2.44,      3.84,    212.62,   -0.1538,    0.0678,    0.0302,   -1.5016,    0.1439
2016-08-17 17:30,    299.64,    297.62,      1.91,      3.21,    136.88,   -0.1300,    0.0467,    0.0284,    2.2477,    0.1317
2016-08-17 18:00,    298.12,    296.97,      2.03,      3.35,     64.25,   -0.1248,    0.0220,    0.0195,    0.4594,    0.1550
2016-08-17 18:30,    296.39,    296.41,      2.26,      3.80,      0.36,   -0.1511,   -0.0051,    0.0177,   -1.0067,    0.1678
2016-08-17 19:00,    294.81,    295.67,      1.44,      2.73,    -41.14,   -0.0908,   -0.0196,    0.0087,    1.9377,    0.1309
2016-08-17 19:30,    293.53,    294.75,      1.11,      2.37,    -59.99,   -0.0688,   -0.0310,    0.0055,    1.8997,    0.1600
2016-08-17 20:00,    292.46,    293.66,      0.72,      1.74,    -61.91,   -0.0332,   -0.0207,    0.0014,    1.6707,    0.1062
2016-08-17 20:30,    291.37,    292.65,      0.38,      0.69,    -55.78,   -0.0062,   -0.0095,    0.0003,    1.2773,    0.0704
2016-08-17 21:00,    289.28,    291.42,      0.70,      0.72,    -48.78,   -0.0005,    0.0031,   -0.0006,    2.2035,    0.1525
