"Date/Time (PST)","T_0.4m (K)","T_2m (K)","u_0.4m (m s-1)","u_2m (m s-1)","Q* (W m-2)","u'w' (m2 s-2)","w'T' (K m s-1)","w'rho_v' (g m-2 s-1)","w'rho_CO2' (micromol m-2 s-1)","w'rho_CH4' (microåmol m-2 s-1)"
2015-07-28 00:30,    284.69,    286.56,      0.00,      0.10,    -40.80,   -0.0101,   -0.0033,   -0.0021,    1.5385,    0.1032
2015-07-28 01:00,    284.13,    286.08,      0.00,      0.16,    -36.39,   -0.0020,   -0.0008,    0.0006,    1.5279,    0.1026
2015-07-28 01:30,    283.94,    285.63,      0.00,      0.02,    -36.87,   -0.0160,   -0.0140,   -0.0069,    1.5046,    0.1013
2015-07-28 02:00,    283.66,    285.30,      0.00,      0.13,    -38.93,   -0.0140,    0.0096,    0.0051,    1.4734,    0.0995
2015-07-28 02:30,    283.30,    284.69,      0.00,      0.13,    -46.26,   -0.0113,   -0.0111,   -0.0024,    1.4534,    0.0985
2015-07-28 03:00,    282.55,    284.39,      0.00,      0.09,    -44.92,   -0.0234,    0.0037,   -0.0008,    1.4322,    0.0973
2015-07-28 03:30,    281.93,    284.00,      0.00,      0.08,    -36.81,   -0.0199,   -0.0225,   -0.0118,    1.4032,    0.0959
2015-07-28 04:00,    281.42,    283.98,      0.00,      0.36,    -32.52,   -0.0124,   -0.0237,   -0.0046,    1.3742,    0.0944
2015-07-28 04:30,    281.55,    284.17,      0.03,      0.31,    -31.52,   -0.0051,   -0.0120,   -0.0012,    1.3413,    0.0928
2015-07-28 05:00,    281.16,    283.88,      0.00,      0.15,    -23.89,   -0.0083,   -0.0290,   -0.0039,    1.3153,    0.0916
2015-07-28 05:30,    282.32,    284.18,      0.00,      0.33,     -2.41,   -0.0276,   -0.0490,   -0.0216,    1.2830,    0.0901
2015-07-28 06:00,    286.55,    286.35,      0.46,      0.94,     16.33,   -0.0089,   -0.0018,    0.0007,    1.3409,    0.1221
2015-07-28 06:30,    289.33,    288.41,      0.41,      0.98,     63.74,   -0.0121,   -0.0032,    0.0068,    1.1888,    0.1370
2015-07-28 07:00,    290.65,    289.56,      1.20,      1.63,    136.21,   -0.0219,    0.0190,    0.0106,   -0.2020,    0.0967
2015-07-28 07:30,    292.02,    290.56,      1.15,      1.48,    211.44,   -0.0204,    0.0490,    0.0166,   -2.5413,    0.0891
2015-07-28 08:00,    293.07,    291.26,      1.40,      1.81,    276.77,   -0.0273,    0.0552,    0.0183,   -1.7387,    0.0934
2015-07-28 08:30,    293.73,    291.88,      1.38,      1.67,    339.78,   -0.0184,    0.0697,    0.0215,   -2.0265,    0.0937
2015-07-28 09:00,    294.23,    292.49,      1.37,      1.79,    402.70,   -0.0317,    0.0875,    0.0326,   -2.5597,    0.1060
2015-07-28 09:30,    294.64,    292.91,      1.36,      1.80,    472.73,   -0.0348,    0.1005,    0.0386,   -1.9592,    0.1044
2015-07-28 10:00,    294.98,    293.39,      0.94,      1.56,    519.46,   -0.0520,    0.0938,    0.0405,   -2.0528,    0.0855
2015-07-28 10:30,    295.92,    293.79,      0.36,      1.04,    567.60,   -0.0611,    0.1128,    0.0525,   -2.4638,    0.0999
2015-07-28 11:00,    296.27,    294.34,      0.99,      1.52,    604.23,   -0.0437,    0.1147,    0.0548,   -1.8522,    0.1000
2015-07-28 11:30,    296.93,    294.84,      1.16,      1.53,    623.41,   -0.0296,    0.1340,    0.0660,   -2.2898,    0.1080
2015-07-28 12:00,    297.16,    295.32,      0.54,      1.21,    632.11,   -0.0614,    0.1337,    0.0544,   -1.1457,    0.0991
2015-07-28 12:30,    297.79,    295.92,      0.61,      1.31,    640.59,   -0.0645,    0.1247,    0.0645,   -0.8927,    0.1081
2015-07-28 13:00,    298.40,    296.44,      1.01,      1.57,    638.94,   -0.0481,    0.1114,    0.0599,   -1.9903,    0.0823
2015-07-28 13:30,    299.09,    297.04,      0.95,      1.47,    619.73,   -0.0438,    0.1201,    0.0658,   -2.0025,    0.0855
2015-07-28 14:00,    299.18,    297.54,      0.00,      1.26,    608.82,   -0.1432,    0.1234,    0.0816,   -1.3708,    0.1153
2015-07-28 14:30,    299.14,    297.57,      0.23,      1.47,    518.54,   -0.1379,    0.1185,    0.0908,   -1.7961,    0.0454
2015-07-28 15:00,    299.68,    298.28,      0.54,      1.61,    491.92,   -0.1068,    0.0868,    0.0424,   -2.7548,    0.1185
2015-07-28 15:30,    299.65,    298.11,      0.86,      1.85,    445.25,   -0.0885,    0.0648,    0.0396,   -0.6163,    0.1019
2015-07-28 16:00,    300.00,    298.42,      0.89,      1.69,    400.03,   -0.0675,    0.0704,    0.0506,   -1.0788,    0.1022
2015-07-28 16:30,    300.04,    298.53,      0.85,      1.85,    329.33,   -0.0820,    0.0359,    0.0179,   -1.8046,    0.0623
2015-07-28 17:00,    300.03,    298.10,      1.65,      2.21,    252.01,   -0.0375,    0.0437,    0.0313,   -0.3945,    0.0892
2015-07-28 17:30,    299.55,    297.92,      1.45,      2.13,    182.10,   -0.0454,    0.0312,    0.0232,   -0.8616,    0.0874
2015-07-28 18:00,    298.59,    297.66,      0.84,      1.69,    109.49,   -0.0589,    0.0201,    0.0168,   -1.3515,    0.0863
2015-07-28 18:30,    296.97,    297.13,      0.86,      1.69,     41.77,   -0.0555,    0.0160,    0.0004,    0.0138,    0.1421
2015-07-28 19:00,    295.58,    295.93,      1.20,      1.44,    -19.31,   -0.0078,    0.0054,    0.0015,    0.0227,    0.0804
2015-07-28 19:30,    293.93,    294.34,      0.72,      1.31,    -59.21,   -0.0057,   -0.0033,    0.0011,    0.3839,    0.0628
2015-07-28 20:00,    291.92,    292.78,      0.00,      0.49,    -69.60,   -0.0335,    0.0270,   -0.0044,    2.1366,    0.1465
2015-07-28 20:30,    290.00,    291.67,      0.16,      0.57,    -64.46,   -0.0122,    0.0007,   -0.0025,    2.1302,    0.1460
2015-07-28 21:00,    288.23,    290.45,      0.00,      0.10,    -60.73,   -0.0203,   -0.0735,   -0.0128,    2.0715,    0.1410
2015-07-28 21:30,    286.88,    289.09,      0.05,      0.19,    -58.02,   -0.0013,   -0.0024,    0.0017,    2.0350,    0.1379
2015-07-28 22:00,    286.19,    288.45,      0.00,      0.25,    -54.72,   -0.0040,   -0.0085,   -0.0017,    2.0016,    0.1352
2015-07-28 22:30,    285.51,    287.70,      0.00,      0.11,    -53.64,   -0.0461,    0.0167,    0.0102,    1.9642,    0.1322
2015-07-28 23:00,    284.97,    286.93,      0.00,      0.09,    -51.09,   -0.0205,   -0.0174,   -0.0110,    1.9282,    0.1294
2015-07-28 23:30,    284.64,    286.29,      0.00,      0.15,    -40.32,   -0.0022,   -0.0067,   -0.0025,    1.8896,    0.1265
2015-07-29 00:00,    284.14,    285.94,      0.00,      0.19,    -35.99,   -0.0026,   -0.0146,    0.0014,    1.8529,    0.1238
