"Date/Time (PST)","T_0.4m (K)","T_2m (K)","u_0.4m (m s-1)","u_2m (m s-1)","Q* (W m-2)","u'w' (m2 s-2)","w'T' (K m s-1)","w'rho_v' (g m-2 s-1)","w'rho_CO2' (micromol m-2 s-1)","w'rho_CH4' (microåmol m-2 s-1)"
2016-08-27 00:30,    286.47,    288.54,      0.36,      0.51,    -43.95,   -0.0039,    0.0035,    0.0013,    1.9195,    0.1287
2016-08-27 01:00,    286.39,    288.82,      0.30,      0.48,    -41.70,   -0.0075,    0.0209,    0.0079,    1.8906,    0.1265
2016-08-27 01:30,    286.51,    290.09,      0.03,      0.53,    -43.26,   -0.0025,   -0.0015,    0.0007,    1.8498,    0.0257
2016-08-27 02:00,    286.93,    289.95,      0.17,      0.41,    -44.87,   -0.0039,   -0.0083,    0.0019,    1.8223,    0.1215
2016-08-27 02:30,    288.62,    291.22,      0.24,      1.46,    -51.16,   -0.0219,   -0.0274,    0.0002,    1.7859,    0.2904
2016-08-27 03:00,    289.25,    291.09,      0.61,      0.90,    -46.35,   -0.0053,   -0.0118,   -0.0007,    2.0229,    0.2128
2016-08-27 03:30,    288.40,    290.74,      0.00,      0.26,    -44.44,   -0.0093,    0.0054,    0.0028,    1.7447,    0.1161
2016-08-27 04:00,    288.03,    290.65,      0.54,      0.77,    -47.90,   -0.0035,   -0.0073,    0.0019,    1.7252,    0.1148
2016-08-27 04:30,    289.62,    291.41,      0.11,      1.27,    -52.07,   -0.0233,   -0.0257,   -0.0001,    2.4011,    0.1844
2016-08-27 05:00,    290.28,    291.66,      0.88,      2.10,    -53.68,   -0.0535,   -0.0340,    0.0005,    2.1416,    0.1701
2016-08-27 05:30,    290.34,    291.55,      1.26,      2.66,    -53.69,   -0.0951,   -0.0361,   -0.0004,    2.5224,    0.1525
2016-08-27 06:00,    290.25,    291.47,      0.59,      1.70,    -42.38,   -0.0368,   -0.0256,   -0.0005,    1.9782,    0.1899
2016-08-27 06:30,    290.72,    291.75,      1.33,      2.55,    -27.85,   -0.0711,   -0.0252,   -0.0004,    1.6173,    0.1724
2016-08-27 07:00,    291.43,    292.12,      0.91,      2.00,     19.96,   -0.0687,   -0.0094,    0.0017,    0.0923,    0.1544
2016-08-27 07:30,    292.04,    292.48,      1.41,      2.52,     88.79,   -0.0872,    0.0137,    0.0037,   -0.1047,    0.1115
2016-08-27 08:00,    294.24,    293.68,      1.93,      3.21,    226.67,   -0.1328,    0.0668,    0.0067,   -1.1621,    0.1399
2016-08-27 08:30,    295.77,    294.36,      2.48,      4.02,    323.91,   -0.1910,    0.1060,    0.0262,   -1.9493,    0.1385
2016-08-27 09:00,    294.77,    293.82,      2.65,      4.46,    220.12,   -0.2380,    0.0650,    0.0257,   -1.5083,    0.1431
2016-08-27 09:30,    293.58,    293.36,      1.58,      2.68,    131.92,   -0.0935,    0.0286,    0.0201,   -1.6106,    0.1159
2016-08-27 10:00,    293.37,    293.14,      1.21,      2.02,    129.45,   -0.0588,    0.0314,    0.0181,   -1.3759,    0.1464
2016-08-27 10:30,    293.46,    293.31,      1.21,      2.17,    207.43,   -0.0854,    0.0616,    0.0258,   -2.1299,    0.1347
2016-08-27 11:00,    295.07,    294.00,      1.58,      2.47,    454.12,   -0.0917,    0.1538,    0.0326,   -2.2776,    0.1216
2016-08-27 11:30,    295.70,    293.70,      2.70,      4.15,    503.87,   -0.1930,    0.1972,    0.0321,   -2.0844,    0.1039
2016-08-27 12:00,    294.00,    292.92,      2.40,      3.79,    419.12,   -0.1751,    0.1629,    0.0191,   -1.6768,    0.1001
2016-08-27 12:30,    295.54,    293.81,      2.90,      4.50,    590.27,   -0.2259,    0.2150,    0.0444,   -1.8480,    0.1226
2016-08-27 13:00,    295.82,    294.06,      2.82,      4.42,    581.50,   -0.2227,    0.2041,    0.0366,   -1.6868,    0.0945
2016-08-27 13:30,    295.95,    294.49,      2.63,      4.09,    596.82,   -0.1994,    0.2339,    0.0436,   -2.0765,    0.0999
2016-08-27 14:00,    295.81,    294.33,      2.89,      4.71,    548.22,   -0.2815,    0.2487,    0.0510,   -2.1445,    0.1166
2016-08-27 14:30,    295.11,    293.78,      2.48,      4.15,    432.44,   -0.2314,    0.1741,    0.0377,   -2.0277,    0.1234
2016-08-27 15:00,    295.47,    294.30,      2.46,      4.12,    404.97,   -0.2304,    0.1796,    0.0403,   -2.1627,    0.1369
2016-08-27 15:30,    296.63,    294.83,      2.33,      3.85,    511.19,   -0.2078,    0.2205,    0.0471,   -2.4480,    0.1098
2016-08-27 16:00,    294.93,    293.88,      2.43,      3.78,    205.99,   -0.1511,    0.0856,    0.0220,   -0.2867,    0.0865
2016-08-27 16:30,    294.43,    293.88,      2.42,      3.79,    234.75,   -0.1535,    0.0891,    0.0228,   -1.0609,    0.0988
2016-08-27 17:00,    295.21,    294.14,      1.97,      3.32,    202.57,   -0.1552,    0.1036,    0.0266,   -2.0118,    0.1162
2016-08-27 17:30,    293.20,    293.02,      2.01,      3.21,     67.33,   -0.1057,    0.0255,    0.0131,    0.3134,    0.0753
2016-08-27 18:00,    292.37,    292.64,      1.63,      2.88,     53.84,   -0.1079,    0.0122,    0.0095,    0.3454,    0.1087
