"Date/Time (PST)","T_0.4m (K)","T_2m (K)","u_0.4m (m s-1)","u_2m (m s-1)","Q* (W m-2)","u'w' (m2 s-2)","w'T' (K m s-1)","w'rho_v' (g m-2 s-1)","w'rho_CO2' (micromol m-2 s-1)","w'rho_CH4' (microåmol m-2 s-1)"
2016-06-20 00:30,    281.85,    283.58,      0.00,      0.19,    -44.16,   -0.0079,   -0.0003,   -0.0001,    1.0141,    0.0798
2016-06-20 01:00,    281.08,    283.31,      0.05,      0.21,    -34.99,   -0.0017,   -0.0032,   -0.0022,    0.9787,    0.3083
2016-06-20 01:30,    280.78,    282.42,      0.00,      0.25,    -30.35,   -0.0202,    0.0136,    0.0020,    0.9484,    0.0779
2016-06-20 02:00,    280.22,    282.27,      0.01,      0.20,    -26.46,   -0.0023,   -0.0005,    0.0005,    0.9150,    0.0769
2016-06-20 02:30,    280.00,    281.63,      0.12,      0.30,    -23.21,   -0.0022,   -0.0018,   -0.0002,    1.5337,    0.0761
2016-06-20 03:00,    279.77,    281.32,      0.05,      0.26,    -19.64,   -0.0065,    0.0059,    0.0022,    0.8471,    0.0753
2016-06-20 03:30,    279.84,    281.66,      0.00,      0.14,    -17.13,   -0.0294,    0.0197,    0.0027,    0.8142,    0.0745
2016-06-20 04:00,    279.89,    281.05,      0.00,      0.18,    -14.62,   -0.0024,   -0.0003,    0.0000,    0.7807,    0.0769
2016-06-20 04:30,    279.96,    281.08,      0.00,      0.09,     -8.01,   -0.0406,   -0.0161,   -0.0079,    0.7484,    0.0732
2016-06-20 05:00,    281.46,    282.43,      0.45,      0.57,     17.17,   -0.0009,   -0.0050,   -0.0029,    0.7022,    0.0724
2016-06-20 05:30,    282.61,    283.04,      0.00,      0.21,     19.71,   -0.0046,   -0.0004,    0.0004,    0.6756,    0.1032
2016-06-20 06:00,    283.19,    283.49,      0.21,      0.34,     62.71,   -0.0043,    0.0092,    0.0043,   -4.8318,    0.0717
2016-06-20 06:30,    285.15,    285.01,      0.42,      0.61,    142.92,   -0.0057,    0.0056,   -0.0077,    0.6148,    0.0712
2016-06-20 07:00,    287.14,    286.39,      0.40,      0.52,    132.61,   -0.0048,    0.0227,   -0.0016,   -1.3032,    0.0931
2016-06-20 07:30,    287.90,    287.34,      0.52,      0.59,    123.57,   -0.0025,    0.0230,    0.0103,   -1.9845,    0.1037
2016-06-20 08:00,    288.90,    288.24,      0.32,      0.45,    199.45,   -0.0065,    0.0459,    0.0120,   -1.5966,    0.1457
2016-06-20 08:30,    290.75,    288.99,      0.28,      0.39,    223.47,   -0.0061,    0.0561,    0.0219,   -3.9820,    0.1021
2016-06-20 09:00,    291.61,    289.61,      0.54,      0.65,    272.61,   -0.0051,    0.0513,    0.0152,   -4.5507,    0.0726
2016-06-20 09:30,    291.96,    289.73,      0.99,      1.36,    240.35,   -0.0240,    0.0508,    0.0146,   -3.6815,    0.0713
2016-06-20 10:00,    292.66,    290.45,      0.58,      0.85,    311.51,   -0.0167,    0.0616,    0.0253,    0.6292,    0.0733
2016-06-20 10:30,    294.78,    291.52,      0.83,      1.29,    453.90,   -0.0365,    0.0960,    0.0363,   -1.3460,    0.0964
2016-06-20 11:00,    296.45,    292.47,      0.56,      0.99,    675.87,   -0.0382,    0.1554,    0.0638,    0.6311,    0.1777
2016-06-20 11:30,    296.36,    293.22,      1.06,      1.21,    614.62,   -0.0110,    0.1338,    0.0601,   -3.3625,    0.0857
2016-06-20 12:00,    297.45,    294.04,      0.96,      1.61,    623.29,   -0.0630,    0.1676,    0.0779,   -4.4165,    0.0937
2016-06-20 12:30,    297.52,    294.38,      1.32,      2.09,    665.90,   -0.0783,    0.1721,    0.0850,   -4.6954,    0.0988
2016-06-20 13:00,    298.44,    295.00,      1.15,      1.63,    651.30,   -0.0424,    0.1533,    0.0778,   -4.0098,    0.0766
2016-06-20 13:30,    298.34,    295.78,      0.85,      1.61,    619.53,   -0.0781,    0.1765,    0.1062,   -4.4181,    0.0911
2016-06-20 14:00,    296.69,    295.29,      1.44,      2.11,    251.63,   -0.0517,    0.0610,    0.0481,   -3.4089,    0.0807
2016-06-20 14:30,    295.61,    294.94,      1.37,      1.97,    188.67,   -0.0400,    0.0355,    0.0335,   -2.5829,    0.0670
2016-06-20 15:00,    295.47,    294.86,      1.12,      1.56,    233.24,   -0.0269,    0.0389,    0.0436,   -3.3049,    0.0863
2016-06-20 15:30,    296.15,    295.34,      0.15,      0.58,    210.47,   -0.0276,    0.0440,    0.0245,   -3.3910,    0.0579
2016-06-20 16:00,    294.23,    293.60,      1.70,      2.70,    152.00,   -0.0858,    0.0482,    0.0246,   -3.0320,    0.0894
2016-06-20 16:30,    293.08,    292.63,      1.31,      2.19,    135.81,   -0.0706,    0.0430,    0.0162,   -2.7027,    0.0827
2016-06-20 17:00,    294.53,    293.48,      1.09,      1.72,    335.35,   -0.0558,    0.1174,    0.0310,   -3.7186,    0.0837
2016-06-20 17:30,    296.29,    294.77,      1.54,      2.29,    275.08,   -0.0670,    0.0995,    0.0393,   -2.7627,    0.0786
