"Date/Time (PST)","T_0.4m (K)","T_2m (K)","u_0.4m (m s-1)","u_2m (m s-1)","Q* (W m-2)","u'w' (m2 s-2)","w'T' (K m s-1)","w'rho_v' (g m-2 s-1)","w'rho_CO2' (micromol m-2 s-1)","w'rho_CH4' (microåmol m-2 s-1)"
2016-08-11 00:30,    283.66,    286.05,      0.33,      0.46,    -24.50,   -0.0029,    0.0020,    0.0019,    1.6079,    0.1073
2016-08-11 01:00,    283.51,    285.39,      0.00,      0.07,    -21.17,   -0.0168,    0.0063,    0.0034,    1.5737,    0.1052
2016-08-11 01:30,    283.17,    285.28,      0.10,      0.26,    -19.35,   -0.0034,    0.0013,   -0.0003,    1.5422,    0.1034
2016-08-11 02:00,    283.23,    284.97,      0.00,      0.42,    -16.70,   -0.0134,   -0.0022,    0.0004,    1.5089,    0.3469
2016-08-11 02:30,    283.04,    285.02,      0.00,      0.19,    -15.03,   -0.0028,   -0.0004,    0.0004,    1.4823,    0.1000
2016-08-11 03:00,    282.67,    284.55,      0.00,      0.07,    -13.72,   -0.0077,    0.0088,    0.0019,    1.4539,    0.0985
2016-08-11 03:30,    282.51,    284.31,      0.00,      0.10,    -13.50,   -0.0020,   -0.0013,   -0.0003,    1.4222,    0.0968
2016-08-11 04:00,    282.39,    283.94,      0.00,      0.20,    -13.10,   -0.0044,   -0.0002,    0.0006,    1.3918,    0.0329
2016-08-11 04:30,    282.26,    283.60,      0.06,      0.23,    -12.76,   -0.0020,    0.0001,   -0.0006,    1.3653,    0.0939
2016-08-11 05:00,    282.20,    283.11,      0.08,      0.21,    -11.85,   -0.0019,    0.0005,   -0.0000,    1.3393,    0.0320
2016-08-11 05:30,    282.24,    283.39,      0.00,      0.10,     -3.28,   -0.0023,    0.0002,   -0.0014,    0.6219,    0.0913
2016-08-11 06:00,    284.51,    284.38,      0.06,      0.17,     15.08,   -0.0007,   -0.0124,    0.0178,    1.2759,    0.0898
2016-08-11 06:30,    289.22,    287.69,      0.38,      0.39,     64.48,   -0.0002,    0.0035,    0.0095,    1.2189,    0.0873
2016-08-11 07:00,    292.77,    289.34,      0.62,      0.82,    138.43,   -0.0087,    0.0215,    0.0039,    2.0265,    0.0839
2016-08-11 07:30,    296.73,    290.78,      0.61,      0.87,    186.41,   -0.0135,    0.0333,    0.0096,    2.1117,    0.1243
2016-08-11 08:00,    296.01,    292.35,      1.17,      1.81,    260.64,   -0.0496,    0.0648,    0.0124,    1.2026,    0.0773
2016-08-11 08:30,    297.14,    293.01,      1.15,      1.70,    326.08,   -0.0428,    0.0780,    0.0159,   -2.3347,    0.1026
2016-08-11 09:00,    297.78,    293.58,      1.38,      1.99,    388.94,   -0.0536,    0.1191,    0.0266,   -2.4311,    0.1263
2016-08-11 09:30,    298.50,    294.15,      1.64,      2.36,    448.08,   -0.0682,    0.1270,    0.0263,   -2.3580,    0.0841
2016-08-11 10:00,    299.38,    294.53,      1.74,      2.54,    500.23,   -0.0799,    0.1502,    0.0387,   -3.8469,    0.0659
2016-08-11 10:30,    299.38,    294.69,      2.00,      2.97,    544.84,   -0.1032,    0.1464,    0.0338,   -2.1224,    0.0753
2016-08-11 11:00,    300.45,    295.11,      2.13,      3.21,    579.44,   -0.1256,    0.1903,    0.0514,   -2.4239,    0.0905
2016-08-11 11:30,    299.74,    295.47,      1.97,      2.98,    602.95,   -0.1107,    0.1623,    0.0435,   -2.3239,    0.0764
2016-08-11 12:00,    300.40,    295.61,      2.13,      3.17,    618.10,   -0.1184,    0.1825,    0.0514,   -1.5957,    0.0808
2016-08-11 12:30,    299.56,    296.15,      2.07,      3.24,    623.03,   -0.1398,    0.1886,    0.0540,   -2.3420,    0.0883
2016-08-11 13:00,    299.98,    296.43,      2.16,      3.38,    617.51,   -0.1477,    0.1863,    0.0603,   -1.8560,    0.0951
2016-08-11 13:30,    301.19,    296.90,      2.22,      3.32,    600.51,   -0.1254,    0.1749,    0.0545,   -2.9579,    0.0838
2016-08-11 14:00,    300.33,    296.99,      2.24,      3.44,    573.55,   -0.1417,    0.1700,    0.0606,   -2.1662,    0.0931
2016-08-11 14:30,    301.30,    297.24,      1.94,      3.29,    535.76,   -0.1721,    0.1951,    0.0709,   -2.2541,    0.1025
2016-08-11 15:00,    301.78,    297.32,      2.30,      3.35,    489.82,   -0.1133,    0.1439,    0.0477,   -1.2395,    0.0629
2016-08-11 15:30,    301.78,    297.58,      2.25,      3.50,    435.41,   -0.1466,    0.1542,    0.0487,   -2.2381,    0.0815
2016-08-11 16:00,    301.68,    297.95,      2.09,      3.23,    372.36,   -0.1240,    0.1233,    0.0518,   -0.6999,    0.0746
2016-08-11 16:30,    301.05,    297.86,      2.14,      3.23,    303.83,   -0.1129,    0.1061,    0.0416,   -0.9946,    0.0790
