"Date/Time (PST)","T_0.4m (K)","T_2m (K)","u_0.4m (m s-1)","u_2m (m s-1)","Q* (W m-2)","u'w' (m2 s-2)","w'T' (K m s-1)","w'rho_v' (g m-2 s-1)","w'rho_CO2' (micromol m-2 s-1)","w'rho_CH4' (microåmol m-2 s-1)"
2016-07-29 00:30,    287.36,    289.62,      0.17,      0.31,    -49.97,   -0.0013,   -0.0016,    0.0008,    2.3556,    0.1669
2016-07-29 01:00,    287.04,    289.78,      0.41,      0.55,    -41.43,   -0.0012,   -0.0021,   -0.0001,    2.3155,    0.1630
2016-07-29 01:30,    287.17,    290.52,      0.42,      0.61,    -46.53,   -0.0022,   -0.0036,    0.0006,    2.1874,    0.1467
2016-07-29 02:00,    288.27,    291.40,      0.54,      0.78,    -57.39,   -0.0037,   -0.0061,    0.0001,    1.4540,    0.1157
2016-07-29 02:30,    288.58,    291.35,      0.74,      1.05,    -55.80,   -0.0062,   -0.0091,    0.0006,    1.2343,    0.1164
2016-07-29 03:00,    288.98,    291.45,      0.85,      1.85,    -57.97,   -0.0183,   -0.0172,    0.0001,    1.6435,    0.1422
2016-07-29 03:30,    289.61,    291.80,      1.22,      2.38,    -59.03,   -0.0483,   -0.0284,   -0.0003,    2.5151,    0.1726
2016-07-29 04:00,    289.65,    291.48,      1.04,      2.05,    -58.51,   -0.0294,   -0.0197,   -0.0002,    1.8981,    0.1356
2016-07-29 04:30,    289.50,    291.20,      0.63,      1.64,    -58.26,   -0.0166,   -0.0165,    0.0005,    1.6649,    0.1476
2016-07-29 05:00,    289.58,    291.20,      1.08,      2.04,    -55.86,   -0.0245,   -0.0169,    0.0004,    1.7160,    0.1755
2016-07-29 05:30,    290.07,    291.27,      0.73,      1.51,    -33.04,   -0.0179,   -0.0088,    0.0003,    0.9660,    0.1535
2016-07-29 06:00,    292.62,    291.78,      1.04,      1.62,     11.31,   -0.0221,    0.0002,    0.0013,    0.4103,    0.1662
2016-07-29 06:30,    294.01,    292.41,      1.66,      2.44,     74.88,   -0.0481,    0.0125,    0.0052,   -0.4123,    0.1464
2016-07-29 07:00,    295.23,    293.14,      1.57,      2.33,    144.78,   -0.0539,    0.0334,    0.0084,   -1.1690,    0.1576
2016-07-29 07:30,    297.22,    293.94,      1.47,      2.12,    215.96,   -0.0478,    0.0547,    0.0140,   -1.4059,    0.1171
