"Date/Time (PST)","T_0.4m (K)","T_2m (K)","u_0.4m (m s-1)","u_2m (m s-1)","Q* (W m-2)","u'w' (m2 s-2)","w'T' (K m s-1)","w'rho_v' (g m-2 s-1)","w'rho_CO2' (micromol m-2 s-1)","w'rho_CH4' (microåmol m-2 s-1)"
2016-08-08 00:30,    283.92,    285.06,      0.00,      0.17,    -47.07,   -0.0079,    0.0113,    0.0056,    1.4622,    0.0989
2016-08-08 01:00,    282.76,    284.52,      0.16,      0.29,    -46.83,   -0.0039,    0.0054,    0.0023,    1.4416,    0.0978
2016-08-08 01:30,    282.29,    284.36,      0.00,      0.27,    -43.01,   -0.0067,   -0.0061,   -0.0026,    1.4087,    0.0961
2016-08-08 02:00,    281.78,    283.93,      0.20,      0.45,    -36.61,   -0.0055,    0.0009,    0.0023,    0.4016,    0.0948
2016-08-08 02:30,    281.50,    283.74,      0.15,      0.47,    -32.60,   -0.0068,   -0.0045,   -0.0005,    1.3533,    0.0934
2016-08-08 03:00,    280.91,    282.85,      0.00,      0.10,    -26.81,   -0.0053,    0.0007,    0.0012,    1.3241,    0.0920
2016-08-08 03:30,    280.27,    282.45,      0.02,      0.17,    -22.84,   -0.0044,    0.0061,    0.0031,    1.2946,    0.0906
2016-08-08 04:00,    280.95,    282.88,      0.00,      0.32,    -18.64,   -0.0115,   -0.0065,   -0.0047,    1.2546,    0.0888
2016-08-08 04:30,    281.87,    284.17,      0.65,      0.78,    -11.29,   -0.0010,   -0.0018,   -0.0005,    1.2037,    0.0867
2016-08-08 05:00,    282.61,    284.17,      0.12,      0.28,    -16.92,   -0.0006,   -0.0001,    0.0004,    1.1796,    0.0857
2016-08-08 05:30,    283.44,    284.68,      0.73,      1.13,      5.08,   -0.0093,   -0.0004,    0.0024,    1.1478,    0.0845
2016-08-08 06:00,    284.90,    285.55,      0.92,      1.64,     21.26,   -0.0262,   -0.0044,    0.0003,   -0.9108,    0.0832
2016-08-08 06:30,    285.36,    285.85,      1.06,      1.68,     35.11,   -0.0284,    0.0032,    0.0013,   -0.0445,    0.0824
2016-08-08 07:00,    285.60,    285.93,      1.24,      1.96,     25.88,   -0.0384,    0.0045,    0.0005,    0.8170,    0.0137
2016-08-08 07:30,    286.09,    286.30,      1.19,      1.57,     91.47,   -0.0181,    0.0143,   -0.0001,   -0.6127,    0.0315
2016-08-08 08:00,    286.63,    286.63,      0.93,      1.24,     91.72,   -0.0146,    0.0190,    0.0013,   -0.7802,    0.0417
2016-08-08 08:30,    287.11,    286.98,      0.62,      1.00,    127.64,   -0.0219,    0.0322,    0.0001,   -0.7391,    0.0299
2016-08-08 09:00,    288.80,    287.85,      1.11,      1.49,    264.02,   -0.0276,    0.0781,    0.0067,   -2.0834,    0.0552
2016-08-08 09:30,    290.29,    288.89,      0.77,      0.99,    274.98,   -0.0140,    0.0791,    0.0098,   -1.6161,    0.0646
2016-08-08 10:00,    292.31,    290.40,      0.82,      1.16,    487.50,   -0.0287,    0.1727,    0.0368,   -3.8829,    0.0805
2016-08-08 10:30,    293.55,    291.32,      0.99,      1.48,    583.27,   -0.0467,    0.1875,    0.0363,   -2.5398,    0.0821
2016-08-08 11:00,    293.75,    291.66,      1.29,      1.63,    576.14,   -0.0301,    0.1901,    0.0456,   -2.9935,    0.0834
2016-08-08 11:30,    294.85,    292.49,      1.12,      1.58,    604.33,   -0.0428,    0.1884,    0.0522,    0.9054,    0.1001
2016-08-08 12:00,    295.67,    293.02,      1.26,      1.84,    621.47,   -0.0598,    0.2243,    0.0624,   -3.3038,    0.0888
2016-08-08 12:30,    296.27,    293.74,      0.87,      1.31,    632.07,   -0.0422,    0.2096,    0.0643,   -2.2533,    0.0899
2016-08-08 13:00,    296.95,    294.58,      1.12,      1.68,    631.14,   -0.0578,    0.2274,    0.0733,   -2.0637,    0.1333
2016-08-08 13:30,    295.49,    294.02,      1.14,      1.27,    130.20,   -0.0072,    0.0498,    0.0288,   -0.6852,    0.0470
2016-08-08 14:00,    294.58,    294.03,      1.19,      1.98,    286.68,   -0.0687,    0.0814,    0.0288,   -2.0241,    0.0529
2016-08-08 14:30,    297.73,    295.31,      1.52,      2.28,    610.80,   -0.0794,    0.1956,    0.0673,   -2.8164,    0.0841
