"Date/Time (PST)","T_0.4m (K)","T_2m (K)","u_0.4m (m s-1)","u_2m (m s-1)","Q* (W m-2)","u'w' (m2 s-2)","w'T' (K m s-1)","w'rho_v' (g m-2 s-1)","w'rho_CO2' (micromol m-2 s-1)","w'rho_CH4' (microåmol m-2 s-1)"
2016-08-04 00:30,    282.72,    284.40,      0.00,      0.14,    -23.92,   -0.0031,   -0.0004,   -0.0001,    2.8668,    0.1666
2016-08-04 01:00,    282.44,    284.39,      0.28,      0.48,    -21.96,   -0.0045,    0.0013,    0.0005,    1.4844,    0.1001
2016-08-04 01:30,    282.47,    284.68,      0.00,      0.16,    -20.02,   -0.0019,   -0.0002,    0.0001,    1.4470,    0.0981
2016-08-04 02:00,    282.15,    284.30,      0.07,      0.27,    -18.51,   -0.0041,    0.0009,   -0.0001,    1.4241,    0.0969
2016-08-04 02:30,    281.88,    283.65,      0.07,      0.22,    -16.98,   -0.0023,    0.0004,    0.0015,    1.3963,    0.0955
2016-08-04 03:00,    281.53,    282.89,      0.03,      0.13,    -15.24,   -0.0015,    0.0008,    0.0004,    1.3702,    0.0942
2016-08-04 03:30,    281.21,    282.55,      0.00,      0.09,    -15.46,   -0.0019,    0.0004,   -0.0010,    1.3411,    0.0928
2016-08-04 04:00,    281.10,    282.61,      0.00,      0.08,    -16.06,   -0.0023,    0.0034,    0.0002,    1.3102,    0.0913
2016-08-04 04:30,    281.00,    282.36,      0.00,      0.19,    -15.10,   -0.0034,   -0.0002,    0.0010,    2.1422,    0.0897
2016-08-04 05:00,    280.77,    282.06,      0.12,      0.18,    -13.12,   -0.0012,    0.0021,    0.0004,    1.2480,    0.0885
2016-08-04 05:30,    280.96,    281.77,      0.00,      0.07,      0.02,   -0.0070,   -0.0025,    0.0003,    1.2163,    0.0872
2016-08-04 06:00,    282.06,    282.55,      0.00,      0.13,     19.80,   -0.0094,    0.0104,    0.0045,    1.1827,    0.0858
2016-08-04 06:30,    284.54,    284.56,      0.15,      0.23,     70.49,   -0.0025,    0.0113,   -0.0072,    1.1407,    0.0842
2016-08-04 07:00,    287.01,    287.00,      0.11,      0.18,    130.84,   -0.0020,    0.0120,   -0.0189,    1.9685,    0.2613
2016-08-04 07:30,    289.73,    288.92,      0.15,      0.24,    178.39,   -0.0038,    0.0328,    0.0041,    1.0636,    0.0814
2016-08-04 08:00,    291.06,    289.66,      0.17,      0.29,    204.85,   -0.0060,    0.0443,    0.0088,    1.0652,    0.0891
2016-08-04 08:30,    294.67,    291.93,      0.00,      0.18,    323.45,   -0.0451,    0.1019,    0.0305,   -4.9390,    0.1302
2016-08-04 09:00,    296.04,    292.94,      0.52,      0.87,    367.54,   -0.0269,    0.0993,    0.0295,   -4.2671,    0.0939
2016-08-04 09:30,    294.89,    292.74,      0.25,      0.57,    273.43,   -0.0213,    0.0706,    0.0213,   -2.6753,    0.1390
2016-08-04 10:00,    297.26,    293.70,      0.06,      0.28,    326.77,   -0.0152,    0.0966,    0.0316,   -2.2193,    0.1410
2016-08-04 10:30,    296.04,    293.81,      0.74,      1.09,    356.83,   -0.0270,    0.1064,    0.0392,   -4.4308,    0.1427
2016-08-04 11:00,    297.38,    294.34,      1.02,      1.12,    417.01,   -0.0070,    0.1181,    0.0442,   -3.1240,    0.1366
2016-08-04 11:30,    295.73,    294.20,      1.19,      1.51,    280.24,   -0.0202,    0.0593,    0.0235,   -1.9695,    0.1492
2016-08-04 12:00,    297.17,    294.52,      1.33,      1.70,    417.18,   -0.0279,    0.0995,    0.0342,   -1.9375,    0.1313
2016-08-04 12:30,    299.25,    295.69,      1.02,      1.59,    668.04,   -0.0534,    0.1605,    0.0541,   -3.1146,    0.1382
2016-08-04 13:00,    299.23,    296.24,      0.64,      1.39,    608.42,   -0.0754,    0.1599,    0.0669,   -2.4406,    0.1684
2016-08-04 13:30,    299.03,    296.46,      1.12,      1.73,    453.72,   -0.0543,    0.1237,    0.0544,   -2.4791,    0.1301
2016-08-04 14:00,    299.38,    296.83,      1.42,      2.22,    601.05,   -0.0820,    0.1654,    0.0654,   -1.8304,    0.1732
2016-08-04 14:30,    300.47,    297.06,      1.48,      2.38,    551.67,   -0.0956,    0.1670,    0.0709,   -2.6397,    0.1715
2016-08-04 15:00,    301.12,    297.47,      1.29,      2.06,    500.93,   -0.0765,    0.1500,    0.0648,   -1.3855,    0.2002
2016-08-04 15:30,    301.14,    297.88,      1.15,      1.79,    445.14,   -0.0594,    0.1406,    0.0621,   -2.2349,    0.1860
2016-08-04 16:00,    300.66,    297.89,      1.29,      2.21,    384.25,   -0.0944,    0.1391,    0.0562,   -2.0582,    0.1871
2016-08-04 16:30,    300.28,    297.39,      1.71,      2.67,    315.40,   -0.0964,    0.1185,    0.0487,   -2.3840,    0.1783
2016-08-04 17:00,    298.46,    296.42,      1.99,      3.09,    245.33,   -0.1110,    0.0907,    0.0310,   -1.6894,    0.1647
2016-08-04 17:30,    298.32,    296.49,      1.65,      2.64,    171.67,   -0.0908,    0.0686,    0.0307,   -1.6594,    0.1778
2016-08-04 18:00,    297.21,    296.06,      1.52,      2.56,     97.70,   -0.0922,    0.0503,    0.0249,   -0.9393,    0.1845
2016-08-04 18:30,    295.74,    295.47,      1.39,      2.33,     28.77,   -0.0679,    0.0166,    0.0157,    0.1775,    0.1730
2016-08-04 19:00,    294.39,    294.81,      1.27,      2.06,    -28.42,   -0.0431,    0.0020,    0.0091,    0.2057,    0.1551
2016-08-04 19:30,    292.98,    293.90,      0.52,      1.32,    -61.44,   -0.0151,   -0.0096,    0.0031,    0.7236,    0.1379
2016-08-04 20:00,    291.24,    292.73,      0.86,      1.05,    -68.72,   -0.0024,   -0.0046,   -0.0011,    1.9604,    0.1319
2016-08-04 20:30,    289.47,    292.13,      0.58,      0.71,    -63.11,   -0.0023,    0.0009,    0.0001,    1.9498,    0.1311
2016-08-04 21:00,    287.73,    290.92,      0.13,      0.31,    -58.79,   -0.0054,    0.0051,    0.0002,    1.8882,    0.1264
2016-08-04 21:30,    287.07,    290.43,      0.44,      0.65,    -59.57,   -0.0086,    0.0138,    0.0032,    1.8650,    0.1246
2016-08-04 22:00,    286.41,    288.04,      0.08,      0.57,    -57.44,   -0.0156,   -0.0026,   -0.0001,    3.6801,    0.1499
2016-08-04 22:30,    285.84,    287.94,      0.26,      0.41,    -56.40,   -0.0028,    0.0012,    0.0013,    1.8157,    0.1211
2016-08-04 23:00,    285.65,    287.39,      0.41,      0.57,    -53.62,   -0.0027,    0.0005,    0.0006,    0.2646,    0.2434
2016-08-04 23:30,    286.35,    288.16,      0.88,      1.12,    -56.22,   -0.0038,   -0.0067,    0.0005,    2.4111,    0.0947
2016-08-05 00:00,    287.36,    289.37,      0.04,      1.24,    -59.92,   -0.0106,   -0.0166,    0.0006,    3.4658,    0.1906
