"Date/Time (PST)","T_0.4m (K)","T_2m (K)","u_0.4m (m s-1)","u_2m (m s-1)","Q* (W m-2)","u'w' (m2 s-2)","w'T' (K m s-1)","w'rho_v' (g m-2 s-1)","w'rho_CO2' (micromol m-2 s-1)","w'rho_CH4' (microåmol m-2 s-1)"
2016-08-26 00:30,    285.57,    287.65,      0.19,      0.48,    -41.38,   -0.0010,   -0.0003,    0.0004,    1.8470,    0.1233
2016-08-26 01:00,    285.25,    286.89,      0.09,      0.37,    -42.37,   -0.0082,    0.0029,    0.0021,    1.8206,    0.1214
2016-08-26 01:30,    284.48,    286.35,      0.00,      0.13,    -41.37,   -0.0133,    0.0028,   -0.0023,    1.7902,    0.1193
2016-08-26 02:00,    284.18,    286.10,      0.00,      0.15,    -41.28,   -0.0075,   -0.0013,    0.0003,    1.5820,    0.0862
2016-08-26 02:30,    283.72,    285.78,      0.00,      0.07,    -40.98,   -0.0154,    0.0013,   -0.0006,    1.7251,    0.0342
2016-08-26 03:00,    284.27,    286.42,      0.00,      0.16,    -44.32,   -0.0835,    0.0034,    0.0001,    1.6825,    0.1120
2016-08-26 03:30,    284.14,    285.89,      0.07,      0.41,    -42.46,   -0.0088,    0.0006,    0.0002,    3.0007,    0.1012
2016-08-26 04:00,    283.51,    285.32,      0.00,      0.27,    -42.94,   -0.0205,   -0.0038,   -0.0026,    1.6282,    0.1158
2016-08-26 04:30,    283.80,    285.65,      0.07,      0.41,    -44.03,   -0.0077,   -0.0110,   -0.0024,    1.5880,    0.1061
2016-08-26 05:00,    283.21,    285.10,      0.00,      0.05,    -41.51,   -0.0944,    0.0205,    0.0058,    1.5649,    0.1047
2016-08-26 05:30,    282.80,    284.80,      0.00,      0.08,    -34.42,   -0.0248,   -0.0100,   -0.0061,    1.5386,    0.1032
2016-08-26 06:00,    284.30,    284.92,      0.00,      0.22,     -9.13,   -0.0062,   -0.0012,   -0.0009,    1.4517,    0.0150
2016-08-26 06:30,    286.16,    286.71,      0.19,      0.46,      8.62,   -0.0049,   -0.0029,   -0.0024,    1.4598,    0.3458
2016-08-26 07:00,    287.66,    287.92,      0.28,      0.32,     30.32,   -0.0009,    0.0064,    0.0026,    1.4317,    0.0973
2016-08-26 07:30,    289.95,    290.08,      0.56,      0.81,     92.69,   -0.0111,    0.0188,    0.0084,    1.3975,    0.0956
2016-08-26 08:00,    293.58,    292.71,      0.87,      1.26,    173.40,   -0.0238,    0.0413,    0.0163,    1.3755,    0.0944
2016-08-26 08:30,    296.74,    295.11,      0.68,      1.00,    250.90,   -0.0214,    0.0706,    0.0187,    1.3982,    0.0637
2016-08-26 09:00,    298.73,    296.99,      0.79,      1.11,    317.58,   -0.0229,    0.0916,    0.0301,   -2.4045,    0.1242
2016-08-26 09:30,    299.87,    298.16,      0.89,      1.26,    402.28,   -0.0287,    0.1137,    0.0411,   -1.4927,    0.1722
2016-08-26 10:00,    301.05,    298.97,      1.20,      1.70,    458.21,   -0.0444,    0.1483,    0.0573,   -1.3070,    0.1349
2016-08-26 10:30,    301.36,    299.81,      1.12,      1.66,    507.07,   -0.0490,    0.1502,    0.0597,   -0.1016,    0.1315
2016-08-26 11:00,    302.26,    300.52,      1.10,      1.78,    499.87,   -0.0638,    0.1414,    0.0568,   -2.2565,    0.1486
2016-08-26 11:30,    302.20,    300.66,      1.41,      2.15,    525.67,   -0.0718,    0.1435,    0.0646,   -0.5508,    0.1552
2016-08-26 12:00,    302.79,    301.00,      1.29,      1.89,    564.27,   -0.0556,    0.1544,    0.0747,   -0.9057,    0.1422
2016-08-26 12:30,    303.39,    301.55,      1.35,      1.91,    561.53,   -0.0498,    0.1427,    0.0691,   -0.3022,    0.1348
2016-08-26 13:00,    303.76,    301.95,      1.51,      2.08,    557.12,   -0.0504,    0.1414,    0.0652,   -0.6622,    0.1277
2016-08-26 13:30,    303.95,    302.66,      1.55,      1.77,    523.07,   -0.0165,    0.1431,    0.0726,   -1.2585,    0.1731
2016-08-26 14:00,    304.91,    303.30,      0.79,      1.48,    514.36,   -0.0644,    0.1341,    0.0700,   -1.1256,    0.2054
