"Date/Time (PST)","T_0.4m (K)","T_2m (K)","u_0.4m (m s-1)","u_2m (m s-1)","Q* (W m-2)","u'w' (m2 s-2)","w'T' (K m s-1)","w'rho_v' (g m-2 s-1)","w'rho_CO2' (micromol m-2 s-1)","w'rho_CH4' (microåmol m-2 s-1)"
2016-08-12 00:30,    284.98,    287.97,      0.16,      0.42,    -37.06,   -0.0011,   -0.0003,    0.0001,    1.7803,    0.1186
2016-08-12 01:00,    285.09,    286.96,      0.36,      0.42,    -30.88,   -0.0012,    0.0019,    0.0007,    1.7528,    0.1167
2016-08-12 01:30,    284.47,    287.29,      0.36,      0.41,    -25.31,   -0.0016,    0.0085,    0.0026,    1.7174,    0.1143
2016-08-12 02:00,    284.24,    287.35,      0.00,      0.13,    -21.42,   -0.0138,    0.0031,    0.0085,    1.6819,    0.1119
2016-08-12 02:30,    284.18,    286.45,      0.00,      0.10,    -19.02,   -0.0350,    0.0159,    0.0088,    1.6574,    0.1104
2016-08-12 03:00,    284.11,    286.02,      0.02,      0.30,    -17.05,   -0.0053,   -0.0027,   -0.0011,    1.6248,    0.1083
2016-08-12 03:30,    283.80,    286.18,      0.13,      0.19,    -15.52,   -0.0008,    0.0007,   -0.0001,    1.5961,    0.1066
2016-08-12 04:00,    283.69,    286.39,      0.16,      0.28,    -14.63,   -0.0025,    0.0018,    0.0010,    1.5580,    0.1043
2016-08-12 04:30,    283.83,    285.92,      0.00,      0.20,    -13.65,   -0.0067,    0.0065,    0.0034,    1.5309,    0.1027
2016-08-12 05:00,    283.52,    285.23,      0.00,      0.14,    -12.59,   -0.0359,   -0.0106,   -0.0031,    1.5032,    0.1012
2016-08-12 05:30,    284.08,    286.15,      0.00,      0.11,     -3.68,   -0.0365,    0.0011,   -0.0190,    1.4706,    0.0994
2016-08-12 06:00,    286.57,    286.90,      0.39,      0.49,     22.01,   -0.0028,    0.0068,    0.0037,    1.4360,    0.0975
2016-08-12 06:30,    290.24,    288.69,      0.44,      0.59,     86.05,   -0.0030,    0.0014,   -0.0001,    1.3935,    0.1556
2016-08-12 07:00,    293.11,    290.79,      0.00,      0.48,    128.76,   -0.0406,   -0.0036,   -0.0005,    1.3631,    0.0938
2016-08-12 07:30,    296.60,    293.32,      1.08,      1.69,    177.92,   -0.0443,    0.0505,    0.0094,    1.3619,    0.0938
2016-08-12 08:00,    298.35,    294.27,      1.01,      1.50,    253.09,   -0.0353,    0.0641,    0.0117,   -1.5055,    0.0272
2016-08-12 08:30,    299.44,    294.87,      1.18,      1.88,    322.96,   -0.0616,    0.0963,    0.0237,   -1.5900,    0.0648
2016-08-12 09:00,    301.00,    295.55,      1.24,      1.86,    387.47,   -0.0543,    0.1085,    0.0263,   -2.6294,    0.0417
2016-08-12 09:30,    299.03,    296.24,      1.14,      1.76,    445.81,   -0.0567,    0.1358,    0.0381,   -2.4636,    0.0720
2016-08-12 10:00,    299.41,    297.09,      1.38,      2.00,    496.56,   -0.0575,    0.1453,    0.0436,   -2.2918,    0.0693
2016-08-12 10:30,    300.53,    297.92,      1.25,      1.98,    538.62,   -0.0712,    0.1469,    0.0497,   -2.3794,    0.0769
2016-08-12 11:00,    300.65,    298.42,      1.64,      2.48,    573.35,   -0.0863,    0.1568,    0.0567,   -3.0131,    0.0736
2016-08-12 11:30,    301.19,    298.58,      1.71,      2.62,    599.12,   -0.0999,    0.1864,    0.0709,   -2.4473,    0.0906
2016-08-12 12:00,    301.79,    298.30,      1.89,      2.77,    616.47,   -0.0955,    0.1894,    0.0711,   -2.9471,    0.0823
2016-08-12 12:30,    301.68,    298.61,      1.94,      2.80,    612.45,   -0.0906,    0.1669,    0.0657,   -2.4064,    0.0734
2016-08-12 13:00,    302.27,    299.31,      1.71,      2.61,    612.25,   -0.0972,    0.1789,    0.0790,   -3.0455,    0.0909
2016-08-12 13:30,    302.65,    299.89,      1.48,      2.07,    577.46,   -0.0532,    0.1410,    0.0721,   -0.9785,    0.0687
2016-08-12 14:00,    303.30,    300.61,      1.11,      1.83,    526.07,   -0.0681,    0.1397,    0.0773,   -1.4505,    0.0800
2016-08-12 14:30,    302.51,    300.37,      1.45,      2.35,    415.12,   -0.0864,    0.1073,    0.0658,   -2.5410,    0.0584
2016-08-12 15:00,    303.20,    300.67,      1.64,      2.48,    476.65,   -0.0818,    0.1252,    0.0675,   -2.1318,    0.0791
2016-08-12 15:30,    304.87,    300.68,      1.30,      1.85,    418.65,   -0.0463,    0.1084,    0.0484,   -1.1338,    0.0606
2016-08-12 16:00,    303.57,    301.00,      1.04,      1.85,    293.66,   -0.0703,    0.0815,    0.0517,   -1.6970,    0.0751
2016-08-12 16:30,    303.31,    301.34,      1.52,      2.33,    328.39,   -0.0719,    0.0928,    0.0527,   -1.6529,    0.0623
2016-08-12 17:00,    303.14,    301.05,      1.42,      2.25,    227.00,   -0.0712,    0.0697,    0.0443,   -0.5309,    0.0613
2016-08-12 17:30,    303.36,    301.07,      0.93,      1.67,    142.19,   -0.0558,    0.0475,    0.0413,   -0.5005,    0.0733
2016-08-12 18:00,    301.99,    300.72,      0.97,      1.48,     75.14,   -0.0295,    0.0258,    0.0214,   -0.1681,    0.0523
2016-08-12 18:30,    300.00,    300.00,      1.01,      1.67,     14.03,   -0.0355,    0.0084,    0.0164,    0.5794,    0.0523
2016-08-12 19:00,    297.49,    298.16,      0.72,      1.43,    -41.75,   -0.0262,   -0.0037,    0.0067,    0.6968,    0.1506
2016-08-12 19:30,    294.99,    296.25,      0.24,      0.87,    -65.25,   -0.0034,   -0.0027,    0.0011,    0.3697,    0.1530
2016-08-12 20:00,    292.87,    294.76,      0.35,      0.54,    -64.24,   -0.0050,    0.0030,    0.0003,    2.2161,    0.1536
2016-08-12 20:30,    290.80,    292.64,      0.10,      0.30,    -58.49,   -0.0044,    0.0016,    0.0014,    2.2109,    0.1532
2016-08-12 21:00,    289.51,    291.68,      0.00,      0.10,    -57.93,   -0.0082,   -0.0003,    0.0008,    0.0968,    0.1493
2016-08-12 21:30,    288.19,    290.77,      0.41,      0.47,    -55.32,   -0.0013,    0.0035,    0.0025,    2.1276,    0.1457
2016-08-12 22:00,    287.49,    290.19,      0.00,      0.25,    -51.15,   -0.0097,    0.0080,    0.0067,    2.0981,    0.1432
2016-08-12 22:30,    286.94,    289.60,      0.01,      0.16,    -46.34,   -0.0043,    0.0053,    0.0018,    2.0697,    0.1408
2016-08-12 23:00,    286.43,    289.08,      0.19,      0.30,    -36.49,   -0.0031,    0.0078,    0.0003,    2.0416,    0.1385
2016-08-12 23:30,    286.06,    288.08,      0.00,      0.04,    -27.30,   -0.0140,   -0.0167,   -0.0116,    2.0101,    0.1359
2016-08-13 00:00,    285.55,    287.46,      0.00,      0.23,    -22.71,   -0.0035,   -0.0018,    0.0006,    1.9778,    0.1333
