# Data from UBC Energy Balance Station <Westham Island>
# Year: 2009 / Month: 04 / Day: 27
# All times in PST
# T_1   : Soil temperature at  5 cm depth in deg C
# T_2   : Soil temperature at 10 cm depth in deg C
# T_3   : Soil temperature at 20 cm depth in deg C
# T_4   : Soil temperature at 50 cm depth in deg C
# QG    : Soil heat flux density at 7.5 cm depth in W m^-2
# VWC   : Soil volumetric water content at 7.5 cm depth in m^3 m^-3
# Q*    : Net all-wave radiation at 2 m height in W m^-2
# QH    : Turbulent sensible heat flux density at 2 m height in W m^-2 (every 30 min)

"TIME (PST)"    ,   "T_1",   "T_2",   "T_3",   "T_4",    "QG",   "WVC",    "Q*",    "QG",
2009/04/27 00:15,   4.587,   6.089,   6.798,   5.423,   -8.09,   0.293,   -19.0,        , 
2009/04/27 00:30,   4.454,   5.984,   6.744,   5.450,   -8.14,   0.294,   -19.0,    -7.9, 
2009/04/27 00:45,   4.337,   5.859,   6.692,   5.471,   -8.20,   0.294,   -16.8,        , 
2009/04/27 01:00,   4.278,   5.791,   6.641,   5.428,   -8.14,   0.294,   -15.7,    -7.9, 
2009/04/27 01:15,   4.197,   5.674,   6.627,   5.468,   -8.06,   0.294,   -15.1,        , 
2009/04/27 01:30,   4.108,   5.588,   6.544,   5.460,   -8.02,   0.294,   -15.5,    -6.1, 
2009/04/27 01:45,   4.036,   5.520,   6.516,   5.456,   -7.95,   0.295,   -14.7,        , 
2009/04/27 02:00,   3.993,   5.418,   6.449,   5.450,   -7.76,   0.295,   -12.4,    -4.4, 
2009/04/27 02:15,   3.931,   5.339,   6.400,   5.463,   -7.45,   0.295,    -9.3,        , 
2009/04/27 02:30,   3.964,   5.274,   6.300,   5.453,   -6.98,   0.295,   -10.0,    -6.4, 
2009/04/27 02:45,   3.958,   5.199,   6.233,   5.451,   -6.54,   0.295,   -14.7,        , 
2009/04/27 03:00,   3.955,   5.152,   6.203,   5.449,   -6.28,   0.295,   -19.4,   -13.4, 
2009/04/27 03:15,   3.912,   5.110,   6.147,   5.474,   -6.28,   0.295,   -20.7,        , 
2009/04/27 03:30,   3.849,   5.047,   6.103,   5.473,   -6.32,   0.295,   -19.5,   -19.7, 
2009/04/27 03:45,   3.813,   5.015,   6.107,   5.468,   -6.27,   0.295,   -17.9,        , 
2009/04/27 04:00,   3.730,   4.950,   6.057,   5.466,   -6.43,   0.296,   -16.7,   -11.7, 
2009/04/27 04:15,   3.623,   4.901,   5.972,   5.476,   -6.68,   0.296,   -17.4,        , 
2009/04/27 04:30,   3.558,   4.838,   5.958,   5.441,   -6.79,   0.296,   -17.7,   -19.6, 
2009/04/27 04:45,   3.540,   4.774,   5.865,   5.436,   -6.66,   0.296,   -18.2,        , 
2009/04/27 05:00,   3.497,   4.738,   5.852,   5.486,   -6.44,   0.296,   -18.9,   -32.2, 
2009/04/27 05:15,   3.492,   4.702,   5.817,   5.481,   -6.26,   0.296,   -13.1,        , 
2009/04/27 05:30,   3.470,   4.663,   5.785,   5.479,   -6.10,   0.296,    -3.6,   -27.0, 
2009/04/27 05:45,   3.472,   4.609,   5.735,   5.493,   -5.86,   0.296,    13.6,        , 
2009/04/27 06:00,   3.494,   4.533,   5.690,   5.460,   -5.48,   0.296,    38.1,   -16.7, 
2009/04/27 06:15,   3.538,   4.498,   5.658,   5.463,   -4.95,   0.296,    65.6,        , 
