# Data from UBC Energy Balance Station <Westham Island>
# Year: 2009 / Month: 06 / Day: 03
# All times in PST
# T_1   : Soil temperature at  5 cm depth in deg C
# T_2   : Soil temperature at 10 cm depth in deg C
# T_3   : Soil temperature at 20 cm depth in deg C
# T_4   : Soil temperature at 50 cm depth in deg C
# QG    : Soil heat flux density at 7.5 cm depth in W m^-2
# VWC   : Soil volumetric water content at 7.5 cm depth in m^3 m^-3
# Q*    : Net all-wave radiation at 2 m height in W m^-2
# QH    : Turbulent sensible heat flux density at 2 m height in W m^-2 (every 30 min)

"TIME (PST)"    ,   "T_1",   "T_2",   "T_3",   "T_4",    "QG",   "WVC",    "Q*",    "QG",
2009/06/03 00:15,  12.299,  12.905,  12.606,   9.588,   -3.03,   0.197,   -55.9,        , 
2009/06/03 00:30,  12.160,  12.808,  12.585,   9.636,   -3.21,   0.197,   -54.9,   -15.1, 
2009/06/03 00:45,  12.048,  12.709,  12.552,   9.644,   -3.50,   0.197,   -49.8,        , 
2009/06/03 01:00,  11.882,  12.657,  12.512,   9.673,   -3.89,   0.197,   -49.2,    -9.2, 
2009/06/03 01:15,  11.711,  12.547,  12.490,   9.677,   -4.26,   0.197,   -49.9,        , 
2009/06/03 01:30,  11.623,  12.451,  12.454,   9.695,   -4.51,   0.198,   -49.7,   -12.5, 
2009/06/03 01:45,  11.457,  12.361,  12.436,   9.694,   -4.75,   0.198,   -43.7,        , 
2009/06/03 02:00,  11.319,  12.267,  12.386,   9.713,   -5.01,   0.198,   -39.6,    -2.4, 
2009/06/03 02:15,  11.182,  12.192,  12.360,   9.741,   -5.29,   0.198,   -35.6,        , 
2009/06/03 02:30,  11.043,  12.070,  12.299,   9.726,   -5.58,   0.198,   -32.0,   -18.6, 
2009/06/03 02:45,  10.921,  11.964,  12.271,   9.725,   -5.81,   0.198,   -30.6,        , 
2009/06/03 03:00,  10.803,  11.871,  12.232,   9.750,   -5.96,   0.198,   -27.5,     8.9, 
2009/06/03 03:15,  10.705,  11.795,  12.169,   9.761,   -6.09,   0.198,   -25.5,        , 
2009/06/03 03:30,  10.565,  11.710,  12.128,   9.762,   -6.18,   0.199,   -24.2,    83.6, 
2009/06/03 03:45,  10.448,  11.614,  12.078,   9.782,   -6.28,   0.199,   -24.0,        , 
2009/06/03 04:00,  10.370,  11.511,  12.033,   9.780,   -6.40,   0.199,   -22.5,     6.5, 
2009/06/03 04:15,  10.196,  11.414,  11.979,   9.780,   -6.49,   0.199,   -20.7,        , 
2009/06/03 04:30,  10.089,  11.337,  11.922,   9.803,   -6.60,   0.199,   -16.5,    11.7, 
2009/06/03 04:45,  10.011,  11.241,  11.856,   9.813,   -6.69,   0.199,    -8.4,        , 
