# Data from UBC Energy Balance Station <Westham Island>
# Year: 2009 / Month: 05 / Day: 28
# All times in PST
# T_1   : Soil temperature at  5 cm depth in deg C
# T_2   : Soil temperature at 10 cm depth in deg C
# T_3   : Soil temperature at 20 cm depth in deg C
# T_4   : Soil temperature at 50 cm depth in deg C
# QG    : Soil heat flux density at 7.5 cm depth in W m^-2
# VWC   : Soil volumetric water content at 7.5 cm depth in m^3 m^-3
# Q*    : Net all-wave radiation at 2 m height in W m^-2
# QH    : Turbulent sensible heat flux density at 2 m height in W m^-2 (every 30 min)

"TIME (PST)"    ,   "T_1",   "T_2",   "T_3",   "T_4",    "QG",   "WVC",    "Q*",    "QG",
2009/05/28 00:15,   8.447,   9.804,  10.463,   8.680,   -7.55,   0.238,   -16.2,        , 
2009/05/28 00:30,   8.341,   9.703,  10.392,   8.691,   -7.71,   0.238,   -15.1,     6.3, 
2009/05/28 00:45,   8.218,   9.611,  10.347,   8.715,   -7.93,   0.238,   -14.1,        , 
2009/05/28 01:00,   8.061,   9.525,  10.310,   8.681,   -8.11,   0.238,   -15.8,    21.5, 
2009/05/28 01:15,   7.986,   9.410,  10.252,   8.705,   -8.21,   0.238,   -14.1,        , 
2009/05/28 01:30,   7.859,   9.321,  10.208,   8.707,   -8.29,   0.239,   -12.9,    13.4, 
2009/05/28 01:45,   7.759,   9.213,  10.175,   8.721,   -8.41,   0.239,   -12.8,        , 
2009/05/28 02:00,   7.625,   9.157,  10.107,   8.713,   -8.50,   0.239,   -13.8,     5.3, 
2009/05/28 02:15,   7.482,   9.031,  10.067,   8.701,   -8.56,   0.239,   -12.7,        , 
2009/05/28 02:30,   7.424,   8.965,  10.006,   8.710,   -8.52,   0.239,   -12.2,    -2.7, 
2009/05/28 02:45,   7.346,   8.875,   9.937,   8.724,   -8.46,   0.239,   -12.3,        , 
2009/05/28 03:00,   7.240,   8.768,   9.890,   8.747,   -8.40,   0.239,   -12.3,     2.5, 
2009/05/28 03:15,   7.217,   8.691,   9.832,   8.731,   -8.38,   0.239,   -13.1,        , 
2009/05/28 03:30,   7.110,   8.605,   9.765,   8.744,   -8.40,   0.240,   -11.2,    -1.4, 
2009/05/28 03:45,   7.045,   8.532,   9.740,   8.725,   -8.40,   0.240,   -11.8,        , 
2009/05/28 04:00,   6.988,   8.469,   9.671,   8.733,   -8.26,   0.240,   -12.2,   -12.3, 
2009/05/28 04:15,   6.915,   8.370,   9.598,   8.721,   -7.96,   0.240,   -12.8,        , 
