# Data from UBC Energy Balance Station <Westham Island>
# Year: 2009 / Month: 06 / Day: 05
# All times in PST
# T_1   : Soil temperature at  5 cm depth in deg C
# T_2   : Soil temperature at 10 cm depth in deg C
# T_3   : Soil temperature at 20 cm depth in deg C
# T_4   : Soil temperature at 50 cm depth in deg C
# QG    : Soil heat flux density at 7.5 cm depth in W m^-2
# VWC   : Soil volumetric water content at 7.5 cm depth in m^3 m^-3
# Q*    : Net all-wave radiation at 2 m height in W m^-2
# QH    : Turbulent sensible heat flux density at 2 m height in W m^-2 (every 30 min)

"TIME (PST)"    ,   "T_1",   "T_2",   "T_3",   "T_4",    "QG",   "WVC",    "Q*",    "QG",
2009/06/05 00:15,  12.730,  13.366,  13.168,  10.030,   -3.26,   0.188,   -64.4,        , 
2009/06/05 00:30,  12.626,  13.284,  13.129,  10.023,   -3.32,   0.188,   -56.5,    -9.7, 
2009/06/05 00:45,  12.470,  13.183,  13.071,  10.062,   -3.70,   0.188,   -62.1,        , 
2009/06/05 01:00,  12.388,  13.124,  13.049,  10.045,   -3.87,   0.188,   -74.1,   -90.7, 
2009/06/05 01:15,  12.313,  13.021,  12.976,  10.032,   -3.70,   0.188,   -74.6,        , 
2009/06/05 01:30,  12.266,  12.919,  12.927,  10.042,   -3.52,   0.188,   -72.6,   -64.6, 
2009/06/05 01:45,  12.206,  12.838,  12.876,  10.083,   -3.39,   0.188,   -69.5,        , 
2009/06/05 02:00,  12.173,  12.826,  12.864,  10.078,   -3.36,   0.188,   -69.9,   -52.9, 
2009/06/05 02:15,  12.126,  12.754,  12.817,  10.080,   -3.32,   0.188,   -69.8,        , 
2009/06/05 02:30,  12.063,  12.689,  12.813,  10.083,   -3.27,   0.188,   -66.8,   -47.2, 
2009/06/05 02:45,  11.985,  12.636,  12.744,  10.080,   -3.28,   0.189,   -67.4,        , 
2009/06/05 03:00,  11.954,  12.573,  12.707,  10.103,   -3.25,   0.189,   -68.5,   -45.2, 
2009/06/05 03:15,  11.930,  12.512,  12.644,  10.104,   -3.20,   0.189,   -69.3,        , 
2009/06/05 03:30,  11.866,  12.450,  12.612,  10.115,   -3.17,   0.189,   -69.3,   -45.4, 
2009/06/05 03:45,  11.814,  12.386,  12.593,  10.105,   -3.15,   0.189,   -69.0,        , 
2009/06/05 04:00,  11.795,  12.323,  12.527,  10.122,   -3.14,   0.189,   -69.3,   -43.9, 
2009/06/05 04:15,  11.727,  12.301,  12.495,  10.129,   -3.11,   0.189,   -70.7,        , 
2009/06/05 04:30,  11.668,  12.246,  12.446,  10.151,   -3.13,   0.189,   -66.6,   -37.4, 
2009/06/05 04:45,  11.615,  12.196,  12.420,  10.163,   -3.12,   0.189,   -58.4,        , 
2009/06/05 05:00,  11.570,  12.163,  12.403,  10.171,   -3.07,   0.189,   -47.5,   -40.5, 
2009/06/05 05:15,  11.587,  12.106,  12.337,  10.148,   -2.96,   0.189,   -33.8,        , 
2009/06/05 05:30,  11.562,  12.099,  12.342,  10.139,   -2.79,   0.189,   -14.8,   -25.6, 
2009/06/05 05:45,  11.550,  12.034,  12.251,  10.150,   -2.56,   0.189,     6.8,        , 
2009/06/05 06:00,  11.602,  11.989,  12.257,  10.111,   -2.27,   0.189,    31.5,   -12.3, 
2009/06/05 06:15,  11.613,  11.973,  12.222,  10.137,   -1.93,   0.189,    61.7,        , 
2009/06/05 06:30,  11.671,  11.957,  12.191,  10.148,   -1.50,   0.189,    92.0,    12.2, 
2009/06/05 06:45,  11.753,  11.893,  12.125,  10.131,   -1.03,   0.189,   127.3,        , 
2009/06/05 07:00,  11.849,  11.919,  12.068,  10.108,   -0.52,   0.189,   162.1,    43.5, 
2009/06/05 07:15,  11.938,  11.925,  12.065,  10.105,   -0.04,   0.189,   196.2,        , 
2009/06/05 07:30,  12.006,  11.923,  12.028,  10.102,    0.43,   0.189,   226.1,    74.1, 
2009/06/05 07:45,  12.131,  11.939,  11.981,  10.114,    0.91,   0.189,   257.8,        , 
2009/06/05 08:00,  12.221,  11.980,  11.962,  10.110,    1.45,   0.189,   294.2,    85.4, 
2009/06/05 08:15,  12.320,  11.970,  11.919,  10.075,    2.04,   0.189,   330.9,        , 
2009/06/05 08:30,  12.438,  12.000,  11.898,  10.057,    2.72,   0.189,   358.7,   106.6, 
2009/06/05 08:45,  12.623,  12.053,  11.887,  10.069,    3.41,   0.188,   357.4,        , 
2009/06/05 09:00,  12.765,  12.086,  11.881,  10.078,    4.23,   0.188,   290.6,    69.1, 
2009/06/05 09:15,  12.936,  12.158,  11.832,  10.058,    4.89,   0.188,   403.2,        , 
2009/06/05 09:30,  13.115,  12.201,  11.840,  10.016,    5.81,   0.188,   437.8,    99.5, 
2009/06/05 09:45,  13.307,  12.301,  11.843,  10.045,    6.92,   0.188,   387.0,        , 
2009/06/05 10:00,  13.507,  12.410,  11.824,  10.030,    8.04,   0.187,   528.8,   103.8, 
2009/06/05 10:15,  13.753,  12.479,  11.825,  10.011,    9.71,   0.187,   521.8,        , 
2009/06/05 10:30,  14.023,  12.580,  11.836,  10.026,   11.15,   0.187,   542.6,   137.9, 
2009/06/05 10:45,  14.331,  12.696,  11.841,   9.990,   12.17,   0.186,   540.8,        , 
2009/06/05 11:00,  14.676,  12.862,  11.878,  10.009,   12.66,   0.186,   539.0,   134.7, 
2009/06/05 11:15,  14.958,  12.966,  11.872,   9.973,   13.09,   0.185,   541.9,        , 
2009/06/05 11:30,  15.253,  13.110,  11.939,   9.984,   13.85,   0.185,   574.6,   119.5, 
2009/06/05 11:45,  15.512,  13.250,  11.893,  10.002,   14.26,   0.185,   424.5,        , 
2009/06/05 12:00,  15.662,  13.461,  11.961,  10.001,   13.74,   0.184,   476.8,   101.9, 
2009/06/05 12:15,  15.844,  13.587,  12.012,   9.998,   13.57,   0.184,   433.2,        , 
2009/06/05 12:30,  15.983,  13.730,  12.024,   9.982,   13.31,   0.184,   510.2,   111.2, 
2009/06/05 12:45,  16.195,  13.841,  12.068,  10.000,   13.69,   0.184,   510.4,        , 
2009/06/05 13:00,  16.501,  13.983,  12.131,   9.959,   14.40,   0.183,   589.9,   134.1, 
2009/06/05 13:15,  16.900,  14.149,  12.172,   9.975,   15.25,   0.183,   560.1,        , 
2009/06/05 13:30,  17.277,  14.306,  12.232,   9.951,   15.94,   0.182,   573.0,   143.4, 
2009/06/05 13:45,  17.644,  14.501,  12.266,   9.922,   16.26,   0.182,   524.6,        , 
2009/06/05 14:00,  17.903,  14.707,  12.306,   9.902,   16.20,   0.182,   560.9,   145.9, 
2009/06/05 14:15,  18.146,  14.868,  12.401,   9.921,   16.03,   0.181,   508.9,        , 
2009/06/05 14:30,  18.283,  15.042,  12.455,   9.891,   15.67,   0.181,   516.7,   142.3, 
2009/06/05 14:45,  18.306,  15.220,  12.509,   9.915,   14.89,   0.181,   488.2,        , 
2009/06/05 15:00,  18.253,  15.367,  12.561,   9.881,   13.73,   0.181,   474.4,   127.4, 
2009/06/05 15:15,  18.078,  15.440,  12.637,   9.911,   12.87,   0.182,   448.9,        , 
2009/06/05 15:30,  17.849,  15.502,  12.692,   9.869,   12.20,   0.182,   420.2,   111.6, 
2009/06/05 15:45,  17.645,  15.539,  12.786,   9.893,   11.50,   0.182,   433.8,        , 
2009/06/05 16:00,  17.488,  15.556,  12.820,   9.874,   11.01,   0.182,   398.4,   115.0, 
2009/06/05 16:15,  17.320,  15.506,  12.854,   9.881,   10.50,   0.182,   370.6,        , 
2009/06/05 16:30,  17.129,  15.507,  12.934,   9.886,    9.75,   0.182,   341.4,    82.2, 
2009/06/05 16:45,  16.965,  15.521,  12.994,   9.882,    8.94,   0.182,   279.5,        , 
2009/06/05 17:00,  16.767,  15.442,  13.053,   9.910,    8.05,   0.182,   219.5,    56.7, 
2009/06/05 17:15,  16.586,  15.410,  13.086,   9.917,    7.19,   0.182,   223.4,        , 
2009/06/05 17:30,  16.414,  15.373,  13.145,   9.910,    6.50,   0.182,   214.9,    42.7, 
2009/06/05 17:45,  16.283,  15.326,  13.163,   9.907,    5.99,   0.183,   209.9,        , 
2009/06/05 18:00,  16.184,  15.240,  13.182,   9.918,    5.68,   0.183,   174.1,    32.9, 
2009/06/05 18:15,  16.080,  15.204,  13.220,   9.968,    5.33,   0.183,    68.0,        , 
2009/06/05 18:30,  15.945,  15.183,  13.274,   9.981,    4.66,   0.183,     6.9,    -7.4, 
2009/06/05 18:45,  15.732,  15.131,  13.336,  10.026,    3.73,   0.183,    21.4,        , 
2009/06/05 19:00,  15.524,  15.055,  13.369,  10.033,    2.94,   0.183,    -5.5,    -4.3, 
