# Data from UBC Energy Balance Station <Westham Island>
# Year: 2009 / Month: 05 / Day: 01
# All times in PST
# T_1   : Soil temperature at  5 cm depth in deg C
# T_2   : Soil temperature at 10 cm depth in deg C
# T_3   : Soil temperature at 20 cm depth in deg C
# T_4   : Soil temperature at 50 cm depth in deg C
# QG    : Soil heat flux density at 7.5 cm depth in W m^-2
# VWC   : Soil volumetric water content at 7.5 cm depth in m^3 m^-3
# Q*    : Net all-wave radiation at 2 m height in W m^-2
# QH    : Turbulent sensible heat flux density at 2 m height in W m^-2 (every 30 min)

"TIME (PST)"    ,   "T_1",   "T_2",   "T_3",   "T_4",    "QG",   "WVC",    "Q*",    "QG",
2009/05/01 00:15,   6.004,   7.643,   8.409,   6.142,   -9.29,   0.262,   -36.2,        , 
2009/05/01 00:30,   5.870,   7.524,   8.338,   6.168,   -9.40,   0.262,   -33.8,     0.5, 
2009/05/01 00:45,   5.719,   7.438,   8.265,   6.196,   -9.54,   0.263,   -32.5,        , 
2009/05/01 01:00,   5.545,   7.308,   8.204,   6.152,   -9.60,   0.263,   -31.4,    -4.6, 
2009/05/01 01:15,   5.460,   7.173,   8.150,   6.164,   -9.60,   0.263,   -30.0,        , 
2009/05/01 01:30,   5.355,   7.058,   8.080,   6.187,   -9.62,   0.263,   -29.0,     2.7, 
2009/05/01 01:45,   5.220,   6.990,   7.998,   6.191,   -9.75,   0.264,   -27.6,        , 
2009/05/01 02:00,   5.118,   6.842,   7.939,   6.188,   -9.80,   0.264,   -27.9,    -6.2, 
2009/05/01 02:15,   4.996,   6.759,   7.861,   6.186,   -9.80,   0.264,   -27.7,        , 
2009/05/01 02:30,   4.905,   6.665,   7.800,   6.232,   -9.80,   0.264,   -29.3,    -9.6, 
2009/05/01 02:45,   4.849,   6.555,   7.766,   6.234,   -9.74,   0.264,   -28.1,        , 
2009/05/01 03:00,   4.737,   6.438,   7.684,   6.235,   -9.78,   0.265,   -27.0,    -3.8, 
2009/05/01 03:15,   4.603,   6.402,   7.647,   6.275,   -9.87,   0.265,   -25.7,        , 
2009/05/01 03:30,   4.518,   6.290,   7.592,   6.248,   -9.96,   0.265,   -24.7,    -4.4, 
2009/05/01 03:45,   4.439,   6.205,   7.545,   6.269,  -10.04,   0.265,   -23.4,        , 
2009/05/01 04:00,   4.349,   6.133,   7.469,   6.252,  -10.15,   0.265,   -24.8,    -4.2, 
2009/05/01 04:15,   4.233,   6.034,   7.444,   6.245,  -10.21,   0.266,   -21.3,        , 
2009/05/01 04:30,   4.101,   5.907,   7.361,   6.285,  -10.30,   0.266,   -20.9,    -4.0, 
2009/05/01 04:45,   4.001,   5.812,   7.294,   6.286,  -10.36,   0.266,   -21.6,        , 
2009/05/01 05:00,   3.882,   5.722,   7.203,   6.290,  -10.38,   0.266,   -19.8,    -3.7, 
2009/05/01 05:15,   3.841,   5.641,   7.152,   6.280,  -10.33,   0.266,   -11.4,        , 
2009/05/01 05:30,   3.769,   5.567,   7.092,   6.285,  -10.20,   0.267,     4.2,     7.4, 
2009/05/01 05:45,   3.738,   5.460,   7.004,   6.257,   -9.87,   0.267,    26.2,        , 
2009/05/01 06:00,   3.759,   5.356,   6.946,   6.264,   -9.35,   0.267,    47.5,    20.3, 
2009/05/01 06:15,   3.824,   5.303,   6.888,   6.219,   -8.57,   0.267,    67.2,        , 
2009/05/01 06:30,   3.923,   5.276,   6.787,   6.206,   -7.56,   0.266,    80.1,    -1.3, 
2009/05/01 06:45,   4.048,   5.218,   6.707,   6.200,   -6.50,   0.266,    76.5,        , 
2009/05/01 07:00,   4.226,   5.189,   6.686,   6.217,   -5.51,   0.266,   112.4,    12.9, 
2009/05/01 07:15,   4.373,   5.211,   6.654,   6.188,   -4.59,   0.266,   155.2,        , 
2009/05/01 07:30,   4.519,   5.198,   6.557,   6.196,   -3.69,   0.265,   192.5,    21.2, 
2009/05/01 07:45,   4.693,   5.235,   6.493,   6.177,   -2.84,   0.265,   230.5,        , 
2009/05/01 08:00,   4.905,   5.285,   6.446,   6.171,   -1.86,   0.265,   222.1,    40.1, 
2009/05/01 08:15,   5.047,   5.312,   6.411,   6.175,   -0.92,   0.264,   284.7,        , 
2009/05/01 08:30,   5.227,   5.373,   6.369,   6.174,    0.37,   0.264,   324.9,    72.8, 
2009/05/01 08:45,   5.447,   5.418,   6.370,   6.151,    1.88,   0.264,   357.2,        , 
2009/05/01 09:00,   5.675,   5.491,   6.338,   6.154,    3.40,   0.263,   386.7,   133.1, 
2009/05/01 09:15,   5.928,   5.596,   6.284,   6.174,    5.16,   0.262,   416.6,        , 
2009/05/01 09:30,   6.239,   5.659,   6.297,   6.149,    7.15,   0.262,   441.0,   161.7, 
2009/05/01 09:45,   6.624,   5.834,   6.268,   6.191,    9.45,   0.261,   459.3,        , 
2009/05/01 10:00,   7.079,   5.962,   6.267,   6.191,   12.03,   0.260,   486.4,   182.8, 
2009/05/01 10:15,   7.640,   6.136,   6.271,   6.140,   14.47,   0.258,   507.9,        , 
2009/05/01 10:30,   8.248,   6.302,   6.284,   6.160,   16.66,   0.257,   511.5,   202.1, 
2009/05/01 10:45,   8.930,   6.598,   6.317,   6.165,   18.53,   0.255,   548.5,        , 
2009/05/01 11:00,   9.709,   6.878,   6.320,   6.151,   20.67,   0.253,   559.8,   205.0, 
2009/05/01 11:15,  10.486,   7.226,   6.365,   6.153,   22.30,   0.251,   567.3,        , 
2009/05/01 11:30,  11.315,   7.571,   6.384,   6.158,   23.75,   0.249,   580.9,   212.6, 
2009/05/01 11:45,  12.130,   7.920,   6.427,   6.137,   24.83,   0.247,   588.2,        , 
2009/05/01 12:00,  12.891,   8.355,   6.504,   6.139,   25.62,   0.246,   585.5,   206.3, 
2009/05/01 12:15,  13.570,   8.768,   6.566,   6.164,   26.07,   0.244,   577.9,        , 
2009/05/01 12:30,  14.221,   9.149,   6.659,   6.112,   26.55,   0.242,   606.1,   212.5, 
2009/05/01 12:45,  14.785,   9.560,   6.718,   6.115,   26.96,   0.241,   562.1,        , 
