# Data from UBC Energy Balance Station <Westham Island>
# Year: 2009 / Month: 07 / Day: 11
# All times in PST
# T_1   : Soil temperature at  5 cm depth in deg C
# T_2   : Soil temperature at 10 cm depth in deg C
# T_3   : Soil temperature at 20 cm depth in deg C
# T_4   : Soil temperature at 50 cm depth in deg C
# QG    : Soil heat flux density at 7.5 cm depth in W m^-2
# VWC   : Soil volumetric water content at 7.5 cm depth in m^3 m^-3
# Q*    : Net all-wave radiation at 2 m height in W m^-2
# QH    : Turbulent sensible heat flux density at 2 m height in W m^-2 (every 30 min)

"TIME (PST)"    ,   "T_1",   "T_2",   "T_3",   "T_4",    "QG",   "WVC",    "Q*",    "QG",
2009/07/11 00:15,  11.256,  12.381,  12.756,  10.764,   -5.89,   0.215,   -13.9,        , 
2009/07/11 00:30,  11.122,  12.276,  12.681,  10.789,   -5.98,   0.215,   -14.1,     1.9, 
2009/07/11 00:45,  10.976,  12.162,  12.651,  10.798,   -6.10,   0.215,   -14.0,        , 
2009/07/11 01:00,  10.861,  12.073,  12.606,  10.782,   -6.18,   0.215,   -13.5,    -1.1, 
2009/07/11 01:15,  10.760,  11.970,  12.538,  10.802,   -6.21,   0.215,   -12.5,        , 
2009/07/11 01:30,  10.640,  11.870,  12.459,  10.824,   -6.18,   0.215,   -11.0,     2.6, 
2009/07/11 01:45,  10.556,  11.758,  12.441,  10.826,   -6.22,   0.215,   -10.8,        , 
2009/07/11 02:00,  10.460,  11.714,  12.406,  10.844,   -6.26,   0.215,   -11.8,     0.3, 
2009/07/11 02:15,  10.384,  11.592,  12.313,  10.790,   -6.31,   0.215,   -10.8,        , 
2009/07/11 02:30,  10.287,  11.520,  12.310,  10.835,   -6.35,   0.215,   -11.4,    -2.1, 
2009/07/11 02:45,  10.201,  11.438,  12.247,  10.850,   -6.34,   0.215,   -10.7,        , 
2009/07/11 03:00,  10.123,  11.317,  12.182,  10.841,   -6.28,   0.215,   -12.2,     3.2, 
2009/07/11 03:15,  10.020,  11.270,  12.120,  10.840,   -6.24,   0.215,   -11.1,        , 
2009/07/11 03:30,   9.956,  11.185,  12.077,  10.867,   -6.23,   0.215,    -9.2,    16.8, 
2009/07/11 03:45,   9.895,  11.104,  12.019,  10.850,   -6.33,   0.215,    -8.3,        , 
2009/07/11 04:00,   9.762,  11.044,  11.973,  10.841,   -6.34,   0.215,    -8.0,     9.1, 
2009/07/11 04:15,   9.720,  10.974,  11.925,  10.873,   -6.33,   0.215,    -7.7,        , 
2009/07/11 04:30,   9.619,  10.891,  11.873,  10.871,   -6.36,   0.215,    -5.9,    -4.2, 
2009/07/11 04:45,   9.557,  10.797,  11.827,  10.872,   -6.37,   0.215,     4.1,        , 
2009/07/11 05:00,   9.505,  10.726,  11.794,  10.859,   -6.28,   0.215,    17.8,   -14.9, 
2009/07/11 05:15,   9.482,  10.651,  11.713,  10.834,   -6.08,   0.215,    27.1,        , 
2009/07/11 05:30,   9.476,  10.601,  11.667,  10.875,   -5.78,   0.215,    37.4,   -25.5, 
2009/07/11 05:45,   9.527,  10.556,  11.621,  10.831,   -5.27,   0.215,    54.7,        , 
2009/07/11 06:00,   9.604,  10.509,  11.555,  10.802,   -4.52,   0.215,    75.4,   -36.2, 
2009/07/11 06:15,   9.736,  10.484,  11.481,  10.810,   -3.70,   0.215,   102.6,        , 
2009/07/11 06:30,   9.896,  10.464,  11.420,  10.776,   -2.87,   0.215,   142.6,    10.5, 
2009/07/11 06:45,  10.066,  10.475,  11.392,  10.768,   -2.07,   0.215,   194.1,        , 
2009/07/11 07:00,  10.214,  10.468,  11.310,  10.759,   -1.27,   0.215,   182.1,    29.5, 
2009/07/11 07:15,  10.403,  10.508,  11.290,  10.755,   -0.50,   0.215,   192.6,        , 
2009/07/11 07:30,  10.571,  10.554,  11.248,  10.763,    0.22,   0.215,   229.7,    46.7, 
2009/07/11 07:45,  10.808,  10.602,  11.224,  10.747,    0.94,   0.215,   266.8,        , 
2009/07/11 08:00,  10.981,  10.694,  11.210,  10.729,    1.64,   0.215,   300.7,    86.1, 
2009/07/11 08:15,  11.213,  10.735,  11.130,  10.702,    2.37,   0.215,   333.3,        , 
2009/07/11 08:30,  11.388,  10.779,  11.117,  10.716,    3.12,   0.215,   365.0,   127.1, 
2009/07/11 08:45,  11.654,  10.886,  11.069,  10.693,    3.88,   0.215,   394.8,        , 
2009/07/11 09:00,  11.878,  10.988,  11.078,  10.710,    4.69,   0.215,   423.5,   144.9, 
2009/07/11 09:15,  12.188,  11.114,  11.088,  10.663,    5.47,   0.215,   451.4,        , 
2009/07/11 09:30,  12.472,  11.218,  11.095,  10.658,    6.32,   0.214,   479.3,   173.5, 
2009/07/11 09:45,  12.820,  11.382,  11.108,  10.652,    7.16,   0.214,   507.2,        , 
