# Data from UBC Energy Balance Station <Westham Island>
# Year: 2009 / Month: 06 / Day: 30
# All times in PST
# T_1   : Soil temperature at  5 cm depth in deg C
# T_2   : Soil temperature at 10 cm depth in deg C
# T_3   : Soil temperature at 20 cm depth in deg C
# T_4   : Soil temperature at 50 cm depth in deg C
# QG    : Soil heat flux density at 7.5 cm depth in W m^-2
# VWC   : Soil volumetric water content at 7.5 cm depth in m^3 m^-3
# Q*    : Net all-wave radiation at 2 m height in W m^-2
# QH    : Turbulent sensible heat flux density at 2 m height in W m^-2 (every 30 min)

"TIME (PST)"    ,   "T_1",   "T_2",   "T_3",   "T_4",    "QG",   "WVC",    "Q*",    "QG",
2009/06/30 00:15,  11.681,  12.145,  12.197,  10.581,   -1.53,   0.188,   -83.1,        , 
2009/06/30 00:30,  11.608,  12.083,  12.177,  10.613,   -1.65,   0.188,   -85.3,   -82.8, 
2009/06/30 00:45,  11.507,  12.032,  12.136,  10.605,   -1.84,   0.188,   -86.2,        , 
2009/06/30 01:00,  11.452,  11.981,  12.121,  10.623,   -2.04,   0.188,   -86.8,   -87.9, 
2009/06/30 01:15,  11.399,  11.961,  12.118,  10.620,   -2.17,   0.188,   -85.3,        , 
2009/06/30 01:30,  11.312,  11.869,  12.071,  10.638,   -2.27,   0.189,   -83.9,   -74.0, 
2009/06/30 01:45,  11.247,  11.846,  12.068,  10.637,   -2.36,   0.189,   -84.1,        , 
2009/06/30 02:00,  11.197,  11.796,  12.053,  10.618,   -2.43,   0.189,   -83.3,   -81.4, 
2009/06/30 02:15,  11.129,  11.750,  12.007,  10.635,   -2.50,   0.189,   -83.5,        , 
2009/06/30 02:30,  11.059,  11.684,  11.973,  10.639,   -2.56,   0.189,   -82.6,   -77.9, 
2009/06/30 02:45,  11.015,  11.659,  11.961,  10.633,   -2.59,   0.189,   -82.1,        , 
2009/06/30 03:00,  10.976,  11.602,  11.960,  10.635,   -2.61,   0.189,   -82.1,   -79.2, 
2009/06/30 03:15,  10.908,  11.528,  11.921,  10.636,   -2.65,   0.189,   -80.9,        , 
2009/06/30 03:30,  10.847,  11.498,  11.861,  10.641,   -2.68,   0.189,   -82.1,   -72.3, 
2009/06/30 03:45,  10.778,  11.458,  11.855,  10.645,   -2.72,   0.189,   -82.5,        , 
2009/06/30 04:00,  10.763,  11.416,  11.833,  10.681,   -2.76,   0.189,   -83.6,   -79.3, 
2009/06/30 04:15,  10.699,  11.371,  11.762,  10.657,   -2.73,   0.189,   -84.3,        , 
2009/06/30 04:30,  10.628,  11.299,  11.753,  10.648,   -2.75,   0.189,   -78.8,   -60.7, 
2009/06/30 04:45,  10.575,  11.271,  11.755,  10.665,   -2.78,   0.189,   -69.4,        , 
2009/06/30 05:00,  10.526,  11.240,  11.726,  10.655,   -2.73,   0.189,   -56.1,   -53.3, 
2009/06/30 05:15,  10.525,  11.214,  11.704,  10.654,   -2.65,   0.189,   -38.7,        , 
2009/06/30 05:30,  10.502,  11.167,  11.664,  10.687,   -2.55,   0.189,   -15.8,   -33.4, 
2009/06/30 05:45,  10.534,  11.124,  11.626,  10.666,   -2.37,   0.189,    11.4,        , 
2009/06/30 06:00,  10.515,  11.070,  11.611,  10.671,   -2.15,   0.189,    42.5,   -12.1, 
2009/06/30 06:15,  10.576,  11.085,  11.578,  10.657,   -1.94,   0.189,    74.4,        , 
