# Data from UBC Energy Balance Station <Westham Island>
# Year: 2009 / Month: 03 / Day: 29
# All times in PST
# T_1   : Soil temperature at  5 cm depth in deg C
# T_2   : Soil temperature at 10 cm depth in deg C
# T_3   : Soil temperature at 20 cm depth in deg C
# T_4   : Soil temperature at 50 cm depth in deg C
# QG    : Soil heat flux density at 7.5 cm depth in W m^-2
# VWC   : Soil volumetric water content at 7.5 cm depth in m^3 m^-3
# Q*    : Net all-wave radiation at 2 m height in W m^-2
# QH    : Turbulent sensible heat flux density at 2 m height in W m^-2 (every 30 min)

"TIME (PST)"    ,   "T_1",   "T_2",   "T_3",   "T_4",    "QG",   "WVC",    "Q*",    "QG",
2009/03/29 00:15,   2.148,   2.694,   2.964,   2.077,   -4.33,   0.352,   -25.3,        , 
2009/03/29 00:30,   2.119,   2.680,   2.923,   2.078,   -4.26,   0.352,   -33.9,    -6.5, 
2009/03/29 00:45,   2.041,   2.630,   2.903,   2.102,   -4.38,   0.352,   -39.4,        , 
2009/03/29 01:00,   1.985,   2.599,   2.893,   2.105,   -4.61,   0.351,   -51.4,    -5.4, 
2009/03/29 01:15,   1.900,   2.565,   2.841,   2.116,   -5.09,   0.350,   -58.6,        , 
2009/03/29 01:30,   1.765,   2.520,   2.839,   2.132,   -5.47,   0.350,   -65.6,   -33.0, 
2009/03/29 01:45,   1.689,   2.473,   2.822,   2.103,   -5.67,   0.351,   -62.4,        , 
2009/03/29 02:00,   1.589,   2.403,   2.794,   2.099,   -5.78,   0.351,   -49.1,   -47.5, 
2009/03/29 02:15,   1.568,   2.338,   2.787,   2.101,   -5.75,   0.351,   -43.4,        , 
2009/03/29 02:30,   1.513,   2.289,   2.755,   2.085,   -5.67,   0.351,   -55.4,   -44.3, 
2009/03/29 02:45,   1.457,   2.249,   2.696,   2.139,   -5.70,   0.351,   -80.6,        , 
2009/03/29 03:00,   1.390,   2.217,   2.697,   2.119,   -6.00,   0.351,   -87.3,   -56.8, 
2009/03/29 03:15,   1.302,   2.168,   2.705,   2.127,   -6.38,   0.351,   -87.6,        , 
2009/03/29 03:30,   1.213,   2.089,   2.652,   2.107,   -6.67,   0.352,   -88.9,   -59.4, 
2009/03/29 03:45,   1.123,   2.038,   2.646,   2.122,   -6.81,   0.352,   -89.2,        , 
2009/03/29 04:00,   1.046,   2.003,   2.595,   2.146,   -6.93,   0.352,   -88.8,   -64.4, 
2009/03/29 04:15,   1.010,   1.964,   2.568,   2.118,   -6.89,   0.352,   -89.2,        , 
2009/03/29 04:30,   0.918,   1.875,   2.518,   2.132,   -6.75,   0.352,   -89.2,   -65.9, 
2009/03/29 04:45,   0.856,   1.820,   2.534,   2.131,   -6.83,   0.352,   -88.7,        , 
2009/03/29 05:00,   0.784,   1.796,   2.489,   2.126,   -6.85,   0.352,   -88.9,   -71.7, 
2009/03/29 05:15,   0.774,   1.719,   2.467,   2.144,   -6.87,   0.352,   -89.9,        , 
