# Data from UBC Energy Balance Station <Westham Island>
# Year: 2009 / Month: 05 / Day: 09
# All times in PST
# T_1   : Soil temperature at  5 cm depth in deg C
# T_2   : Soil temperature at 10 cm depth in deg C
# T_3   : Soil temperature at 20 cm depth in deg C
# T_4   : Soil temperature at 50 cm depth in deg C
# QG    : Soil heat flux density at 7.5 cm depth in W m^-2
# VWC   : Soil volumetric water content at 7.5 cm depth in m^3 m^-3
# Q*    : Net all-wave radiation at 2 m height in W m^-2
# QH    : Turbulent sensible heat flux density at 2 m height in W m^-2 (every 30 min)

"TIME (PST)"    ,   "T_1",   "T_2",   "T_3",   "T_4",    "QG",   "WVC",    "Q*",    "QG",
2009/05/09 00:15,   6.202,   7.532,   8.014,   6.306,   -8.42,   0.280,   -24.2,        , 
2009/05/09 00:30,   6.054,   7.425,   7.989,   6.301,   -8.55,   0.280,   -23.4,    -3.0, 
2009/05/09 00:45,   5.942,   7.327,   7.914,   6.290,   -8.59,   0.281,   -21.9,        , 
2009/05/09 01:00,   5.811,   7.193,   7.879,   6.304,   -8.66,   0.281,   -20.9,    -0.7, 
2009/05/09 01:15,   5.691,   7.122,   7.817,   6.315,   -8.81,   0.281,   -20.5,        , 
2009/05/09 01:30,   5.612,   7.019,   7.776,   6.330,   -8.85,   0.281,   -20.4,    -3.9, 
2009/05/09 01:45,   5.488,   6.904,   7.720,   6.331,   -8.80,   0.282,   -19.3,        , 
2009/05/09 02:00,   5.390,   6.794,   7.690,   6.327,   -8.85,   0.282,   -18.6,    -1.3, 
2009/05/09 02:15,   5.273,   6.728,   7.635,   6.332,   -9.00,   0.282,   -18.0,        , 
2009/05/09 02:30,   5.193,   6.642,   7.569,   6.334,   -9.10,   0.282,   -17.5,    -1.7, 
2009/05/09 02:45,   5.076,   6.595,   7.520,   6.368,   -9.16,   0.283,   -17.1,        , 
2009/05/09 03:00,   4.957,   6.473,   7.462,   6.363,   -9.27,   0.283,   -18.1,    -3.5, 
2009/05/09 03:15,   4.862,   6.384,   7.398,   6.346,   -9.38,   0.283,   -16.1,        , 
2009/05/09 03:30,   4.769,   6.294,   7.371,   6.344,   -9.41,   0.283,   -14.9,    -5.2, 
2009/05/09 03:45,   4.672,   6.205,   7.277,   6.369,   -9.27,   0.284,   -15.6,        , 
2009/05/09 04:00,   4.659,   6.100,   7.265,   6.367,   -9.20,   0.284,   -15.1,     4.0, 
2009/05/09 04:15,   4.559,   6.052,   7.225,   6.397,   -9.24,   0.284,   -13.1,        , 
2009/05/09 04:30,   4.496,   5.980,   7.181,   6.388,   -9.31,   0.284,   -15.6,     0.8, 
2009/05/09 04:45,   4.392,   5.905,   7.156,   6.393,   -9.38,   0.284,   -11.8,        , 
2009/05/09 05:00,   4.325,   5.822,   7.095,   6.372,   -9.41,   0.284,     1.0,    -8.0, 
2009/05/09 05:15,   4.286,   5.737,   6.982,   6.401,   -9.11,   0.285,    15.2,        , 
2009/05/09 05:30,   4.325,   5.667,   6.919,   6.350,   -8.29,   0.285,    22.0,     6.5, 
2009/05/09 05:45,   4.444,   5.599,   6.850,   6.328,   -7.23,   0.284,    24.5,        , 
2009/05/09 06:00,   4.551,   5.551,   6.787,   6.331,   -6.22,   0.284,    31.2,     5.4, 
2009/05/09 06:15,   4.692,   5.532,   6.789,   6.338,   -5.36,   0.284,    29.9,        , 
2009/05/09 06:30,   4.786,   5.527,   6.681,   6.355,   -4.62,   0.284,    33.5,     0.8, 
2009/05/09 06:45,   4.903,   5.559,   6.667,   6.322,   -3.99,   0.283,    27.1,        , 
2009/05/09 07:00,   4.981,   5.568,   6.630,   6.351,   -3.48,   0.283,    44.5,     0.3, 
2009/05/09 07:15,   5.114,   5.555,   6.613,   6.342,   -2.85,   0.283,   112.9,        , 
2009/05/09 07:30,   5.299,   5.632,   6.546,   6.335,   -1.88,   0.282,   114.9,    15.9, 
2009/05/09 07:45,   5.495,   5.670,   6.534,   6.302,   -0.98,   0.282,   116.8,        , 
2009/05/09 08:00,   5.671,   5.714,   6.474,   6.355,   -0.23,   0.282,   129.6,    12.2, 
2009/05/09 08:15,   5.847,   5.759,   6.467,   6.314,    0.48,   0.281,   180.7,        , 
2009/05/09 08:30,   6.056,   5.788,   6.415,   6.335,    1.32,   0.281,   186.2,    45.1, 
2009/05/09 08:45,   6.267,   5.873,   6.399,   6.298,    2.18,   0.280,   244.8,        , 
2009/05/09 09:00,   6.456,   5.940,   6.371,   6.315,    3.07,   0.280,   239.0,    73.3, 
2009/05/09 09:15,   6.699,   6.047,   6.356,   6.289,    3.93,   0.279,   340.2,        , 
2009/05/09 09:30,   6.986,   6.119,   6.365,   6.315,    5.12,   0.278,   261.1,   105.7, 
2009/05/09 09:45,   7.235,   6.238,   6.358,   6.281,    5.88,   0.278,   324.1,        , 
2009/05/09 10:00,   7.542,   6.360,   6.331,   6.318,    6.79,   0.277,   387.5,   127.9, 
2009/05/09 10:15,   7.838,   6.466,   6.340,   6.300,    7.96,   0.276,   366.2,        , 
2009/05/09 10:30,   8.125,   6.627,   6.381,   6.277,    8.82,   0.275,   318.3,   123.6, 
2009/05/09 10:45,   8.396,   6.762,   6.373,   6.299,    9.43,   0.274,   438.9,        , 
2009/05/09 11:00,   8.736,   6.929,   6.400,   6.289,   10.65,   0.273,   457.9,   155.3, 
2009/05/09 11:15,   9.288,   7.067,   6.424,   6.292,   12.87,   0.272,   646.2,        , 
2009/05/09 11:30,  10.106,   7.273,   6.463,   6.278,   16.48,   0.269,   582.1,   234.6, 
2009/05/09 11:45,  10.863,   7.533,   6.482,   6.269,   18.88,   0.267,   607.4,        , 
2009/05/09 12:00,  11.623,   7.828,   6.524,   6.256,   20.97,   0.265,   610.3,   231.5, 
2009/05/09 12:15,  12.359,   8.177,   6.542,   6.271,   22.38,   0.263,   611.5,        , 
2009/05/09 12:30,  13.038,   8.546,   6.630,   6.263,   23.45,   0.261,   612.2,   239.9, 
