# Data from UBC Energy Balance Station <Westham Island>
# Year: 2009 / Month: 07 / Day: 30
# All times in PST
# T_1   : Soil temperature at  5 cm depth in deg C
# T_2   : Soil temperature at 10 cm depth in deg C
# T_3   : Soil temperature at 20 cm depth in deg C
# T_4   : Soil temperature at 50 cm depth in deg C
# QG    : Soil heat flux density at 7.5 cm depth in W m^-2
# VWC   : Soil volumetric water content at 7.5 cm depth in m^3 m^-3
# Q*    : Net all-wave radiation at 2 m height in W m^-2
# QH    : Turbulent sensible heat flux density at 2 m height in W m^-2 (every 30 min)

"TIME (PST)"    ,   "T_1",   "T_2",   "T_3",   "T_4",    "QG",   "WVC",    "Q*",    "QG",
2009/07/30 00:15,  15.971,  16.107,  15.552,  12.668,    0.23,   0.231,   -36.3,        , 
2009/07/30 00:30,  15.897,  16.039,  15.526,  12.688,    0.27,   0.231,   -36.6,   -23.9, 
2009/07/30 00:45,  15.822,  15.950,  15.555,  12.667,    0.27,   0.231,   -36.4,        , 
2009/07/30 01:00,  15.791,  15.927,  15.527,  12.664,    0.29,   0.231,   -35.6,   -16.0, 
2009/07/30 01:15,  15.714,  15.866,  15.518,  12.672,    0.23,   0.232,   -31.6,        , 
2009/07/30 01:30,  15.628,  15.811,  15.502,  12.687,    0.10,   0.232,   -30.3,    -9.3, 
2009/07/30 01:45,  15.557,  15.778,  15.486,  12.699,   -0.02,   0.232,   -32.0,        , 
2009/07/30 02:00,  15.501,  15.721,  15.426,  12.713,   -0.03,   0.232,   -33.1,   -21.1, 
2009/07/30 02:15,  15.501,  15.698,  15.389,  12.702,    0.01,   0.232,   -32.8,        , 
2009/07/30 02:30,  15.445,  15.643,  15.379,  12.702,    0.09,   0.232,   -32.6,   -24.9, 
2009/07/30 02:45,  15.418,  15.580,  15.361,  12.731,    0.11,   0.232,   -29.5,        , 
2009/07/30 03:00,  15.347,  15.532,  15.328,  12.739,    0.04,   0.232,   -27.9,    -5.4, 
2009/07/30 03:15,  15.276,  15.504,  15.295,  12.719,   -0.13,   0.232,   -33.0,        , 
2009/07/30 03:30,  15.205,  15.469,  15.288,  12.744,   -0.23,   0.232,   -30.0,    -8.7, 
2009/07/30 03:45,  15.120,  15.412,  15.257,  12.740,   -0.39,   0.232,   -29.1,        , 
2009/07/30 04:00,  15.033,  15.374,  15.229,  12.751,   -0.61,   0.232,   -27.1,    -1.0, 
2009/07/30 04:15,  14.903,  15.295,  15.180,  12.738,   -0.78,   0.232,   -25.3,        , 
2009/07/30 04:30,  14.846,  15.256,  15.164,  12.764,   -0.99,   0.232,   -23.6,    -1.2, 
2009/07/30 04:45,  14.757,  15.174,  15.067,  12.728,   -1.15,   0.232,   -20.7,        , 
2009/07/30 05:00,  14.701,  15.120,  15.046,  12.770,   -1.20,   0.232,   -16.1,     0.6, 
2009/07/30 05:15,  14.637,  15.084,  15.031,  12.786,   -1.18,   0.232,   -12.4,        , 
2009/07/30 05:30,  14.647,  15.023,  14.994,  12.791,   -1.05,   0.232,    -8.4,    -2.3, 
2009/07/30 05:45,  14.624,  14.979,  14.961,  12.800,   -0.85,   0.232,    -0.2,        , 
