# Data from UBC Energy Balance Station <Westham Island>
# Year: 2009 / Month: 06 / Day: 13
# All times in PST
# T_1   : Soil temperature at  5 cm depth in deg C
# T_2   : Soil temperature at 10 cm depth in deg C
# T_3   : Soil temperature at 20 cm depth in deg C
# T_4   : Soil temperature at 50 cm depth in deg C
# QG    : Soil heat flux density at 7.5 cm depth in W m^-2
# VWC   : Soil volumetric water content at 7.5 cm depth in m^3 m^-3
# Q*    : Net all-wave radiation at 2 m height in W m^-2
# QH    : Turbulent sensible heat flux density at 2 m height in W m^-2 (every 30 min)

"TIME (PST)"    ,   "T_1",   "T_2",   "T_3",   "T_4",    "QG",   "WVC",    "Q*",    "QG",
2009/06/13 00:15,  12.091,  12.792,  12.835,  10.668,   -3.03,   0.178,   -56.5,        , 
2009/06/13 00:30,  11.997,  12.697,  12.780,  10.703,   -3.12,   0.178,   -57.4,   -35.3, 
2009/06/13 00:45,  11.903,  12.631,  12.773,  10.691,   -3.21,   0.178,   -58.2,        , 
2009/06/13 01:00,  11.826,  12.547,  12.711,  10.694,   -3.25,   0.178,   -57.1,   -35.5, 
2009/06/13 01:15,  11.750,  12.502,  12.685,  10.702,   -3.32,   0.178,   -57.1,        , 
2009/06/13 01:30,  11.694,  12.435,  12.667,  10.713,   -3.39,   0.178,   -56.8,   -29.8, 
2009/06/13 01:45,  11.608,  12.377,  12.631,  10.709,   -3.46,   0.178,   -56.2,        , 
2009/06/13 02:00,  11.513,  12.291,  12.559,  10.719,   -3.58,   0.178,   -55.8,   -24.5, 
2009/06/13 02:15,  11.425,  12.213,  12.552,  10.721,   -3.69,   0.178,   -55.4,        , 
2009/06/13 02:30,  11.333,  12.179,  12.541,  10.728,   -3.83,   0.178,   -54.4,   -22.5, 
2009/06/13 02:45,  11.280,  12.074,  12.496,  10.746,   -3.98,   0.178,   -54.6,        , 
2009/06/13 03:00,  11.207,  12.008,  12.473,  10.741,   -4.10,   0.178,   -54.4,   -23.5, 
2009/06/13 03:15,  11.107,  11.953,  12.414,  10.740,   -4.15,   0.179,   -54.7,        , 
2009/06/13 03:30,  11.040,  11.891,  12.383,  10.738,   -4.15,   0.179,   -55.1,   -25.7, 
2009/06/13 03:45,  10.984,  11.859,  12.331,  10.741,   -4.16,   0.179,   -52.6,        , 
2009/06/13 04:00,  10.902,  11.782,  12.295,  10.779,   -4.24,   0.179,   -51.7,   -26.2, 
2009/06/13 04:15,  10.818,  11.732,  12.264,  10.744,   -4.19,   0.179,   -50.7,        , 
2009/06/13 04:30,  10.775,  11.687,  12.208,  10.748,   -4.12,   0.179,   -46.0,   -21.9, 
2009/06/13 04:45,  10.748,  11.600,  12.178,  10.751,   -4.07,   0.179,   -37.5,        , 
