# Data from UBC Energy Balance Station <Westham Island>
# Year: 2009 / Month: 05 / Day: 15
# All times in PST
# T_1   : Soil temperature at  5 cm depth in deg C
# T_2   : Soil temperature at 10 cm depth in deg C
# T_3   : Soil temperature at 20 cm depth in deg C
# T_4   : Soil temperature at 50 cm depth in deg C
# QG    : Soil heat flux density at 7.5 cm depth in W m^-2
# VWC   : Soil volumetric water content at 7.5 cm depth in m^3 m^-3
# Q*    : Net all-wave radiation at 2 m height in W m^-2
# QH    : Turbulent sensible heat flux density at 2 m height in W m^-2 (every 30 min)

"TIME (PST)"    ,   "T_1",   "T_2",   "T_3",   "T_4",    "QG",   "WVC",    "Q*",    "QG",
2009/05/15 00:15,   6.821,   7.597,   7.780,   6.499,   -4.41,   0.290,   -53.3,        , 
2009/05/15 00:30,   6.753,   7.531,   7.698,   6.504,   -4.50,   0.291,   -49.6,   -22.2, 
2009/05/15 00:45,   6.656,   7.452,   7.668,   6.476,   -4.56,   0.291,   -51.7,        , 
2009/05/15 01:00,   6.592,   7.386,   7.654,   6.485,   -4.55,   0.291,   -52.2,   -24.7, 
2009/05/15 01:15,   6.534,   7.308,   7.628,   6.495,   -4.53,   0.291,   -44.7,        , 
2009/05/15 01:30,   6.511,   7.234,   7.594,   6.470,   -4.45,   0.291,   -46.1,   -23.0, 
2009/05/15 01:45,   6.480,   7.208,   7.553,   6.493,   -4.38,   0.291,   -59.4,        , 
2009/05/15 02:00,   6.401,   7.162,   7.539,   6.497,   -4.38,   0.292,   -64.0,   -24.6, 
2009/05/15 02:15,   6.335,   7.117,   7.515,   6.517,   -4.46,   0.292,   -61.8,        , 
2009/05/15 02:30,   6.277,   7.023,   7.478,   6.513,   -4.61,   0.292,   -57.9,   -26.7, 
2009/05/15 02:45,   6.205,   7.009,   7.427,   6.522,   -4.70,   0.292,   -55.7,        , 
2009/05/15 03:00,   6.148,   6.952,   7.379,   6.523,   -4.76,   0.292,   -55.7,   -26.4, 
2009/05/15 03:15,   6.043,   6.862,   7.362,   6.527,   -4.82,   0.293,   -54.5,        , 
2009/05/15 03:30,   6.022,   6.845,   7.369,   6.524,   -4.88,   0.293,   -52.0,   -22.1, 
2009/05/15 03:45,   5.956,   6.794,   7.337,   6.544,   -4.92,   0.293,   -50.6,        , 
2009/05/15 04:00,   5.902,   6.735,   7.288,   6.535,   -4.95,   0.293,   -48.2,   -27.4, 
2009/05/15 04:15,   5.853,   6.682,   7.234,   6.505,   -4.90,   0.293,   -46.2,        , 
2009/05/15 04:30,   5.786,   6.605,   7.192,   6.539,   -4.94,   0.293,   -45.3,   -25.3, 
2009/05/15 04:45,   5.731,   6.591,   7.171,   6.539,   -5.00,   0.293,   -37.8,        , 
2009/05/15 05:00,   5.708,   6.517,   7.124,   6.505,   -4.95,   0.293,   -34.7,   -30.0, 
2009/05/15 05:15,   5.689,   6.506,   7.132,   6.516,   -4.83,   0.293,   -23.3,        , 
2009/05/15 05:30,   5.658,   6.467,   7.076,   6.534,   -4.65,   0.294,   -16.1,   -10.6, 
2009/05/15 05:45,   5.661,   6.414,   7.068,   6.516,   -4.40,   0.294,     1.8,        , 
2009/05/15 06:00,   5.663,   6.358,   7.019,   6.500,   -4.06,   0.294,    63.4,     3.5, 
2009/05/15 06:15,   5.739,   6.325,   6.943,   6.500,   -3.47,   0.293,    78.4,        , 
2009/05/15 06:30,   5.808,   6.294,   6.921,   6.495,   -2.87,   0.293,    62.5,    18.1, 
