# Data from Radiometers at the UBC Climate Station (Totem Field)
# Year: 2010 / Month: 08 / Day: 24
# All times in PST
# K_in  : Short-wave incoming radiation in W m^-2 (measured every 10 min)
# K_out : Short-wave outgoing radiation in W m^-2 (measured every 10 min)
# L_in  : Long-wave incoming radiation in W m^-2 (measured every 10 min)
# L_out : Long-wave outgoing radiation in W m^-2 (measured every 10 min)
# AirT  : Screen-level air temperature in degree Celsius (measured every 30 min)
# RH    : Screen-level relative humidity in % (measured every 30 min)
#
"TIME (PST)"    ,  "K_in", "K_out",  "L_in", "L_out",  "AirT",    "RH",
2010/08/24 00:10,     0.0,     0.0,   315.9,   354.5,        ,        , 
2010/08/24 00:20,     0.0,     0.0,   316.2,   354.9,        ,        , 
2010/08/24 00:30,     0.0,     0.0,   317.5,   355.9,    15.9,    76.0, 
2010/08/24 00:40,     0.0,     0.0,   319.6,   358.2,        ,        , 
2010/08/24 00:50,     0.0,     0.0,   319.0,   361.2,        ,        , 
2010/08/24 01:00,     0.0,     0.0,   317.7,   357.5,    14.7,    74.5, 
2010/08/24 01:10,     0.0,     0.0,   315.8,   355.7,        ,        , 
2010/08/24 01:20,     0.0,     0.0,   315.5,   353.6,        ,        , 
2010/08/24 01:30,     0.0,     0.0,   313.3,   350.6,    14.7,    76.5, 
2010/08/24 01:40,     0.0,     0.0,   313.3,   350.0,        ,        , 
2010/08/24 01:50,     0.0,     0.0,   314.0,   353.1,        ,        , 
2010/08/24 02:00,     0.0,     0.0,   312.0,   349.3,    14.3,    81.5, 
2010/08/24 02:10,     0.0,     0.0,   313.5,   350.9,        ,        , 
2010/08/24 02:20,     0.0,     0.0,   312.5,   349.1,        ,        , 
2010/08/24 02:30,     0.0,     0.0,   313.4,   349.4,    13.5,    84.5, 
2010/08/24 02:40,     0.0,     0.0,   315.0,   353.5,        ,        , 
2010/08/24 02:50,     0.0,     0.0,   311.1,   348.4,        ,        , 
2010/08/24 03:00,     0.0,     0.0,   311.6,   347.2,    12.9,    84.0, 
2010/08/24 03:10,     0.0,     0.0,   311.9,   346.7,        ,        , 
2010/08/24 03:20,     0.0,     0.0,   315.1,   349.6,        ,        , 
2010/08/24 03:30,     0.0,     0.0,   313.8,   353.0,    12.8,    86.7, 
2010/08/24 03:40,     0.0,     0.0,   312.5,   348.3,        ,        , 
2010/08/24 03:50,     0.0,     0.0,   316.3,   352.3,        ,        , 
2010/08/24 04:00,     0.6,     0.0,   322.9,   371.8,    12.4,    86.4, 
2010/08/24 04:10,     0.0,     0.0,   318.6,   368.7,        ,        , 
2010/08/24 04:20,     0.0,     0.0,   316.4,   365.6,        ,        , 
2010/08/24 04:30,     0.0,     0.0,   314.2,   357.9,    13.0,    79.1, 
2010/08/24 04:40,     0.0,     0.0,   314.0,   357.7,        ,        , 
2010/08/24 04:50,     0.0,     0.0,   313.6,   359.0,        ,        , 
2010/08/24 05:00,     0.0,     0.0,   313.7,   360.2,    15.0,    79.9, 
2010/08/24 05:10,     0.0,     0.0,   312.7,   354.5,        ,        , 
2010/08/24 05:20,     0.0,     0.0,   310.8,   352.3,        ,        , 
2010/08/24 05:30,     1.8,     0.0,   308.7,   349.5,    14.7,    82.4, 
2010/08/24 05:40,     6.5,     0.5,   309.0,   350.0,        ,        , 
2010/08/24 05:50,    12.1,     1.0,   311.1,   352.3,        ,        , 
2010/08/24 06:00,    18.8,     0.8,   318.1,   369.1,    14.2,    85.8, 
2010/08/24 06:10,    58.3,     4.5,   323.6,   374.3,        ,        , 
2010/08/24 06:20,    84.0,    19.1,   324.5,   374.8,        ,        , 
2010/08/24 06:30,   105.5,    28.3,   325.2,   381.1,    13.3,    80.8, 
2010/08/24 06:40,   129.5,    39.6,   327.0,   388.2,        ,        , 
2010/08/24 06:50,   154.2,    46.7,   328.6,   394.2,        ,        , 
2010/08/24 07:00,   178.9,    53.7,   331.4,   398.6,    14.7,    76.4, 
2010/08/24 07:10,   205.3,    61.4,   330.4,   399.8,        ,        , 
2010/08/24 07:20,   234.0,    68.5,   331.0,   404.0,        ,        , 
2010/08/24 07:30,   264.0,    75.5,   328.5,   404.2,    15.6,    67.1, 
2010/08/24 07:40,   292.2,    82.3,   330.1,   409.5,        ,        , 
2010/08/24 07:50,   318.0,    88.3,   333.8,   415.8,        ,        , 
2010/08/24 08:00,   344.9,    94.6,   329.7,   413.6,    16.9,    68.4, 
2010/08/24 08:10,   371.4,   100.4,   331.4,   419.8,        ,        , 
2010/08/24 08:20,   397.4,   106.0,   334.1,   425.8,        ,        , 
2010/08/24 08:30,   423.2,   110.9,   336.6,   430.4,    17.3,    71.9, 
2010/08/24 08:40,   449.2,   115.9,   336.4,   433.4,        ,        , 
2010/08/24 08:50,   474.5,   120.7,   336.7,   436.4,        ,        , 
2010/08/24 09:00,   500.9,   125.4,   337.0,   437.9,    17.5,    68.7, 
2010/08/24 09:10,   527.8,   129.9,   335.2,   437.7,        ,        , 
2010/08/24 09:20,   553.5,   134.0,   335.5,   439.7,        ,        , 
2010/08/24 09:30,   577.7,   137.9,   338.5,   443.6,    17.8,    69.4, 
2010/08/24 09:40,   599.5,   140.9,   340.9,   447.4,        ,        , 
2010/08/24 09:50,   618.1,   143.9,   343.1,   454.2,        ,        , 
2010/08/24 10:00,   636.6,   147.0,   342.8,   454.8,    18.1,    68.9, 
2010/08/24 10:10,   655.8,   149.5,   344.3,   457.8,        ,        , 
2010/08/24 10:20,   673.0,   152.1,   341.3,   456.3,        ,        , 
2010/08/24 10:30,   688.3,   153.4,   347.1,   462.6,    18.3,    69.1, 
