# Data from Radiometers at the UBC Climate Station (Totem Field)
# Year: 2010 / Month: 07 / Day: 22
# All times in PST
# K_in  : Short-wave incoming radiation in W m^-2 (measured every 10 min)
# K_out : Short-wave outgoing radiation in W m^-2 (measured every 10 min)
# L_in  : Long-wave incoming radiation in W m^-2 (measured every 10 min)
# L_out : Long-wave outgoing radiation in W m^-2 (measured every 10 min)
# AirT  : Screen-level air temperature in degree Celsius (measured every 30 min)
# RH    : Screen-level relative humidity in % (measured every 30 min)
#
"TIME (PST)"    ,  "K_in", "K_out",  "L_in", "L_out",  "AirT",    "RH",
2010/07/22 00:10,     0.0,     0.0,   341.6,   384.2,        ,        , 
2010/07/22 00:20,     0.0,     0.0,   357.8,   386.3,        ,        , 
2010/07/22 00:30,     0.0,     0.0,   367.3,   390.0,    17.9,    78.9, 
2010/07/22 00:40,     0.0,     0.0,   372.3,   392.0,        ,        , 
2010/07/22 00:50,     0.0,     0.0,   362.4,   389.7,        ,        , 
2010/07/22 01:00,     0.0,     0.0,   348.3,   386.2,    17.3,    78.6, 
2010/07/22 01:10,     0.0,     0.0,   354.6,   384.7,        ,        , 
2010/07/22 01:20,     0.0,     0.0,   353.5,   385.8,        ,        , 
2010/07/22 01:30,     0.0,     0.0,   349.0,   384.0,    17.0,    80.3, 
2010/07/22 01:40,     0.0,     0.0,   353.9,   384.7,        ,        , 
2010/07/22 01:50,     0.0,     0.0,   358.3,   385.8,        ,        , 
2010/07/22 02:00,     0.0,     0.0,   358.9,   386.1,    16.4,    80.5, 
2010/07/22 02:10,     0.0,     0.0,   367.9,   387.2,        ,        , 
2010/07/22 02:20,     0.0,     0.0,   364.8,   387.4,        ,        , 
2010/07/22 02:30,     0.0,     0.0,   352.5,   384.5,    16.1,    81.7, 
2010/07/22 02:40,     0.0,     0.0,   352.8,   383.7,        ,        , 
2010/07/22 02:50,     0.0,     0.0,   356.6,   384.5,        ,        , 
2010/07/22 03:00,     0.0,     0.0,   360.5,   385.1,    15.9,    83.6, 
2010/07/22 03:10,     0.0,     0.0,   360.4,   385.5,        ,        , 
2010/07/22 03:20,     0.0,     0.0,   359.4,   385.1,        ,        , 
2010/07/22 03:30,     0.0,     0.0,   380.5,   388.6,    15.7,    84.6, 
2010/07/22 03:40,     0.6,     0.0,   387.4,   392.8,        ,        , 
2010/07/22 03:50,     0.1,     0.0,   377.7,   392.1,        ,        , 
2010/07/22 04:00,     0.0,     0.0,   378.6,   391.4,    15.7,    85.4, 
2010/07/22 04:10,     0.0,     0.0,   379.2,   390.6,        ,        , 
2010/07/22 04:20,     0.0,     0.0,   383.2,   391.7,        ,        , 
2010/07/22 04:30,     0.2,     0.0,   386.3,   392.6,    15.9,    83.5, 
2010/07/22 04:40,     2.1,     0.0,   390.4,   395.5,        ,        , 
2010/07/22 04:50,     2.6,     0.0,   389.9,   395.1,        ,        , 
2010/07/22 05:00,     4.8,     0.5,   387.7,   395.3,    15.9,    82.4, 
2010/07/22 05:10,    10.0,     1.7,   386.8,   395.7,        ,        , 
2010/07/22 05:20,    20.5,     3.9,   383.5,   396.0,        ,        , 
2010/07/22 05:30,    30.3,     5.9,   375.9,   396.0,    16.6,    81.1, 
