# Data from Radiometers at the UBC Climate Station (Totem Field)
# Year: 2010 / Month: 09 / Day: 04
# All times in PST
# K_in  : Short-wave incoming radiation in W m^-2 (measured every 10 min)
# K_out : Short-wave outgoing radiation in W m^-2 (measured every 10 min)
# L_in  : Long-wave incoming radiation in W m^-2 (measured every 10 min)
# L_out : Long-wave outgoing radiation in W m^-2 (measured every 10 min)
# AirT  : Screen-level air temperature in degree Celsius (measured every 30 min)
# RH    : Screen-level relative humidity in % (measured every 30 min)
#
"TIME (PST)"    ,  "K_in", "K_out",  "L_in", "L_out",  "AirT",    "RH",
2010/09/04 00:10,     0.0,     0.0,   309.6,   371.3,        ,        , 
2010/09/04 00:20,     0.0,     0.0,   308.0,   368.7,        ,        , 
2010/09/04 00:30,     0.0,     0.0,   307.2,   369.1,    15.6,    85.0, 
2010/09/04 00:40,     0.0,     0.0,   306.7,   370.1,        ,        , 
2010/09/04 00:50,     0.0,     0.0,   305.4,   371.7,        ,        , 
2010/09/04 01:00,     0.0,     0.0,   304.4,   371.6,    15.2,    84.1, 
2010/09/04 01:10,     0.0,     0.0,   304.2,   371.7,        ,        , 
2010/09/04 01:20,     0.0,     0.0,   301.8,   365.8,        ,        , 
2010/09/04 01:30,     0.0,     0.0,   302.1,   367.2,    15.0,    84.0, 
2010/09/04 01:40,     0.0,     0.0,   303.7,   371.8,        ,        , 
2010/09/04 01:50,     0.0,     0.0,   302.3,   367.6,        ,        , 
2010/09/04 02:00,     0.0,     0.0,   301.1,   365.2,    14.7,    83.6, 
2010/09/04 02:10,     0.0,     0.0,   300.3,   365.3,        ,        , 
2010/09/04 02:20,     0.0,     0.0,   299.9,   366.2,        ,        , 
2010/09/04 02:30,     0.0,     0.0,   299.8,   366.5,    14.5,    82.9, 
2010/09/04 02:40,     0.0,     0.0,   299.2,   365.0,        ,        , 
2010/09/04 02:50,     0.0,     0.0,   297.5,   360.7,        ,        , 
2010/09/04 03:00,     0.0,     0.0,   297.2,   360.6,    14.2,    81.4, 
2010/09/04 03:10,     0.0,     0.0,   298.5,   363.4,        ,        , 
2010/09/04 03:20,     0.0,     0.0,   299.6,   366.8,        ,        , 
2010/09/04 03:30,     0.0,     0.0,   296.7,   360.6,    14.0,    81.9, 
2010/09/04 03:40,     0.0,     0.0,   296.6,   359.3,        ,        , 
2010/09/04 03:50,     0.0,     0.0,   296.4,   359.8,        ,        , 
2010/09/04 04:00,     0.0,     0.0,   295.8,   360.4,    14.0,    81.7, 
2010/09/04 04:10,     0.0,     0.0,   295.8,   362.1,        ,        , 
2010/09/04 04:20,     0.0,     0.0,   295.2,   362.6,        ,        , 
2010/09/04 04:30,     0.0,     0.0,   294.8,   361.7,    13.7,    80.0, 
2010/09/04 04:40,     0.0,     0.0,   292.5,   358.0,        ,        , 
2010/09/04 04:50,     0.0,     0.0,   293.2,   360.0,        ,        , 
2010/09/04 05:00,     0.0,     0.0,   293.4,   361.1,    13.7,    80.3, 
2010/09/04 05:10,     0.0,     0.0,   293.9,   362.1,        ,        , 
2010/09/04 05:20,     0.0,     0.0,   292.9,   360.9,        ,        , 
2010/09/04 05:30,     0.0,     0.0,   292.5,   361.6,    13.5,    78.1, 
2010/09/04 05:40,     1.0,     0.1,   292.2,   360.8,        ,        , 
2010/09/04 05:50,     5.0,     0.8,   291.6,   360.0,        ,        , 
2010/09/04 06:00,    11.2,     1.6,   292.6,   362.5,    13.5,    78.4, 
2010/09/04 06:10,    17.1,     2.3,   292.7,   363.3,        ,        , 
2010/09/04 06:20,    32.3,     5.4,   295.0,   365.0,        ,        , 
2010/09/04 06:30,    75.1,    17.8,   300.9,   368.6,    13.3,    77.7, 
2010/09/04 06:40,    98.3,    27.5,   300.5,   371.3,        ,        , 
2010/09/04 06:50,   122.7,    30.5,   300.8,   372.4,        ,        , 
2010/09/04 07:00,   112.0,    25.8,   298.4,   373.2,    13.4,    75.2, 
