# Data from Radiometers at the UBC Climate Station (Totem Field)
# Year: 2010 / Month: 08 / Day: 02
# All times in PST
# K_in  : Short-wave incoming radiation in W m^-2 (measured every 10 min)
# K_out : Short-wave outgoing radiation in W m^-2 (measured every 10 min)
# L_in  : Long-wave incoming radiation in W m^-2 (measured every 10 min)
# L_out : Long-wave outgoing radiation in W m^-2 (measured every 10 min)
# AirT  : Screen-level air temperature in degree Celsius (measured every 30 min)
# RH    : Screen-level relative humidity in % (measured every 30 min)
#
"TIME (PST)"    ,  "K_in", "K_out",  "L_in", "L_out",  "AirT",    "RH",
2010/08/02 00:10,     0.0,     0.0,   340.3,   380.6,        ,        , 
2010/08/02 00:20,     0.0,     0.0,   334.1,   378.6,        ,        , 
2010/08/02 00:30,     0.0,     0.0,   334.6,   377.2,    16.1,    81.5, 
2010/08/02 00:40,     0.0,     0.0,   331.5,   373.6,        ,        , 
2010/08/02 00:50,     0.0,     0.0,   329.0,   368.1,        ,        , 
2010/08/02 01:00,     0.0,     0.0,   331.1,   370.1,    15.9,    82.5, 
2010/08/02 01:10,     0.0,     0.0,   329.1,   367.1,        ,        , 
2010/08/02 01:20,     0.0,     0.0,   328.5,   366.4,        ,        , 
2010/08/02 01:30,     0.0,     0.0,   331.0,   366.0,    15.5,    85.2, 
2010/08/02 01:40,     0.0,     0.0,   337.7,   365.2,        ,        , 
2010/08/02 01:50,     0.0,     0.0,   349.0,   369.0,        ,        , 
2010/08/02 02:00,     0.0,     0.0,   349.2,   373.6,    15.0,    87.8, 
2010/08/02 02:10,     0.0,     0.0,   334.6,   370.8,        ,        , 
2010/08/02 02:20,     0.0,     0.0,   324.6,   362.8,        ,        , 
2010/08/02 02:30,     0.0,     0.0,   323.4,   360.5,    14.3,    89.3, 
2010/08/02 02:40,     0.0,     0.0,   324.3,   359.8,        ,        , 
2010/08/02 02:50,     0.0,     0.0,   322.9,   358.5,        ,        , 
2010/08/02 03:00,     0.0,     0.0,   323.7,   358.2,    14.3,    90.1, 
2010/08/02 03:10,     0.0,     0.0,   323.8,   360.5,        ,        , 
2010/08/02 03:20,     0.0,     0.0,   324.2,   358.6,        ,        , 
2010/08/02 03:30,     0.0,     0.0,   327.4,   358.8,    14.0,    91.1, 
2010/08/02 03:40,     0.0,     0.0,   329.9,   358.9,        ,        , 
2010/08/02 03:50,     0.0,     0.0,   331.1,   358.6,        ,        , 
2010/08/02 04:00,     0.0,     0.0,   334.2,   359.5,    13.8,    92.1, 
2010/08/02 04:10,     0.0,     0.0,   337.7,   360.7,        ,        , 
2010/08/02 04:20,     0.0,     0.0,   341.8,   362.5,        ,        , 
2010/08/02 04:30,     0.1,     0.0,   348.7,   366.5,    13.5,    93.2, 
2010/08/02 04:40,     0.4,     0.0,   350.7,   367.9,        ,        , 
2010/08/02 04:50,     1.8,     0.0,   351.8,   368.7,        ,        , 
2010/08/02 05:00,     4.4,     0.7,   353.0,   369.3,    13.6,    93.6, 
2010/08/02 05:10,     9.6,     1.5,   355.5,   371.2,        ,        , 
2010/08/02 05:20,    15.8,     1.9,   359.3,   374.1,        ,        , 
2010/08/02 05:30,    22.9,     2.6,   364.9,   379.9,    14.0,    94.3, 
2010/08/02 05:40,    30.1,     4.3,   366.3,   381.8,        ,        , 
2010/08/02 05:50,    42.0,     6.7,   368.6,   385.8,        ,        , 
2010/08/02 06:00,    71.2,    16.3,   371.5,   389.4,    14.3,    94.0, 
2010/08/02 06:10,    87.7,    27.8,   369.6,   394.0,        ,        , 
2010/08/02 06:20,   104.5,    36.3,   362.6,   398.8,        ,        , 
2010/08/02 06:30,   120.4,    41.4,   352.1,   403.6,    15.4,    92.2, 
2010/08/02 06:40,   138.1,    46.1,   344.3,   406.4,        ,        , 
2010/08/02 06:50,   169.9,    52.8,   341.1,   408.4,        ,        , 
2010/08/02 07:00,   231.3,    59.2,   341.4,   412.4,    16.2,    88.9, 
2010/08/02 07:10,   306.9,    69.3,   343.2,   416.9,        ,        , 
2010/08/02 07:20,   321.3,    81.4,   347.3,   421.9,        ,        , 
2010/08/02 07:30,   305.5,    79.6,   350.8,   424.6,    16.9,    86.4, 
2010/08/02 07:40,   318.6,    84.5,   350.8,   427.4,        ,        , 
2010/08/02 07:50,   313.7,    81.1,   346.7,   428.3,        ,        , 
2010/08/02 08:00,   349.7,    89.3,   345.8,   428.2,    17.4,    86.1, 
2010/08/02 08:10,   372.7,    95.5,   346.5,   432.3,        ,        , 
2010/08/02 08:20,   407.9,   103.9,   347.4,   437.2,        ,        , 
2010/08/02 08:30,   435.7,   108.5,   346.8,   437.8,    17.8,    85.9, 
2010/08/02 08:40,   473.9,   117.6,   361.0,   448.7,        ,        , 
2010/08/02 08:50,   482.8,   118.5,   363.3,   448.8,        ,        , 
2010/08/02 09:00,   462.4,   111.5,   367.1,   448.1,    17.9,    84.7, 
2010/08/02 09:10,   466.0,   109.6,   364.1,   449.8,        ,        , 
2010/08/02 09:20,   544.0,   127.0,   351.9,   452.7,        ,        , 
2010/08/02 09:30,   569.8,   130.5,   354.9,   459.1,    18.3,    82.8, 
2010/08/02 09:40,   591.2,   134.0,   356.6,   464.0,        ,        , 
2010/08/02 09:50,   613.1,   137.8,   357.3,   464.5,        ,        , 
2010/08/02 10:00,   629.4,   139.5,   358.9,   468.5,    18.5,    81.5, 
2010/08/02 10:10,   649.8,   142.8,   359.8,   471.7,        ,        , 
2010/08/02 10:20,   663.4,   144.2,   359.5,   471.2,        ,        , 
2010/08/02 10:30,   679.8,   146.5,   360.8,   474.5,    18.8,    80.7, 
2010/08/02 10:40,   695.4,   149.1,   359.7,   473.9,        ,        , 
2010/08/02 10:50,   711.6,   151.4,   361.3,   476.3,        ,        , 
2010/08/02 11:00,   721.2,   152.1,   364.5,   480.8,    19.0,    81.3, 
2010/08/02 11:10,   733.0,   153.7,   363.0,   479.2,        ,        , 
2010/08/02 11:20,   750.9,   155.9,   364.2,   480.7,        ,        , 
2010/08/02 11:30,   742.6,   155.0,   363.6,   479.6,    19.0,    81.0, 
2010/08/02 11:40,   705.9,   150.3,   361.3,   475.5,        ,        , 
2010/08/02 11:50,   702.1,   149.4,   361.6,   474.2,        ,        , 
2010/08/02 12:00,   723.1,   151.8,   367.0,   482.1,    19.2,    81.6, 
2010/08/02 12:10,   745.1,   155.1,   364.3,   479.0,        ,        , 
2010/08/02 12:20,   739.7,   154.2,   365.6,   481.1,        ,        , 
2010/08/02 12:30,   732.8,   153.2,   366.1,   483.4,    19.2,    80.5, 
2010/08/02 12:40,   729.7,   152.8,   366.1,   481.0,        ,        , 
2010/08/02 12:50,   720.8,   151.3,   367.7,   484.1,        ,        , 
2010/08/02 13:00,   710.5,   150.0,   365.5,   478.9,    19.2,    79.4, 
2010/08/02 13:10,   709.3,   149.7,   367.2,   481.9,        ,        , 
2010/08/02 13:20,   699.5,   148.2,   367.4,   482.7,        ,        , 
2010/08/02 13:30,   696.0,   147.9,   368.6,   486.6,    19.6,    78.8, 
2010/08/02 13:40,   689.2,   147.2,   364.9,   481.1,        ,        , 
2010/08/02 13:50,   678.3,   145.7,   364.1,   478.5,        ,        , 
2010/08/02 14:00,   671.9,   144.8,   362.7,   475.0,    19.8,    77.7, 
2010/08/02 14:10,   661.9,   143.2,   364.1,   476.3,        ,        , 
2010/08/02 14:20,   640.1,   139.7,   362.8,   473.1,        ,        , 
2010/08/02 14:30,   618.7,   136.4,   364.9,   476.1,    19.9,    76.3, 
2010/08/02 14:40,   609.8,   135.4,   362.7,   471.7,        ,        , 
2010/08/02 14:50,   595.7,   132.5,   367.1,   477.9,        ,        , 
2010/08/02 15:00,   577.8,   131.2,   358.4,   467.1,    19.9,    74.3, 
2010/08/02 15:10,   552.9,   127.2,   359.9,   467.0,        ,        , 
2010/08/02 15:20,   523.8,   122.1,   361.2,   467.5,        ,        , 
2010/08/02 15:30,   504.3,   119.4,   359.8,   464.9,    20.2,    72.9, 
2010/08/02 15:40,   476.9,   115.1,   358.0,   461.3,        ,        , 
2010/08/02 15:50,   445.0,   109.5,   357.0,   458.8,        ,        , 
2010/08/02 16:00,   424.3,   105.8,   358.4,   460.2,    20.5,    73.7, 
2010/08/02 16:10,   396.1,   100.7,   357.4,   456.6,        ,        , 
2010/08/02 16:20,   370.6,    95.4,   359.6,   458.6,        ,        , 
2010/08/02 16:30,   348.1,    91.8,   354.3,   449.5,    20.6,    70.7, 
2010/08/02 16:40,   320.9,    85.9,   353.6,   448.2,        ,        , 
2010/08/02 16:50,   298.6,    81.6,   351.0,   444.7,        ,        , 
2010/08/02 17:00,   272.7,    76.0,   349.3,   440.5,    21.0,    72.0, 
2010/08/02 17:10,   251.3,    71.5,   347.1,   436.0,        ,        , 
2010/08/02 17:20,   226.2,    65.1,   348.4,   436.0,        ,        , 
2010/08/02 17:30,   200.1,    58.4,   346.9,   432.3,    20.8,    75.5, 
2010/08/02 17:40,   179.8,    53.4,   345.3,   428.5,        ,        , 
2010/08/02 17:50,   159.4,    47.9,   347.0,   428.2,        ,        , 
2010/08/02 18:00,   137.8,    42.3,   345.4,   424.1,    20.4,    76.0, 
2010/08/02 18:10,   118.3,    36.9,   346.2,   422.4,        ,        , 
2010/08/02 18:20,    99.7,    31.5,   346.3,   419.7,        ,        , 
2010/08/02 18:30,    82.3,    26.2,   346.5,   417.0,    20.1,    73.4, 
2010/08/02 18:40,    66.2,    21.5,   342.4,   411.1,        ,        , 
2010/08/02 18:50,    52.9,    17.6,   341.0,   407.9,        ,        , 
2010/08/02 19:00,    40.4,    13.5,   341.3,   405.4,    20.2,    75.8, 
2010/08/02 19:10,    28.2,     8.1,   340.7,   401.3,        ,        , 
2010/08/02 19:20,    15.1,     3.9,   339.3,   396.1,        ,        , 
2010/08/02 19:30,     8.7,     2.5,   338.9,   392.6,    19.9,    81.1, 
2010/08/02 19:40,     3.9,     1.5,   339.2,   390.1,        ,        , 
2010/08/02 19:50,     0.5,     0.3,   339.1,   385.7,        ,        , 
2010/08/02 20:00,     0.0,     0.0,   339.5,   383.9,    19.1,    83.2, 
2010/08/02 20:10,     0.0,     0.0,   339.0,   379.9,        ,        , 
2010/08/02 20:20,     0.0,     0.0,   338.4,   378.0,        ,        , 
2010/08/02 20:30,     0.0,     0.0,   338.7,   377.2,    18.4,    85.4, 
2010/08/02 20:40,     0.0,     0.0,   339.5,   377.4,        ,        , 
2010/08/02 20:50,     0.0,     0.0,   339.6,   376.8,        ,        , 
2010/08/02 21:00,     0.0,     0.0,   339.7,   377.3,    17.8,    87.2, 
2010/08/02 21:10,     0.0,     0.0,   338.7,   375.3,        ,        , 
2010/08/02 21:20,     0.0,     0.0,   339.5,   375.3,        ,        , 
2010/08/02 21:30,     0.0,     0.0,   339.6,   374.4,    17.3,    87.5, 
2010/08/02 21:40,     0.0,     0.0,   339.4,   374.1,        ,        , 
2010/08/02 21:50,     0.0,     0.0,   339.3,   373.2,        ,        , 
2010/08/02 22:00,     0.0,     0.0,   338.2,   372.4,    17.0,    86.4, 
2010/08/02 22:10,     0.0,     0.0,   339.9,   373.5,        ,        , 
2010/08/02 22:20,     0.0,     0.0,   340.8,   375.2,        ,        , 
2010/08/02 22:30,     0.0,     0.0,   339.4,   373.7,    16.7,    84.6, 
2010/08/02 22:40,     0.0,     0.0,   339.6,   374.5,        ,        , 
2010/08/02 22:50,     0.0,     0.0,   341.3,   379.8,        ,        , 
2010/08/02 23:00,     0.0,     0.0,   341.2,   381.5,    16.6,    83.8, 
2010/08/02 23:10,     0.0,     0.0,   339.6,   376.8,        ,        , 
2010/08/02 23:20,     0.0,     0.0,   338.9,   374.9,        ,        , 
2010/08/02 23:30,     0.0,     0.0,   338.6,   373.7,    16.7,    82.7, 
2010/08/02 23:40,     0.0,     0.0,   339.5,   379.2,        ,        , 
2010/08/02 23:50,     0.0,     0.0,   339.9,   382.9,        ,        , 
2010/08/03 00:00,     0.0,     0.0,   340.3,   385.8,    16.9,    83.8, 
