# Data from Radiometers at the UBC Climate Station (Totem Field)
# Year: 2010 / Month: 08 / Day: 06
# All times in PST
# K_in  : Short-wave incoming radiation in W m^-2 (measured every 10 min)
# K_out : Short-wave outgoing radiation in W m^-2 (measured every 10 min)
# L_in  : Long-wave incoming radiation in W m^-2 (measured every 10 min)
# L_out : Long-wave outgoing radiation in W m^-2 (measured every 10 min)
# AirT  : Screen-level air temperature in degree Celsius (measured every 30 min)
# RH    : Screen-level relative humidity in % (measured every 30 min)
#
"TIME (PST)"    ,  "K_in", "K_out",  "L_in", "L_out",  "AirT",    "RH",
2010/08/06 00:10,     0.0,     0.0,   344.4,   391.0,        ,        , 
2010/08/06 00:20,     0.0,     0.0,   344.2,   387.7,        ,        , 
2010/08/06 00:30,     0.0,     0.0,   343.0,   381.2,    18.4,    85.4, 
2010/08/06 00:40,     0.0,     0.0,   343.2,   381.4,        ,        , 
2010/08/06 00:50,     0.0,     0.0,   342.1,   378.8,        ,        , 
2010/08/06 01:00,     0.0,     0.0,   342.1,   380.5,    17.9,    86.6, 
2010/08/06 01:10,     0.0,     0.0,   342.9,   386.4,        ,        , 
2010/08/06 01:20,     0.0,     0.0,   343.3,   389.1,        ,        , 
2010/08/06 01:30,     0.0,     0.0,   341.7,   385.0,    17.4,    83.8, 
2010/08/06 01:40,     0.0,     0.0,   341.6,   380.8,        ,        , 
2010/08/06 01:50,     0.0,     0.0,   342.7,   381.4,        ,        , 
2010/08/06 02:00,     0.0,     0.0,   345.3,   382.9,    17.4,    83.7, 
2010/08/06 02:10,     0.0,     0.0,   344.7,   380.7,        ,        , 
2010/08/06 02:20,     0.0,     0.0,   342.1,   378.1,        ,        , 
2010/08/06 02:30,     0.0,     0.0,   341.5,   382.4,    17.0,    86.3, 
2010/08/06 02:40,     0.0,     0.0,   341.4,   383.0,        ,        , 
2010/08/06 02:50,     0.0,     0.0,   340.3,   382.2,        ,        , 
2010/08/06 03:00,     0.0,     0.0,   337.7,   380.1,    16.4,    87.2, 
2010/08/06 03:10,     0.0,     0.0,   335.3,   378.1,        ,        , 
2010/08/06 03:20,     0.0,     0.0,   335.7,   379.6,        ,        , 
2010/08/06 03:30,     0.0,     0.0,   334.4,   380.6,    15.6,    86.5, 
2010/08/06 03:40,     0.0,     0.0,   332.7,   380.7,        ,        , 
2010/08/06 03:50,     0.0,     0.0,   330.6,   379.3,        ,        , 
2010/08/06 04:00,     0.0,     0.0,   328.8,   377.8,    15.4,    86.1, 
2010/08/06 04:10,     0.0,     0.0,   328.6,   378.5,        ,        , 
2010/08/06 04:20,     0.0,     0.0,   328.7,   377.8,        ,        , 
2010/08/06 04:30,     0.0,     0.0,   328.3,   377.1,    15.2,    86.2, 
2010/08/06 04:40,     0.0,     0.0,   328.5,   377.3,        ,        , 
2010/08/06 04:50,     0.0,     0.0,   328.9,   378.1,        ,        , 
2010/08/06 05:00,     1.2,     0.3,   328.0,   377.2,    14.9,    86.1, 
2010/08/06 05:10,     5.2,     1.4,   327.5,   377.0,        ,        , 
2010/08/06 05:20,    12.1,     2.7,   328.2,   378.0,        ,        , 
2010/08/06 05:30,    19.1,     4.2,   328.7,   378.7,    14.9,    85.9, 
2010/08/06 05:40,    27.7,     6.0,   329.6,   381.2,        ,        , 
2010/08/06 05:50,    38.5,     8.3,   329.6,   382.7,        ,        , 
2010/08/06 06:00,    52.0,    10.8,   329.8,   383.9,    14.9,    83.8, 
2010/08/06 06:10,    64.4,    14.7,   329.7,   385.6,        ,        , 
2010/08/06 06:20,    78.7,    20.7,   330.4,   388.2,        ,        , 
2010/08/06 06:30,    96.3,    26.2,   332.1,   390.2,    15.3,    83.4, 
2010/08/06 06:40,   119.3,    32.9,   335.6,   393.4,        ,        , 
