# Data from Radiometers at the UBC Climate Station (Totem Field)
# Year: 2010 / Month: 07 / Day: 15
# All times in PST
# K_in  : Short-wave incoming radiation in W m^-2 (measured every 10 min)
# K_out : Short-wave outgoing radiation in W m^-2 (measured every 10 min)
# L_in  : Long-wave incoming radiation in W m^-2 (measured every 10 min)
# L_out : Long-wave outgoing radiation in W m^-2 (measured every 10 min)
# AirT  : Screen-level air temperature in degree Celsius (measured every 30 min)
# RH    : Screen-level relative humidity in % (measured every 30 min)
#
"TIME (PST)"    ,  "K_in", "K_out",  "L_in", "L_out",  "AirT",    "RH",
2010/07/15 00:10,     0.0,     0.0,   323.6,   375.3,        ,        , 
2010/07/15 00:20,     0.0,     0.0,   321.9,   372.5,        ,        , 
2010/07/15 00:30,     0.0,     0.0,   319.7,   368.6,    16.9,    59.9, 
2010/07/15 00:40,     0.0,     0.0,   318.5,   364.0,        ,        , 
2010/07/15 00:50,     0.0,     0.0,   318.1,   361.9,        ,        , 
2010/07/15 01:00,     0.0,     0.0,   315.4,   357.0,    17.0,    63.8, 
2010/07/15 01:10,     0.0,     0.0,   313.8,   354.6,        ,        , 
2010/07/15 01:20,     0.0,     0.0,   313.9,   354.2,        ,        , 
2010/07/15 01:30,     0.0,     0.0,   317.0,   357.6,    16.1,    71.9, 
2010/07/15 01:40,     0.0,     0.0,   320.1,   364.5,        ,        , 
2010/07/15 01:50,     0.0,     0.0,   317.7,   361.1,        ,        , 
2010/07/15 02:00,     0.0,     0.0,   318.1,   364.7,    14.6,    73.6, 
2010/07/15 02:10,     0.0,     0.0,   318.0,   364.1,        ,        , 
2010/07/15 02:20,     0.0,     0.0,   315.9,   361.5,        ,        , 
2010/07/15 02:30,     0.0,     0.0,   315.1,   359.2,    14.9,    77.3, 
2010/07/15 02:40,     0.0,     0.0,   316.8,   363.6,        ,        , 
2010/07/15 02:50,     0.0,     0.0,   314.8,   357.5,        ,        , 
2010/07/15 03:00,     0.0,     0.0,   314.2,   354.4,    14.9,    81.2, 
2010/07/15 03:10,     0.0,     0.0,   310.7,   351.3,        ,        , 
2010/07/15 03:20,     0.0,     0.0,   312.0,   352.9,        ,        , 
2010/07/15 03:30,     0.0,     0.0,   310.9,   351.0,    14.7,    83.6, 
2010/07/15 03:40,     0.0,     0.0,   311.8,   350.8,        ,        , 
2010/07/15 03:50,     0.0,     0.0,   312.0,   350.6,        ,        , 
2010/07/15 04:00,     0.0,     0.0,   310.9,   349.0,    13.8,    87.1, 
2010/07/15 04:10,     0.0,     0.0,   313.5,   351.1,        ,        , 
