# Data from Radiometers at the UBC Climate Station (Totem Field)
# Year: 2010 / Month: 07 / Day: 17
# All times in PST
# K_in  : Short-wave incoming radiation in W m^-2 (measured every 10 min)
# K_out : Short-wave outgoing radiation in W m^-2 (measured every 10 min)
# L_in  : Long-wave incoming radiation in W m^-2 (measured every 10 min)
# L_out : Long-wave outgoing radiation in W m^-2 (measured every 10 min)
# AirT  : Screen-level air temperature in degree Celsius (measured every 30 min)
# RH    : Screen-level relative humidity in % (measured every 30 min)
#
"TIME (PST)"    ,  "K_in", "K_out",  "L_in", "L_out",  "AirT",    "RH",
2010/07/17 00:10,     0.0,     0.0,   312.6,   364.2,        ,        , 
2010/07/17 00:20,     0.0,     0.0,   312.6,   366.9,        ,        , 
2010/07/17 00:30,     0.0,     0.0,   312.2,   369.4,    15.0,    83.2, 
2010/07/17 00:40,     0.0,     0.0,   311.1,   368.1,        ,        , 
2010/07/17 00:50,     0.0,     0.0,   310.6,   368.2,        ,        , 
2010/07/17 01:00,     0.0,     0.0,   310.3,   369.2,    14.9,    82.4, 
2010/07/17 01:10,     0.0,     0.0,   310.2,   367.5,        ,        , 
2010/07/17 01:20,     0.0,     0.0,   309.5,   364.8,        ,        , 
2010/07/17 01:30,     0.0,     0.0,   309.1,   363.2,    14.7,    81.9, 
2010/07/17 01:40,     0.0,     0.0,   309.4,   363.0,        ,        , 
2010/07/17 01:50,     0.0,     0.0,   309.1,   361.2,        ,        , 
2010/07/17 02:00,     0.0,     0.0,   307.4,   356.3,    14.6,    81.8, 
2010/07/17 02:10,     0.0,     0.0,   305.8,   352.5,        ,        , 
2010/07/17 02:20,     0.0,     0.0,   304.4,   349.3,        ,        , 
2010/07/17 02:30,     0.0,     0.0,   302.9,   346.4,    14.4,    85.0, 
2010/07/17 02:40,     0.0,     0.0,   302.7,   345.5,        ,        , 
2010/07/17 02:50,     0.0,     0.0,   304.3,   345.9,        ,        , 
2010/07/17 03:00,     0.0,     0.0,   305.6,   346.0,    13.5,    88.4, 
2010/07/17 03:10,     0.0,     0.0,   308.3,   345.5,        ,        , 
2010/07/17 03:20,     0.0,     0.0,   310.6,   345.2,        ,        , 
2010/07/17 03:30,     0.0,     0.0,   316.9,   347.1,    12.5,    90.9, 
2010/07/17 03:40,     0.0,     0.0,   324.0,   350.5,        ,        , 
2010/07/17 03:50,     0.0,     0.0,   328.3,   353.2,        ,        , 
2010/07/17 04:00,     0.0,     0.0,   330.2,   354.1,    12.3,    92.0, 
2010/07/17 04:10,     0.0,     0.0,   332.3,   354.7,        ,        , 
2010/07/17 04:20,     0.5,     0.0,   334.8,   359.5,        ,        , 
2010/07/17 04:30,     1.8,     0.2,   333.3,   356.7,    12.4,    91.8, 
2010/07/17 04:40,     4.0,     1.0,   331.8,   356.3,        ,        , 
2010/07/17 04:50,     7.2,     1.5,   330.0,   353.5,        ,        , 
2010/07/17 05:00,    12.5,     2.2,   332.2,   354.6,    12.4,    91.3, 
2010/07/17 05:10,    18.3,     3.2,   335.6,   357.8,        ,        , 
2010/07/17 05:20,    22.9,     4.2,   336.9,   359.0,        ,        , 
2010/07/17 05:30,    27.9,     4.7,   338.8,   361.8,    12.1,    92.7, 
2010/07/17 05:40,    46.7,     9.6,   341.7,   364.7,        ,        , 
2010/07/17 05:50,   104.1,    35.2,   352.7,   377.8,        ,        , 
2010/07/17 06:00,   121.5,    46.9,   347.4,   384.8,    12.2,    92.4, 
2010/07/17 06:10,   142.1,    52.6,   336.7,   390.5,        ,        , 
2010/07/17 06:20,   172.6,    57.5,   323.9,   395.5,        ,        , 
2010/07/17 06:30,   204.6,    62.1,   323.6,   401.1,    12.9,    85.5, 
2010/07/17 06:40,   241.6,    69.0,   319.1,   400.2,        ,        , 
2010/07/17 06:50,   276.6,    76.2,   318.3,   401.9,        ,        , 
2010/07/17 07:00,   296.8,    82.9,   317.2,   403.3,    14.6,    80.9, 
2010/07/17 07:10,   317.0,    89.1,   319.5,   407.3,        ,        , 
2010/07/17 07:20,   340.2,    94.9,   322.3,   411.9,        ,        , 
2010/07/17 07:30,   368.3,   102.6,   321.8,   412.8,    15.5,    81.9, 
2010/07/17 07:40,   394.8,   108.6,   325.1,   417.6,        ,        , 
2010/07/17 07:50,   418.3,   114.0,   324.9,   419.3,        ,        , 
2010/07/17 08:00,   445.6,   120.0,   326.1,   422.7,    15.6,    80.6, 
2010/07/17 08:10,   472.6,   125.8,   329.3,   426.9,        ,        , 
2010/07/17 08:20,   491.7,   130.9,   327.9,   427.0,        ,        , 
2010/07/17 08:30,   518.7,   136.1,   327.4,   428.9,    15.9,    78.9, 
2010/07/17 08:40,   556.7,   141.4,   331.8,   434.3,        ,        , 
2010/07/17 08:50,   587.8,   146.0,   331.3,   437.0,        ,        , 
2010/07/17 09:00,   608.3,   149.3,   333.6,   440.1,    16.1,    78.3, 
2010/07/17 09:10,   634.1,   154.0,   332.8,   440.3,        ,        , 
2010/07/17 09:20,   663.1,   158.2,   337.7,   446.4,        ,        , 
2010/07/17 09:30,   687.0,   162.5,   336.1,   447.9,    16.4,    78.8, 
2010/07/17 09:40,   711.7,   166.0,   341.0,   453.6,        ,        , 
2010/07/17 09:50,   732.2,   169.9,   336.4,   450.1,        ,        , 
2010/07/17 10:00,   754.1,   173.0,   341.1,   455.8,    16.7,    79.0, 
2010/07/17 10:10,   771.1,   175.0,   343.7,   458.9,        ,        , 
2010/07/17 10:20,   790.8,   177.2,   343.0,   458.2,        ,        , 
2010/07/17 10:30,   804.7,   178.5,   344.0,   460.9,    17.1,    77.6, 
2010/07/17 10:40,   820.8,   180.9,   340.9,   458.1,        ,        , 
2010/07/17 10:50,   832.3,   181.6,   344.4,   461.0,        ,        , 
2010/07/17 11:00,   844.3,   182.7,   347.6,   466.1,    17.3,    76.9, 
2010/07/17 11:10,   856.8,   184.6,   344.9,   462.4,        ,        , 
2010/07/17 11:20,   865.9,   185.9,   345.1,   463.3,        ,        , 
2010/07/17 11:30,   874.6,   185.9,   351.0,   470.5,    17.4,    76.0, 
2010/07/17 11:40,   880.6,   186.4,   350.7,   469.9,        ,        , 
2010/07/17 11:50,   886.6,   187.6,   348.2,   468.0,        ,        , 
2010/07/17 12:00,   891.1,   187.5,   351.5,   472.0,    17.6,    74.8, 
2010/07/17 12:10,   895.1,   188.3,   348.4,   471.7,        ,        , 
2010/07/17 12:20,   897.2,   188.1,   350.1,   473.1,        ,        , 
2010/07/17 12:30,   897.6,   188.0,   347.8,   470.2,    17.9,    75.1, 
2010/07/17 12:40,   896.4,   187.9,   348.3,   471.9,        ,        , 
