# Data from Radiometers at the UBC Climate Station (Totem Field)
# Year: 2010 / Month: 07 / Day: 08
# All times in PST
# K_in  : Short-wave incoming radiation in W m^-2 (measured every 10 min)
# K_out : Short-wave outgoing radiation in W m^-2 (measured every 10 min)
# L_in  : Long-wave incoming radiation in W m^-2 (measured every 10 min)
# L_out : Long-wave outgoing radiation in W m^-2 (measured every 10 min)
# AirT  : Screen-level air temperature in degree Celsius (measured every 30 min)
# RH    : Screen-level relative humidity in % (measured every 30 min)
#
"TIME (PST)"    ,  "K_in", "K_out",  "L_in", "L_out",  "AirT",    "RH",
2010/07/08 00:10,     0.0,     0.0,   339.1,   378.0,        ,        , 
2010/07/08 00:20,     0.0,     0.0,   337.2,   375.7,        ,        , 
2010/07/08 00:30,     0.0,     0.0,   339.1,   377.7,    21.5,    53.0, 
2010/07/08 00:40,     0.0,     0.0,   337.5,   374.5,        ,        , 
2010/07/08 00:50,     0.0,     0.0,   336.0,   372.9,        ,        , 
2010/07/08 01:00,     0.0,     0.0,   335.3,   372.6,    20.5,    57.9, 
2010/07/08 01:10,     0.0,     0.0,   335.5,   372.8,        ,        , 
2010/07/08 01:20,     0.0,     0.0,   336.9,   372.4,        ,        , 
2010/07/08 01:30,     0.0,     0.0,   339.2,   374.9,    19.5,    61.5, 
2010/07/08 01:40,     0.0,     0.0,   337.0,   373.6,        ,        , 
2010/07/08 01:50,     0.0,     0.0,   336.7,   375.4,        ,        , 
2010/07/08 02:00,     0.0,     0.0,   336.9,   375.6,    18.8,    60.2, 
2010/07/08 02:10,     0.0,     0.0,   340.1,   375.8,        ,        , 
2010/07/08 02:20,     0.0,     0.0,   343.0,   379.1,        ,        , 
2010/07/08 02:30,     0.0,     0.0,   337.7,   375.3,    18.8,    58.1, 
2010/07/08 02:40,     0.0,     0.0,   336.3,   371.3,        ,        , 
2010/07/08 02:50,     0.0,     0.0,   333.5,   370.6,        ,        , 
2010/07/08 03:00,     0.0,     0.0,   334.4,   371.7,    19.3,    63.9, 
2010/07/08 03:10,     0.0,     0.0,   338.4,   371.6,        ,        , 
2010/07/08 03:20,     0.8,     0.0,   342.0,   375.9,        ,        , 
2010/07/08 03:30,     0.2,     0.0,   342.3,   375.8,    18.3,    58.4, 
2010/07/08 03:40,     1.4,     0.0,   346.1,   382.4,        ,        , 
2010/07/08 03:50,     0.0,     0.0,   343.8,   385.2,        ,        , 
2010/07/08 04:00,     0.0,     0.0,   341.7,   389.6,    19.0,    50.8, 
2010/07/08 04:10,     0.0,     0.0,   338.4,   386.1,        ,        , 
2010/07/08 04:20,     0.5,     0.0,   338.3,   386.1,        ,        , 
2010/07/08 04:30,     3.3,     0.0,   339.0,   389.2,    20.8,    52.7, 
2010/07/08 04:40,     7.7,     0.5,   339.4,   392.5,        ,        , 
2010/07/08 04:50,    11.4,     1.4,   338.0,   392.0,        ,        , 
2010/07/08 05:00,    15.9,     2.0,   338.4,   394.0,    20.6,    54.0, 
2010/07/08 05:10,    21.0,     2.2,   340.1,   395.1,        ,        , 
2010/07/08 05:20,    24.5,     3.2,   337.2,   394.4,        ,        , 
2010/07/08 05:30,    28.3,     3.8,   336.7,   394.4,    20.7,    54.0, 
2010/07/08 05:40,    44.3,     9.3,   343.1,   396.9,        ,        , 
2010/07/08 05:50,   130.9,    39.3,   347.8,   403.5,        ,        , 
2010/07/08 06:00,   155.7,    50.5,   349.1,   406.8,    20.5,    54.0, 
2010/07/08 06:10,   180.5,    59.0,   349.9,   409.5,        ,        , 
2010/07/08 06:20,   202.9,    66.6,   351.8,   415.0,        ,        , 
2010/07/08 06:30,   227.9,    71.8,   353.9,   421.9,    20.5,    49.9, 
2010/07/08 06:40,   256.0,    77.7,   354.2,   425.3,        ,        , 
2010/07/08 06:50,   281.5,    84.0,   359.4,   435.2,        ,        , 
2010/07/08 07:00,   305.5,    90.9,   358.9,   438.6,    21.6,    48.1, 
