# Data from Radiometers at the UBC Climate Station (Totem Field)
# Year: 2010 / Month: 07 / Day: 03
# All times in PST
# K_in  : Short-wave incoming radiation in W m^-2 (measured every 10 min)
# K_out : Short-wave outgoing radiation in W m^-2 (measured every 10 min)
# L_in  : Long-wave incoming radiation in W m^-2 (measured every 10 min)
# L_out : Long-wave outgoing radiation in W m^-2 (measured every 10 min)
# AirT  : Screen-level air temperature in degree Celsius (measured every 30 min)
# RH    : Screen-level relative humidity in % (measured every 30 min)
#
"TIME (PST)"    ,  "K_in", "K_out",  "L_in", "L_out",  "AirT",    "RH",
2010/07/03 00:10,     0.0,     0.0,   367.4,   381.8,        ,        , 
2010/07/03 00:20,     0.0,     0.0,   367.3,   382.0,        ,        , 
2010/07/03 00:30,     0.0,     0.0,   365.7,   381.8,    14.2,    81.4, 
2010/07/03 00:40,     0.0,     0.0,   363.2,   381.1,        ,        , 
2010/07/03 00:50,     0.0,     0.0,   360.2,   380.3,        ,        , 
2010/07/03 01:00,     0.0,     0.0,   353.9,   378.9,    14.2,    79.9, 
2010/07/03 01:10,     0.0,     0.0,   344.9,   376.4,        ,        , 
2010/07/03 01:20,     0.0,     0.0,   340.4,   375.0,        ,        , 
2010/07/03 01:30,     0.0,     0.0,   334.1,   372.8,    14.2,    80.5, 
2010/07/03 01:40,     0.0,     0.0,   325.9,   370.3,        ,        , 
2010/07/03 01:50,     0.0,     0.0,   326.6,   368.9,        ,        , 
2010/07/03 02:00,     0.0,     0.0,   333.1,   369.8,    14.0,    78.4, 
2010/07/03 02:10,     0.0,     0.0,   322.7,   368.7,        ,        , 
2010/07/03 02:20,     0.0,     0.0,   316.8,   366.4,        ,        , 
2010/07/03 02:30,     0.0,     0.0,   325.5,   367.2,    13.4,    78.5, 
2010/07/03 02:40,     0.0,     0.0,   337.7,   368.0,        ,        , 
2010/07/03 02:50,     0.0,     0.0,   351.7,   370.7,        ,        , 
2010/07/03 03:00,     0.0,     0.0,   356.3,   371.7,    12.8,    79.5, 
2010/07/03 03:10,     0.0,     0.0,   359.4,   372.6,        ,        , 
2010/07/03 03:20,     0.0,     0.0,   362.4,   372.7,        ,        , 
2010/07/03 03:30,     0.0,     0.0,   364.1,   373.0,    12.5,    78.8, 
2010/07/03 03:40,     0.0,     0.0,   364.3,   372.9,        ,        , 
2010/07/03 03:50,     0.0,     0.0,   364.5,   373.1,        ,        , 
2010/07/03 04:00,     0.0,     0.0,   364.8,   372.8,    12.6,    78.3, 
2010/07/03 04:10,     0.5,     0.0,   363.5,   372.2,        ,        , 
2010/07/03 04:20,     0.8,     0.0,   364.7,   372.5,        ,        , 
2010/07/03 04:30,     1.2,     0.0,   364.9,   372.4,    12.6,    78.1, 
2010/07/03 04:40,     4.7,     0.9,   362.2,   372.5,        ,        , 
2010/07/03 04:50,    12.5,     2.7,   359.4,   372.8,        ,        , 
2010/07/03 05:00,    20.1,     4.5,   354.2,   373.0,    12.5,    78.2, 
2010/07/03 05:10,    24.8,     5.3,   356.5,   373.6,        ,        , 
2010/07/03 05:20,    31.8,     6.7,   356.3,   374.9,        ,        , 
2010/07/03 05:30,    38.0,     8.2,   360.8,   376.1,    12.5,    79.3, 
2010/07/03 05:40,    52.1,    11.4,   352.3,   376.5,        ,        , 
2010/07/03 05:50,    76.4,    17.9,   347.7,   378.4,        ,        , 
2010/07/03 06:00,   110.5,    26.8,   344.1,   380.8,    12.5,    79.8, 
2010/07/03 06:10,   131.0,    32.5,   356.9,   385.9,        ,        , 
2010/07/03 06:20,    76.0,    17.7,   363.9,   382.3,        ,        , 
2010/07/03 06:30,    95.1,    21.6,   365.6,   382.5,    12.6,    78.9, 
2010/07/03 06:40,    90.3,    20.7,   367.8,   384.2,        ,        , 
2010/07/03 06:50,    84.1,    19.2,   368.7,   384.1,        ,        , 
2010/07/03 07:00,   110.5,    25.2,   370.0,   386.7,    12.8,    78.2, 
2010/07/03 07:10,   108.0,    24.6,   369.9,   387.0,        ,        , 
2010/07/03 07:20,   119.9,    27.2,   370.4,   388.2,        ,        , 
2010/07/03 07:30,   148.8,    34.2,   372.4,   391.8,    12.9,    76.2, 
2010/07/03 07:40,   161.8,    37.1,   372.0,   393.2,        ,        , 
2010/07/03 07:50,   143.0,    32.9,   370.4,   391.5,        ,        , 
2010/07/03 08:00,   202.2,    47.1,   372.7,   395.0,    13.2,    74.0, 
2010/07/03 08:10,   217.0,    50.7,   374.0,   398.6,        ,        , 
2010/07/03 08:20,   229.8,    54.0,   374.0,   399.9,        ,        , 
2010/07/03 08:30,   227.8,    53.8,   374.6,   402.3,    13.4,    72.5, 
2010/07/03 08:40,   286.8,    68.2,   376.4,   406.0,        ,        , 
2010/07/03 08:50,   296.4,    70.6,   377.8,   410.8,        ,        , 
2010/07/03 09:00,   278.8,    66.3,   377.0,   411.4,    13.7,    71.3, 
2010/07/03 09:10,   264.8,    62.8,   374.4,   408.0,        ,        , 
2010/07/03 09:20,   278.3,    65.4,   377.7,   414.1,        ,        , 
2010/07/03 09:30,   320.8,    76.3,   378.2,   416.6,    14.1,    70.2, 
2010/07/03 09:40,   427.6,   102.0,   378.7,   423.5,        ,        , 
2010/07/03 09:50,   468.0,   111.6,   377.0,   428.3,        ,        , 
2010/07/03 10:00,   630.0,   151.1,   381.7,   443.7,    14.5,    68.8, 
2010/07/03 10:10,   531.5,   127.9,   379.2,   437.3,        ,        , 
2010/07/03 10:20,   488.5,   118.7,   377.1,   441.6,        ,        , 
2010/07/03 10:30,   569.9,   136.9,   372.8,   438.0,    15.1,    68.6, 
2010/07/03 10:40,   952.3,   226.8,   387.2,   475.4,        ,        , 
2010/07/03 10:50,   850.2,   199.4,   371.6,   466.7,        ,        , 
2010/07/03 11:00,   682.7,   161.1,   361.7,   449.8,    15.7,    65.8, 
2010/07/03 11:10,   754.0,   175.8,   372.5,   462.2,        ,        , 
2010/07/03 11:20,   870.1,   201.1,   380.1,   473.9,        ,        , 
2010/07/03 11:30,   601.1,   139.4,   374.7,   456.4,    16.4,    65.1, 
2010/07/03 11:40,   763.7,   175.7,   383.4,   471.6,        ,        , 
2010/07/03 11:50,   797.3,   182.4,   370.0,   469.9,        ,        , 
2010/07/03 12:00,   820.7,   188.7,   368.9,   473.5,    16.8,    66.3, 
2010/07/03 12:10,  1007.6,   228.3,   378.8,   491.9,        ,        , 
2010/07/03 12:20,   987.4,   221.7,   377.7,   494.5,        ,        , 
2010/07/03 12:30,  1038.8,   232.9,   376.0,   490.2,    17.1,    67.2, 
2010/07/03 12:40,  1090.1,   244.8,   380.8,   492.7,        ,        , 
2010/07/03 12:50,  1069.1,   240.6,   380.2,   494.6,        ,        , 
2010/07/03 13:00,  1043.9,   235.1,   378.2,   499.0,    17.8,    68.5, 
2010/07/03 13:10,   956.0,   218.0,   367.1,   486.5,        ,        , 
2010/07/03 13:20,   969.9,   219.7,   363.3,   489.8,        ,        , 
2010/07/03 13:30,   943.0,   214.3,   358.1,   481.9,    17.8,    67.1, 
2010/07/03 13:40,   963.2,   219.1,   376.8,   490.9,        ,        , 
2010/07/03 13:50,   979.1,   223.3,   379.2,   488.6,        ,        , 
2010/07/03 14:00,   877.1,   200.1,   375.6,   487.9,    18.1,    66.1, 
2010/07/03 14:10,   871.5,   201.0,   363.0,   476.8,        ,        , 
2010/07/03 14:20,   898.7,   207.6,   361.7,   479.9,        ,        , 
2010/07/03 14:30,   873.3,   202.1,   356.4,   478.6,    18.1,    62.1, 
2010/07/03 14:40,   851.7,   199.2,   347.2,   469.2,        ,        , 
2010/07/03 14:50,   811.4,   189.6,   348.8,   476.4,        ,        , 
2010/07/03 15:00,   774.9,   182.4,   341.9,   470.4,    18.2,    58.3, 
2010/07/03 15:10,   757.2,   181.0,   340.4,   465.9,        ,        , 
2010/07/03 15:20,   731.8,   175.6,   343.2,   468.8,        ,        , 
2010/07/03 15:30,   710.2,   172.1,   342.3,   467.5,    18.4,    60.1, 
2010/07/03 15:40,   685.1,   168.5,   339.9,   464.5,        ,        , 
2010/07/03 15:50,   657.9,   164.2,   334.8,   457.8,        ,        , 
2010/07/03 16:00,   658.2,   166.5,   340.5,   457.2,    18.4,    56.0, 
2010/07/03 16:10,   602.5,   154.3,   351.6,   455.5,        ,        , 
2010/07/03 16:20,   301.2,    73.2,   356.6,   429.6,        ,        , 
2010/07/03 16:30,   349.0,    86.6,   364.7,   438.1,    18.4,    58.3, 
2010/07/03 16:40,   386.2,    98.0,   367.3,   440.5,        ,        , 
2010/07/03 16:50,   399.6,   103.2,   360.5,   440.1,        ,        , 
2010/07/03 17:00,   464.6,   126.5,   348.3,   444.7,    18.0,    60.2, 
2010/07/03 17:10,   424.1,   119.8,   340.5,   441.3,        ,        , 
2010/07/03 17:20,   260.8,    70.8,   329.4,   418.4,        ,        , 
2010/07/03 17:30,   244.5,    64.3,   347.6,   421.9,    17.8,    61.0, 
2010/07/03 17:40,   219.3,    57.5,   351.8,   418.2,        ,        , 
2010/07/03 17:50,   236.6,    64.8,   358.4,   423.8,        ,        , 
2010/07/03 18:00,   366.0,   111.7,   368.0,   435.9,    17.8,    61.9, 
2010/07/03 18:10,   335.1,   107.7,   349.0,   431.9,        ,        , 
2010/07/03 18:20,   254.2,    84.0,   335.4,   419.7,        ,        , 
2010/07/03 18:30,   218.4,    75.0,   330.2,   416.0,    17.5,    59.8, 
2010/07/03 18:40,   183.4,    65.6,   318.3,   407.4,        ,        , 
2010/07/03 18:50,   152.8,    56.0,   315.8,   404.9,        ,        , 
2010/07/03 19:00,   124.6,    47.2,   312.2,   399.6,    18.2,    58.6, 
2010/07/03 19:10,    99.3,    39.0,   311.2,   395.8,        ,        , 
2010/07/03 19:20,    69.4,    27.6,   309.9,   391.3,        ,        , 
2010/07/03 19:30,    35.0,    13.1,   305.4,   383.4,    17.8,    60.0, 
2010/07/03 19:40,    14.9,     4.7,   303.9,   377.8,        ,        , 
2010/07/03 19:50,     8.2,     2.3,   304.8,   375.4,        ,        , 
2010/07/03 20:00,     5.4,     1.8,   305.9,   373.9,    17.4,    63.3, 
2010/07/03 20:10,     2.8,     1.2,   306.8,   373.0,        ,        , 
2010/07/03 20:20,     0.3,     0.2,   307.3,   370.4,        ,        , 
2010/07/03 20:30,     0.0,     0.0,   308.5,   369.2,    16.3,    64.1, 
2010/07/03 20:40,     0.0,     0.0,   309.9,   366.5,        ,        , 
2010/07/03 20:50,     0.0,     0.0,   311.7,   363.8,        ,        , 
2010/07/03 21:00,     0.0,     0.0,   313.5,   367.6,    15.7,    66.2, 
2010/07/03 21:10,     0.0,     0.0,   310.9,   367.7,        ,        , 
2010/07/03 21:20,     0.0,     0.0,   308.0,   365.8,        ,        , 
2010/07/03 21:30,     0.0,     0.0,   306.8,   363.5,    15.1,    68.6, 
2010/07/03 21:40,     0.0,     0.0,   306.8,   364.6,        ,        , 
2010/07/03 21:50,     0.0,     0.0,   306.5,   364.0,        ,        , 
2010/07/03 22:00,     0.0,     0.0,   307.6,   366.6,    14.5,    69.0, 
2010/07/03 22:10,     0.0,     0.0,   307.0,   365.5,        ,        , 
2010/07/03 22:20,     0.0,     0.0,   307.2,   365.2,        ,        , 
2010/07/03 22:30,     0.0,     0.0,   308.7,   367.1,    14.2,    69.6, 
2010/07/03 22:40,     0.0,     0.0,   309.7,   367.3,        ,        , 
2010/07/03 22:50,     0.0,     0.0,   309.6,   364.7,        ,        , 
2010/07/03 23:00,     0.0,     0.0,   311.0,   366.6,    14.1,    71.2, 
2010/07/03 23:10,     0.0,     0.0,   314.3,   369.0,        ,        , 
2010/07/03 23:20,     0.0,     0.0,   317.0,   369.7,        ,        , 
2010/07/03 23:30,     0.0,     0.0,   315.3,   370.9,    14.0,    75.2, 
2010/07/03 23:40,     0.0,     0.0,   314.8,   370.2,        ,        , 
2010/07/03 23:50,     0.0,     0.0,   320.8,   371.2,        ,        , 
2010/07/04 00:00,     0.0,     0.0,   325.6,   371.8,    14.0,    78.2, 
