# Data from Radiometers at the UBC Climate Station (Totem Field)
# Year: 2010 / Month: 08 / Day: 14
# All times in PST
# K_in  : Short-wave incoming radiation in W m^-2 (measured every 10 min)
# K_out : Short-wave outgoing radiation in W m^-2 (measured every 10 min)
# L_in  : Long-wave incoming radiation in W m^-2 (measured every 10 min)
# L_out : Long-wave outgoing radiation in W m^-2 (measured every 10 min)
# AirT  : Screen-level air temperature in degree Celsius (measured every 30 min)
# RH    : Screen-level relative humidity in % (measured every 30 min)
#
"TIME (PST)"    ,  "K_in", "K_out",  "L_in", "L_out",  "AirT",    "RH",
2010/08/14 00:10,     0.0,     0.0,   335.3,   372.6,        ,        , 
2010/08/14 00:20,     0.0,     0.0,   334.2,   373.6,        ,        , 
2010/08/14 00:30,     0.0,     0.0,   335.3,   372.1,    19.8,    60.2, 
2010/08/14 00:40,     0.0,     0.0,   336.3,   373.2,        ,        , 
2010/08/14 00:50,     0.0,     0.0,   338.0,   374.8,        ,        , 
2010/08/14 01:00,     0.0,     0.0,   333.5,   369.9,    19.0,    59.0, 
2010/08/14 01:10,     0.0,     0.0,   336.3,   373.3,        ,        , 
2010/08/14 01:20,     0.0,     0.0,   333.8,   370.5,        ,        , 
2010/08/14 01:30,     0.0,     0.0,   334.2,   370.8,    19.0,    61.0, 
2010/08/14 01:40,     0.0,     0.0,   335.0,   371.5,        ,        , 
2010/08/14 01:50,     0.0,     0.0,   337.0,   373.8,        ,        , 
2010/08/14 02:00,     0.0,     0.0,   336.3,   372.1,    18.5,    64.2, 
2010/08/14 02:10,     0.0,     0.0,   337.3,   374.1,        ,        , 
2010/08/14 02:20,     0.0,     0.0,   335.7,   372.9,        ,        , 
2010/08/14 02:30,     0.0,     0.0,   334.6,   372.6,    17.9,    62.3, 
2010/08/14 02:40,     0.0,     0.0,   332.7,   368.9,        ,        , 
2010/08/14 02:50,     0.0,     0.0,   333.0,   368.7,        ,        , 
2010/08/14 03:00,     0.0,     0.0,   335.3,   370.0,    18.1,    63.9, 
2010/08/14 03:10,     0.0,     0.0,   332.7,   367.9,        ,        , 
2010/08/14 03:20,     0.0,     0.0,   330.4,   366.8,        ,        , 
2010/08/14 03:30,     0.0,     0.0,   332.7,   370.2,    17.7,    64.5, 
2010/08/14 03:40,     0.0,     0.0,   334.4,   372.3,        ,        , 
