# Data from Radiometers at the UBC Climate Station (Totem Field)
# Year: 2010 / Month: 07 / Day: 05
# All times in PST
# K_in  : Short-wave incoming radiation in W m^-2 (measured every 10 min)
# K_out : Short-wave outgoing radiation in W m^-2 (measured every 10 min)
# L_in  : Long-wave incoming radiation in W m^-2 (measured every 10 min)
# L_out : Long-wave outgoing radiation in W m^-2 (measured every 10 min)
# AirT  : Screen-level air temperature in degree Celsius (measured every 30 min)
# RH    : Screen-level relative humidity in % (measured every 30 min)
#
"TIME (PST)"    ,  "K_in", "K_out",  "L_in", "L_out",  "AirT",    "RH",
2010/07/05 00:10,     0.0,     0.0,   353.5,   380.7,        ,        , 
2010/07/05 00:20,     0.0,     0.0,   347.5,   379.4,        ,        , 
2010/07/05 00:30,     0.0,     0.0,   337.8,   377.9,    15.7,    71.0, 
2010/07/05 00:40,     0.0,     0.0,   334.9,   376.8,        ,        , 
2010/07/05 00:50,     0.0,     0.0,   337.5,   377.0,        ,        , 
2010/07/05 01:00,     0.0,     0.0,   340.7,   376.0,    15.3,    74.1, 
2010/07/05 01:10,     0.0,     0.0,   350.9,   378.0,        ,        , 
2010/07/05 01:20,     0.0,     0.0,   349.7,   378.6,        ,        , 
2010/07/05 01:30,     0.0,     0.0,   347.1,   378.1,    14.8,    74.1, 
2010/07/05 01:40,     0.0,     0.0,   354.8,   378.8,        ,        , 
2010/07/05 01:50,     0.0,     0.0,   358.6,   379.3,        ,        , 
2010/07/05 02:00,     0.0,     0.0,   359.4,   379.1,    14.6,    74.1, 
2010/07/05 02:10,     0.0,     0.0,   355.0,   378.5,        ,        , 
2010/07/05 02:20,     0.0,     0.0,   345.7,   377.1,        ,        , 
2010/07/05 02:30,     0.0,     0.0,   343.4,   375.4,    14.5,    74.2, 
2010/07/05 02:40,     0.0,     0.0,   346.6,   375.9,        ,        , 
2010/07/05 02:50,     0.0,     0.0,   331.6,   372.9,        ,        , 
2010/07/05 03:00,     0.0,     0.0,   335.9,   372.3,    14.3,    74.2, 
2010/07/05 03:10,     0.0,     0.0,   343.9,   373.4,        ,        , 
2010/07/05 03:20,     0.0,     0.0,   349.2,   374.6,        ,        , 
2010/07/05 03:30,     0.0,     0.0,   351.6,   374.2,    13.8,    73.4, 
2010/07/05 03:40,     0.0,     0.0,   345.7,   373.7,        ,        , 
2010/07/05 03:50,     0.0,     0.0,   339.4,   372.2,        ,        , 
2010/07/05 04:00,     0.0,     0.0,   340.5,   371.8,    13.6,    71.4, 
2010/07/05 04:10,     0.0,     0.0,   335.7,   371.0,        ,        , 
2010/07/05 04:20,     0.7,     0.4,   317.8,   367.0,        ,        , 
2010/07/05 04:30,     3.9,     1.0,   315.6,   366.5,    13.6,    74.2, 
2010/07/05 04:40,    12.6,     3.0,   340.1,   370.7,        ,        , 
2010/07/05 04:50,    19.1,     4.9,   354.8,   374.5,        ,        , 
2010/07/05 05:00,    23.4,     5.7,   358.3,   376.2,    13.2,    73.2, 
2010/07/05 05:10,    28.9,     6.8,   344.1,   374.6,        ,        , 
2010/07/05 05:20,    40.2,     9.9,   344.2,   374.9,        ,        , 
2010/07/05 05:30,    39.0,     9.3,   353.1,   376.4,    13.2,    72.4, 
2010/07/05 05:40,    46.3,    10.8,   352.1,   376.9,        ,        , 
2010/07/05 05:50,    60.1,    14.4,   347.7,   377.3,        ,        , 
2010/07/05 06:00,    83.3,    22.0,   351.5,   380.9,    13.2,    73.0, 
2010/07/05 06:10,    82.6,    19.4,   345.4,   379.7,        ,        , 
2010/07/05 06:20,    95.3,    22.4,   343.9,   381.0,        ,        , 
2010/07/05 06:30,   119.8,    28.9,   345.5,   384.7,    13.0,    75.1, 
2010/07/05 06:40,   158.6,    38.7,   350.6,   388.2,        ,        , 
2010/07/05 06:50,   141.9,    34.3,   335.5,   386.8,        ,        , 
2010/07/05 07:00,   205.3,    56.2,   322.1,   387.2,    13.0,    75.2, 
2010/07/05 07:10,   214.8,    59.3,   316.9,   388.9,        ,        , 
2010/07/05 07:20,   222.5,    59.8,   310.8,   387.0,        ,        , 
2010/07/05 07:30,   446.9,   129.1,   326.8,   408.1,    13.4,    72.7, 
2010/07/05 07:40,   473.3,   135.2,   325.9,   416.5,        ,        , 
2010/07/05 07:50,   524.3,   148.1,   328.3,   420.8,        ,        , 
2010/07/05 08:00,   620.5,   170.7,   347.4,   434.0,    13.8,    69.0, 
2010/07/05 08:10,   528.9,   140.9,   345.9,   430.0,        ,        , 
2010/07/05 08:20,   332.6,    85.4,   330.0,   409.6,        ,        , 
2010/07/05 08:30,   508.4,   131.6,   334.5,   422.1,    14.7,    68.8, 
2010/07/05 08:40,   632.4,   164.6,   329.0,   435.2,        ,        , 
2010/07/05 08:50,   643.3,   165.6,   321.0,   436.4,        ,        , 
2010/07/05 09:00,   662.1,   168.1,   322.7,   439.5,    14.8,    68.4, 
2010/07/05 09:10,   679.3,   170.5,   319.6,   438.3,        ,        , 
2010/07/05 09:20,   703.5,   174.6,   322.4,   443.7,        ,        , 
2010/07/05 09:30,   724.0,   177.8,   322.4,   443.6,    15.1,    68.0, 
2010/07/05 09:40,   745.8,   181.1,   324.2,   446.1,        ,        , 
2010/07/05 09:50,   766.7,   183.7,   330.2,   454.5,        ,        , 
2010/07/05 10:00,   785.7,   187.1,   327.7,   451.2,    15.3,    69.5, 
2010/07/05 10:10,   802.7,   189.9,   329.0,   454.0,        ,        , 
2010/07/05 10:20,   821.3,   192.6,   334.9,   462.8,        ,        , 
2010/07/05 10:30,   835.1,   194.9,   329.6,   457.4,    15.6,    69.4, 
2010/07/05 10:40,   836.0,   193.6,   330.3,   458.8,        ,        , 
2010/07/05 10:50,   869.4,   200.4,   335.6,   462.2,        ,        , 
2010/07/05 11:00,   884.8,   202.4,   337.6,   464.5,    15.8,    70.0, 
2010/07/05 11:10,   823.9,   188.0,   338.1,   460.4,        ,        , 
2010/07/05 11:20,   835.8,   188.7,   360.4,   470.0,        ,        , 
2010/07/05 11:30,   893.2,   203.5,   354.3,   461.9,    15.9,    69.2, 
2010/07/05 11:40,   587.8,   133.9,   334.6,   449.3,        ,        , 
2010/07/05 11:50,   738.6,   166.8,   339.6,   454.0,        ,        , 
2010/07/05 12:00,   982.3,   222.6,   349.4,   476.2,    15.9,    68.2, 
2010/07/05 12:10,   927.3,   207.8,   338.2,   472.4,        ,        , 
2010/07/05 12:20,   916.7,   204.8,   335.5,   470.6,        ,        , 
2010/07/05 12:30,   916.6,   204.1,   338.7,   474.3,    15.9,    67.6, 
2010/07/05 12:40,   913.5,   202.9,   341.7,   480.0,        ,        , 
2010/07/05 12:50,   909.2,   203.0,   336.1,   472.8,        ,        , 
2010/07/05 13:00,   902.0,   202.1,   336.6,   473.4,    16.1,    65.6, 
2010/07/05 13:10,   895.5,   202.2,   330.2,   463.8,        ,        , 
2010/07/05 13:20,   887.3,   200.3,   338.1,   473.1,        ,        , 
2010/07/05 13:30,   877.0,   198.3,   339.3,   475.4,    16.6,    65.6, 
2010/07/05 13:40,   867.4,   197.6,   333.1,   467.8,        ,        , 
2010/07/05 13:50,   858.1,   196.7,   330.8,   464.9,        ,        , 
2010/07/05 14:00,   846.8,   193.8,   338.4,   474.4,    16.5,    64.8, 
2010/07/05 14:10,   832.5,   191.8,   335.2,   471.2,        ,        , 
2010/07/05 14:20,   819.3,   189.7,   332.4,   466.6,        ,        , 
