# Data from Radiometers at the UBC Climate Station (Totem Field)
# Year: 2010 / Month: 08 / Day: 16
# All times in PST
# K_in  : Short-wave incoming radiation in W m^-2 (measured every 10 min)
# K_out : Short-wave outgoing radiation in W m^-2 (measured every 10 min)
# L_in  : Long-wave incoming radiation in W m^-2 (measured every 10 min)
# L_out : Long-wave outgoing radiation in W m^-2 (measured every 10 min)
# AirT  : Screen-level air temperature in degree Celsius (measured every 30 min)
# RH    : Screen-level relative humidity in % (measured every 30 min)
#
"TIME (PST)"    ,  "K_in", "K_out",  "L_in", "L_out",  "AirT",    "RH",
2010/08/16 00:10,     0.0,     0.0,   355.4,   387.8,        ,        , 
2010/08/16 00:20,     0.0,     0.0,   351.7,   384.9,        ,        , 
2010/08/16 00:30,     0.0,     0.0,   351.6,   384.3,    21.5,    58.4, 
2010/08/16 00:40,     0.0,     0.0,   350.0,   383.4,        ,        , 
2010/08/16 00:50,     0.0,     0.0,   349.8,   383.0,        ,        , 
2010/08/16 01:00,     0.0,     0.0,   349.3,   382.4,    21.5,    65.4, 
2010/08/16 01:10,     0.0,     0.0,   349.7,   381.5,        ,        , 
2010/08/16 01:20,     0.0,     0.0,   348.1,   379.9,        ,        , 
2010/08/16 01:30,     0.0,     0.0,   349.3,   380.4,    20.4,    69.2, 
2010/08/16 01:40,     0.0,     0.0,   349.0,   379.6,        ,        , 
2010/08/16 01:50,     0.0,     0.0,   347.3,   378.5,        ,        , 
2010/08/16 02:00,     0.0,     0.0,   347.7,   380.1,    19.7,    71.3, 
2010/08/16 02:10,     0.0,     0.0,   346.6,   377.9,        ,        , 
2010/08/16 02:20,     0.0,     0.0,   346.2,   378.2,        ,        , 
2010/08/16 02:30,     0.0,     0.0,   344.7,   376.3,    19.4,    72.9, 
2010/08/16 02:40,     0.0,     0.0,   344.5,   377.3,        ,        , 
2010/08/16 02:50,     0.0,     0.0,   344.7,   376.7,        ,        , 
2010/08/16 03:00,     0.0,     0.0,   347.2,   381.6,    19.0,    74.2, 
2010/08/16 03:10,     0.0,     0.0,   342.5,   376.0,        ,        , 
2010/08/16 03:20,     0.0,     0.0,   345.3,   378.5,        ,        , 
2010/08/16 03:30,     0.0,     0.0,   346.8,   382.5,    18.5,    73.5, 
2010/08/16 03:40,     0.0,     0.0,   341.9,   375.0,        ,        , 
2010/08/16 03:50,     0.0,     0.0,   342.7,   375.9,        ,        , 
2010/08/16 04:00,     0.0,     0.0,   346.6,   379.1,    18.4,    73.3, 
2010/08/16 04:10,     0.0,     0.0,   342.2,   374.7,        ,        , 
2010/08/16 04:20,     0.0,     0.0,   340.5,   373.7,        ,        , 
2010/08/16 04:30,     0.0,     0.0,   340.3,   372.2,    18.2,    74.5, 
2010/08/16 04:40,     0.0,     0.0,   342.8,   374.0,        ,        , 
2010/08/16 04:50,     0.0,     0.0,   341.3,   373.3,        ,        , 
2010/08/16 05:00,     0.0,     0.0,   340.1,   371.9,    17.9,    76.0, 
2010/08/16 05:10,     0.5,     0.0,   339.9,   372.0,        ,        , 
2010/08/16 05:20,     5.1,     0.1,   343.7,   376.3,        ,        , 
2010/08/16 05:30,     9.7,     1.3,   341.3,   374.9,    17.8,    78.6, 
2010/08/16 05:40,    18.0,     2.4,   347.3,   383.6,        ,        , 
2010/08/16 05:50,    25.9,     3.3,   347.8,   386.1,        ,        , 
2010/08/16 06:00,    31.9,     4.4,   348.0,   389.3,    17.5,    74.2, 
2010/08/16 06:10,    57.0,     9.4,   346.7,   389.4,        ,        , 
2010/08/16 06:20,    87.7,    23.9,   351.1,   398.1,        ,        , 
2010/08/16 06:30,   109.6,    32.5,   353.3,   406.1,    18.3,    74.7, 
2010/08/16 06:40,   132.2,    39.6,   354.8,   413.6,        ,        , 
2010/08/16 06:50,   157.1,    46.9,   357.0,   420.7,        ,        , 
2010/08/16 07:00,   184.5,    54.5,   358.4,   425.7,    18.9,    73.8, 
2010/08/16 07:10,   213.8,    61.8,   362.4,   432.1,        ,        , 
2010/08/16 07:20,   245.6,    69.1,   361.2,   433.3,        ,        , 
2010/08/16 07:30,   273.3,    75.2,   361.7,   436.1,    20.2,    64.0, 
2010/08/16 07:40,   300.5,    81.5,   365.6,   444.1,        ,        , 
2010/08/16 07:50,   323.4,    86.9,   363.7,   445.2,        ,        , 
2010/08/16 08:00,   344.0,    92.0,   359.6,   444.6,    22.1,    55.6, 
2010/08/16 08:10,   363.8,    96.3,   358.5,   447.3,        ,        , 
2010/08/16 08:20,   390.9,   102.2,   355.6,   448.3,        ,        , 
2010/08/16 08:30,   413.0,   107.0,   350.1,   445.6,    23.7,    64.9, 
2010/08/16 08:40,   442.2,   111.4,   358.3,   455.1,        ,        , 
2010/08/16 08:50,   469.8,   116.8,   355.6,   455.1,        ,        , 
2010/08/16 09:00,   497.2,   120.9,   359.7,   460.6,    23.1,    67.6, 
2010/08/16 09:10,   523.7,   124.8,   363.9,   466.6,        ,        , 
2010/08/16 09:20,   542.9,   127.5,   366.4,   470.6,        ,        , 
2010/08/16 09:30,   565.1,   131.1,   365.4,   472.1,    22.1,    58.0, 
2010/08/16 09:40,   591.7,   134.8,   368.6,   476.2,        ,        , 
2010/08/16 09:50,   616.1,   137.9,   371.9,   481.4,        ,        , 
2010/08/16 10:00,   641.7,   142.1,   368.6,   481.6,    23.1,    50.0, 
2010/08/16 10:10,   663.7,   144.9,   370.6,   486.1,        ,        , 
2010/08/16 10:20,   678.1,   146.1,   372.6,   490.9,        ,        , 
2010/08/16 10:30,   692.3,   147.2,   374.2,   493.9,    24.4,    51.3, 
2010/08/16 10:40,   707.5,   149.2,   371.9,   492.4,        ,        , 
2010/08/16 10:50,   720.7,   150.6,   374.2,   495.7,        ,        , 
2010/08/16 11:00,   733.7,   152.9,   372.1,   495.0,    25.0,    51.5, 
2010/08/16 11:10,   750.3,   153.9,   377.4,   502.5,        ,        , 
2010/08/16 11:20,   761.6,   155.2,   374.5,   501.9,        ,        , 
2010/08/16 11:30,   774.3,   156.8,   375.6,   504.3,    25.1,    48.5, 
2010/08/16 11:40,   782.4,   158.0,   372.9,   501.4,        ,        , 
2010/08/16 11:50,   791.1,   159.8,   374.6,   502.6,        ,        , 
2010/08/16 12:00,   794.9,   160.1,   377.0,   506.7,    25.7,    47.2, 
2010/08/16 12:10,   795.2,   159.1,   380.8,   510.5,        ,        , 
2010/08/16 12:20,   792.2,   159.1,   376.7,   506.0,        ,        , 
2010/08/16 12:30,   791.3,   158.4,   379.0,   509.4,    26.0,    44.3, 
2010/08/16 12:40,   790.2,   158.1,   379.6,   509.9,        ,        , 
2010/08/16 12:50,   787.2,   157.8,   379.3,   509.6,        ,        , 
2010/08/16 13:00,   781.6,   158.4,   371.8,   502.5,    26.3,    46.4, 
2010/08/16 13:10,   775.9,   157.1,   373.4,   505.5,        ,        , 
2010/08/16 13:20,   772.2,   156.0,   375.8,   507.3,        ,        , 
2010/08/16 13:30,   762.9,   155.3,   373.2,   504.6,    26.6,    49.7, 
2010/08/16 13:40,   750.0,   154.2,   369.5,   501.9,        ,        , 
2010/08/16 13:50,   739.5,   151.7,   374.0,   506.8,        ,        , 
2010/08/16 14:00,   725.9,   150.2,   372.3,   503.1,    26.0,    48.4, 
2010/08/16 14:10,   710.1,   148.7,   370.5,   501.0,        ,        , 
2010/08/16 14:20,   692.8,   145.8,   372.0,   502.4,        ,        , 
2010/08/16 14:30,   675.6,   143.0,   372.9,   501.7,    25.8,    52.5, 
2010/08/16 14:40,   657.0,   140.9,   369.7,   498.0,        ,        , 
2010/08/16 14:50,   639.1,   138.7,   368.0,   496.7,        ,        , 
2010/08/16 15:00,   619.5,   135.6,   369.4,   497.5,    26.3,    52.2, 
2010/08/16 15:10,   600.0,   134.4,   358.3,   484.5,        ,        , 
2010/08/16 15:20,   578.1,   131.2,   360.0,   485.5,        ,        , 
2010/08/16 15:30,   556.8,   127.7,   362.4,   486.4,    26.3,    53.7, 
2010/08/16 15:40,   531.8,   123.9,   363.1,   483.5,        ,        , 
2010/08/16 15:50,   501.4,   119.0,   362.7,   478.4,        ,        , 
2010/08/16 16:00,   471.9,   114.2,   363.4,   478.2,    25.5,    43.1, 
2010/08/16 16:10,   445.4,   109.6,   361.5,   474.5,        ,        , 
2010/08/16 16:20,   417.7,   104.4,   365.5,   475.7,        ,        , 
2010/08/16 16:30,   390.2,   100.0,   365.0,   472.2,    25.8,    39.9, 
2010/08/16 16:40,   359.3,    94.5,   366.0,   471.1,        ,        , 
2010/08/16 16:50,   334.2,    90.5,   361.4,   464.3,        ,        , 
2010/08/16 17:00,   306.4,    84.6,   362.1,   464.8,    26.0,    35.4, 
2010/08/16 17:10,   280.8,    78.9,   363.1,   461.9,        ,        , 
2010/08/16 17:20,   256.1,    73.5,   359.7,   456.7,        ,        , 
2010/08/16 17:30,   230.9,    67.3,   358.8,   454.8,    27.2,    33.5, 
2010/08/16 17:40,   199.2,    60.0,   355.1,   449.7,        ,        , 
2010/08/16 17:50,   172.7,    53.5,   354.6,   445.8,        ,        , 
2010/08/16 18:00,   146.8,    47.3,   350.5,   441.4,    27.7,    40.7, 
2010/08/16 18:10,   121.8,    41.3,   350.0,   438.0,        ,        , 
2010/08/16 18:20,    99.2,    33.3,   347.7,   432.0,        ,        , 
2010/08/16 18:30,    76.2,    26.7,   346.1,   426.9,    27.5,    50.9, 
2010/08/16 18:40,    52.3,    15.3,   340.9,   417.6,        ,        , 
2010/08/16 18:50,    15.4,     2.0,   339.3,   406.9,        ,        , 
2010/08/16 19:00,     8.6,     0.8,   340.7,   401.4,    26.2,    56.9, 
2010/08/16 19:10,     3.4,     0.1,   341.6,   397.9,        ,        , 
2010/08/16 19:20,     0.3,     0.1,   341.0,   394.4,        ,        , 
2010/08/16 19:30,     0.0,     0.0,   344.6,   393.9,    24.7,    56.3, 
2010/08/16 19:40,     0.0,     0.0,   344.2,   389.6,        ,        , 
2010/08/16 19:50,     0.0,     0.0,   344.2,   387.8,        ,        , 
2010/08/16 20:00,     0.0,     0.0,   344.8,   386.8,    23.0,    59.0, 
2010/08/16 20:10,     0.0,     0.0,   348.0,   387.8,        ,        , 
2010/08/16 20:20,     0.0,     0.0,   346.3,   385.1,        ,        , 
2010/08/16 20:30,     0.0,     0.0,   345.9,   384.5,    22.0,    58.1, 
2010/08/16 20:40,     0.0,     0.0,   345.9,   382.8,        ,        , 
2010/08/16 20:50,     0.0,     0.0,   350.0,   386.7,        ,        , 
2010/08/16 21:00,     0.0,     0.0,   349.8,   386.3,    21.4,    59.7, 
2010/08/16 21:10,     0.0,     0.0,   350.6,   387.1,        ,        , 
2010/08/16 21:20,     0.0,     0.0,   349.4,   385.4,        ,        , 
2010/08/16 21:30,     0.0,     0.0,   349.7,   384.7,    20.8,    57.8, 
2010/08/16 21:40,     0.0,     0.0,   351.3,   385.2,        ,        , 
2010/08/16 21:50,     0.0,     0.0,   351.8,   386.7,        ,        , 
2010/08/16 22:00,     0.0,     0.0,   348.8,   383.2,    20.9,    56.8, 
2010/08/16 22:10,     0.0,     0.0,   348.2,   382.1,        ,        , 
2010/08/16 22:20,     0.0,     0.0,   348.5,   382.5,        ,        , 
2010/08/16 22:30,     0.0,     0.0,   349.9,   386.1,    21.0,    61.2, 
2010/08/16 22:40,     0.0,     0.0,   346.9,   381.8,        ,        , 
2010/08/16 22:50,     0.0,     0.0,   345.4,   380.5,        ,        , 
2010/08/16 23:00,     0.0,     0.0,   345.5,   380.2,    20.5,    64.5, 
2010/08/16 23:10,     0.0,     0.0,   345.7,   381.0,        ,        , 
2010/08/16 23:20,     0.0,     0.0,   343.5,   378.8,        ,        , 
2010/08/16 23:30,     0.0,     0.0,   342.1,   378.1,    20.0,    69.4, 
2010/08/16 23:40,     0.0,     0.0,   343.2,   377.5,        ,        , 
2010/08/16 23:50,     0.0,     0.0,   342.6,   376.7,        ,        , 
2010/08/17 00:00,     0.0,     0.0,   342.2,   377.0,    19.2,    72.2, 
