# EBEX 2000, Kettleman City, CA, USA
# Turbulence data measured at 1 Hz by fast-anemometer at 6.4 m
# Start: 2000/08/16 10:30 PST
# u (m/s) : longitudinal wind vector component
# v (m/s) : lateral wind vector component
# w (m/s) : vertical wind vector component

"YYYY-MM-DD HH:MM:SS","u (m/s)","v (m/s)","w (m/s)"
"2000-08-16 10:30:00",   2.7267,  -0.8376,  -0.5932
"2000-08-16 10:30:01",   2.6416,  -0.1967,  -0.1659
"2000-08-16 10:30:02",   2.1834,  -0.3419,  -0.5789
"2000-08-16 10:30:03",   2.1974,  -0.3227,  -0.2633
"2000-08-16 10:30:04",   1.9692,   0.0063,  -0.4701
"2000-08-16 10:30:05",   2.2024,   0.2407,  -0.1621
"2000-08-16 10:30:06",   1.6917,   0.1739,  -0.2159
"2000-08-16 10:30:07",   2.5046,  -0.0778,   0.0864
"2000-08-16 10:30:08",   2.6365,  -0.1005,   0.5433
"2000-08-16 10:30:09",   2.8139,  -0.2652,   0.2207
"2000-08-16 10:30:10",   2.5187,   0.5833,   0.0926
"2000-08-16 10:30:11",   2.3173,   0.8375,  -0.1878
"2000-08-16 10:30:12",   3.4490,   0.9912,   0.0261
"2000-08-16 10:30:13",   4.3882,   0.3918,  -0.0352
"2000-08-16 10:30:14",   4.6504,  -0.0243,   0.3396
"2000-08-16 10:30:15",   4.2417,   0.1488,  -0.6113
"2000-08-16 10:30:16",   4.4416,   0.8558,  -0.2100
"2000-08-16 10:30:17",   4.4623,   0.4168,   0.0583
"2000-08-16 10:30:18",   3.8110,  -0.2349,  -0.4399
"2000-08-16 10:30:19",   3.5818,   0.3665,  -0.5462
"2000-08-16 10:30:20",   3.2200,   0.3285,  -0.1586
"2000-08-16 10:30:21",   3.8750,   1.3152,   0.4638
"2000-08-16 10:30:22",   3.2965,   1.3419,   0.3095
"2000-08-16 10:30:23",   3.0276,   0.0113,   0.1200
"2000-08-16 10:30:24",   2.9824,  -0.0898,  -0.1783
"2000-08-16 10:30:25",   3.4253,   0.2027,  -0.1000
"2000-08-16 10:30:26",   3.9351,   0.3922,  -0.3483
"2000-08-16 10:30:27",   3.8401,   0.5525,   0.3744
"2000-08-16 10:30:28",   3.9210,   0.2876,  -0.3560
"2000-08-16 10:30:29",   3.7705,   0.6195,  -0.1031
"2000-08-16 10:30:30",   3.8388,   0.2027,  -0.2115
"2000-08-16 10:30:31",   3.4126,  -0.2252,   1.1000
"2000-08-16 10:30:32",   3.1168,   0.1244,  -0.2151
"2000-08-16 10:30:33",   3.4520,  -0.4064,   0.8941
"2000-08-16 10:30:34",   2.5863,   1.1534,   1.0940
"2000-08-16 10:30:35",   1.9526,   1.3169,   0.0167
"2000-08-16 10:30:36",   3.7490,   1.0572,   0.0726
"2000-08-16 10:30:37",   3.4913,   0.5063,  -0.1186
"2000-08-16 10:30:38",   3.3101,   0.8076,  -0.0056
"2000-08-16 10:30:39",   3.1649,   0.7060,  -0.1461
"2000-08-16 10:30:40",   3.0732,   0.9303,   0.2899
"2000-08-16 10:30:41",   2.9859,   0.5247,   0.1581
"2000-08-16 10:30:42",   3.2709,  -0.0489,  -0.1744
"2000-08-16 10:30:43",   3.5743,   0.4993,   0.1139
"2000-08-16 10:30:44",   2.9585,   0.2249,  -0.2692
"2000-08-16 10:30:45",   3.0945,   1.0849,   0.2365
"2000-08-16 10:30:46",   3.6000,   0.3677,   0.6386
"2000-08-16 10:30:47",   3.6003,   0.2073,   0.5089
"2000-08-16 10:30:48",   3.2617,  -0.1593,  -0.5242
"2000-08-16 10:30:49",   3.4308,  -0.0990,   0.7101
"2000-08-16 10:30:50",   3.5281,  -0.7062,   0.0019
"2000-08-16 10:30:51",   2.9242,  -0.4240,   0.0629
"2000-08-16 10:30:52",   4.0651,  -0.6407,   0.7561
"2000-08-16 10:30:53",   4.1536,  -2.1106,   0.1990
"2000-08-16 10:30:54",   4.4918,  -1.7726,  -0.0682
"2000-08-16 10:30:55",   3.5879,  -2.3491,  -0.4238
"2000-08-16 10:30:56",   4.5023,  -1.7889,  -0.3960
"2000-08-16 10:30:57",   4.0917,  -1.3915,  -0.0535
"2000-08-16 10:30:58",   3.1983,  -2.6171,  -0.2684
"2000-08-16 10:30:59",   3.8732,  -1.5800,  -0.0469
"2000-08-16 10:31:00",   3.8002,  -2.1043,  -0.2799
"2000-08-16 10:31:01",   3.8822,  -2.0272,  -0.3655
"2000-08-16 10:31:02",   3.8065,  -1.7251,  -0.9899
"2000-08-16 10:31:03",   3.6555,  -1.8169,   0.1398
"2000-08-16 10:31:04",   3.3189,  -1.7922,  -0.0518
"2000-08-16 10:31:05",   3.4616,  -1.7477,   0.4649
"2000-08-16 10:31:06",   4.2879,  -1.9870,   0.1737
"2000-08-16 10:31:07",   4.1318,  -1.3940,   0.0444
"2000-08-16 10:31:08",   3.7557,  -1.8062,   0.5181
"2000-08-16 10:31:09",   3.8266,  -1.7207,  -0.3258
"2000-08-16 10:31:10",   3.8768,  -1.5829,  -0.1446
"2000-08-16 10:31:11",   4.0451,  -1.3917,  -0.3025
"2000-08-16 10:31:12",   4.0494,  -1.4380,  -0.1710
"2000-08-16 10:31:13",   3.8965,  -1.1596,   0.3792
"2000-08-16 10:31:14",   4.3807,  -1.6584,   0.1792
