# EBEX 2000, Kettleman City, CA, USA
# Turbulence data measured at 1 Hz by fast-anemometer at 6.4 m
# Start: 2000/08/19 16:30 PST
# u (m/s) : longitudinal wind vector component
# v (m/s) : lateral wind vector component
# w (m/s) : vertical wind vector component

"YYYY-MM-DD HH:MM:SS","u (m/s)","v (m/s)","w (m/s)"
"2000-08-19 16:30:00",   3.0774,   0.0560,  -0.1993
"2000-08-19 16:30:01",   2.9384,  -0.0827,   0.0345
"2000-08-19 16:30:02",   2.9198,  -0.1783,  -0.1177
"2000-08-19 16:30:03",   3.0079,   0.0066,   0.2113
"2000-08-19 16:30:04",   3.1117,   0.0649,   0.0785
"2000-08-19 16:30:05",   3.1175,   0.1399,   0.0078
"2000-08-19 16:30:06",   3.1221,   0.4616,  -0.1163
"2000-08-19 16:30:07",   3.1013,  -0.2626,  -0.5267
"2000-08-19 16:30:08",   2.6290,   0.2077,   0.2469
"2000-08-19 16:30:09",   2.6789,   0.5209,  -0.0479
"2000-08-19 16:30:10",   2.6721,   0.4890,   0.0937
"2000-08-19 16:30:11",   2.8288,   0.2918,  -0.0094
"2000-08-19 16:30:12",   2.7560,   0.5427,   0.0346
"2000-08-19 16:30:13",   2.8709,   0.0640,  -0.0173
"2000-08-19 16:30:14",   3.3254,   0.1421,  -0.2706
"2000-08-19 16:30:15",   3.1850,   0.2725,  -0.2401
"2000-08-19 16:30:16",   3.2231,   0.5739,   0.1508
"2000-08-19 16:30:17",   3.0996,   0.0962,  -0.0084
"2000-08-19 16:30:18",   3.0731,  -0.1751,  -0.2045
"2000-08-19 16:30:19",   2.8450,  -0.0802,  -0.2427
"2000-08-19 16:30:20",   3.0046,   0.3085,  -0.0988
"2000-08-19 16:30:21",   2.8475,   0.2396,  -0.1171
"2000-08-19 16:30:22",   2.8581,   0.1817,   0.0996
"2000-08-19 16:30:23",   2.3461,   0.3338,  -0.2341
"2000-08-19 16:30:24",   2.2391,   0.5569,  -0.1020
