# EBEX 2000, Kettleman City, CA, USA
# Turbulence data measured at 1 Hz by fast-anemometer at 6.4 m
# Start: 2000/08/13 11:30 PST
# u (m/s) : longitudinal wind vector component
# v (m/s) : lateral wind vector component
# w (m/s) : vertical wind vector component

"YYYY-MM-DD HH:MM:SS","u (m/s)","v (m/s)","w (m/s)"
"2000-08-13 11:30:00",   2.6656,   1.1962,  -0.1193
"2000-08-13 11:30:01",   2.0483,   1.3145,   0.4068
"2000-08-13 11:30:02",   2.5113,   0.9140,   0.0804
"2000-08-13 11:30:03",   2.3321,   0.9791,   0.2182
"2000-08-13 11:30:04",   2.1819,   0.6684,   0.1577
"2000-08-13 11:30:05",   2.3196,   0.7236,   0.1102
"2000-08-13 11:30:06",   1.9125,   0.8174,   0.2099
"2000-08-13 11:30:07",   2.5463,   1.1616,   0.0594
"2000-08-13 11:30:08",   2.6600,   1.3789,  -0.0222
"2000-08-13 11:30:09",   2.5491,   0.9885,   0.2567
"2000-08-13 11:30:10",   2.6902,   0.8102,   0.1890
"2000-08-13 11:30:11",   3.3041,   1.0775,  -0.3953
"2000-08-13 11:30:12",   3.2559,   0.5780,   0.5260
"2000-08-13 11:30:13",   3.2115,   0.1316,  -0.2962
"2000-08-13 11:30:14",   2.5083,   0.3087,   0.2463
"2000-08-13 11:30:15",   2.0951,   0.4448,   0.3962
"2000-08-13 11:30:16",   2.1697,   0.1296,   0.2343
"2000-08-13 11:30:17",   2.5229,  -0.2724,   0.2007
"2000-08-13 11:30:18",   2.6914,   0.1358,   0.4271
"2000-08-13 11:30:19",   2.3759,  -0.2511,   0.1587
"2000-08-13 11:30:20",   1.4737,   0.5252,   0.4646
"2000-08-13 11:30:21",   2.3202,   0.0953,   0.5382
"2000-08-13 11:30:22",   2.7317,   0.0237,  -0.1214
"2000-08-13 11:30:23",   2.7368,  -0.2117,   0.2306
"2000-08-13 11:30:24",   1.9293,  -0.2224,  -0.6160
"2000-08-13 11:30:25",   2.0462,  -0.3480,   0.3167
"2000-08-13 11:30:26",   2.3805,   0.2262,   0.0948
"2000-08-13 11:30:27",   2.6094,   0.0849,   0.0787
"2000-08-13 11:30:28",   1.9792,   0.0190,  -0.1945
"2000-08-13 11:30:29",   1.7830,  -0.0586,   0.6362
"2000-08-13 11:30:30",   1.3610,  -0.1413,   0.6686
"2000-08-13 11:30:31",   2.0770,   0.4302,   0.3677
"2000-08-13 11:30:32",   1.9764,   0.0958,   0.4728
"2000-08-13 11:30:33",   1.5680,   0.0551,   0.5615
"2000-08-13 11:30:34",   1.8380,  -0.1214,   0.4148
"2000-08-13 11:30:35",   1.9536,   0.5062,   0.4762
"2000-08-13 11:30:36",   1.7682,   0.9499,  -0.4760
"2000-08-13 11:30:37",   1.7750,   1.1104,  -0.1077
"2000-08-13 11:30:38",   1.7994,   1.2612,   0.3849
"2000-08-13 11:30:39",   1.5550,   1.5481,   0.5240
"2000-08-13 11:30:40",   1.8290,   1.4394,   0.1958
"2000-08-13 11:30:41",   2.1114,   0.7698,   0.3665
"2000-08-13 11:30:42",   2.1243,   1.3285,  -0.0587
"2000-08-13 11:30:43",   2.3273,   0.8062,   0.1998
"2000-08-13 11:30:44",   3.0012,   1.4597,   0.1678
"2000-08-13 11:30:45",   2.6696,   1.5728,  -0.0188
"2000-08-13 11:30:46",   2.4414,   1.8071,  -0.2199
"2000-08-13 11:30:47",   2.6337,   1.7552,  -0.2341
"2000-08-13 11:30:48",   2.4018,   1.5025,   0.2902
"2000-08-13 11:30:49",   2.1197,   1.6944,   0.3929
"2000-08-13 11:30:50",   1.8968,   1.8431,   0.3463
"2000-08-13 11:30:51",   2.0214,   1.3400,  -0.1365
"2000-08-13 11:30:52",   2.4821,   0.7277,   0.2388
"2000-08-13 11:30:53",   1.9165,   0.6493,  -0.0826
"2000-08-13 11:30:54",   2.3998,   0.4445,   0.6986
"2000-08-13 11:30:55",   2.0319,   1.2828,   0.7461
"2000-08-13 11:30:56",   1.8105,   1.3738,   0.7445
