# EBEX 2000, Kettleman City, CA, USA
# Turbulence data measured at 1 Hz by fast-anemometer at 6.4 m
# Start: 2000/08/17 15:00 PST
# u (m/s) : longitudinal wind vector component
# v (m/s) : lateral wind vector component
# w (m/s) : vertical wind vector component

"YYYY-MM-DD HH:MM:SS","u (m/s)","v (m/s)","w (m/s)"
"2000-08-17 15:00:00",   1.8256,   0.5260,   0.4258
"2000-08-17 15:00:01",   2.5713,   0.4177,   0.1711
"2000-08-17 15:00:02",   2.7160,  -0.3289,   1.2061
"2000-08-17 15:00:03",   2.9180,   0.5094,   0.5134
"2000-08-17 15:00:04",   3.4278,   1.5221,  -0.2119
"2000-08-17 15:00:05",   3.2941,   0.6947,  -0.0588
"2000-08-17 15:00:06",   2.4815,   0.9088,   0.6473
"2000-08-17 15:00:07",   2.5262,   0.8279,  -0.0857
"2000-08-17 15:00:08",   3.0700,   1.2523,   0.0624
"2000-08-17 15:00:09",   3.2530,   0.8845,   0.1532
"2000-08-17 15:00:10",   2.8340,   0.4416,  -0.5644
"2000-08-17 15:00:11",   2.2845,   0.2450,  -0.4338
"2000-08-17 15:00:12",   2.3785,   0.0262,   0.6242
"2000-08-17 15:00:13",   3.7572,   0.1806,   0.3838
"2000-08-17 15:00:14",   2.9527,   0.7418,  -0.1077
"2000-08-17 15:00:15",   3.0730,   0.3556,   0.4127
"2000-08-17 15:00:16",   2.7445,  -0.4400,  -0.1086
"2000-08-17 15:00:17",   2.1366,  -0.4648,   0.2044
"2000-08-17 15:00:18",   2.0914,   0.3917,   0.3809
"2000-08-17 15:00:19",   2.1205,  -0.1960,  -0.0913
"2000-08-17 15:00:20",   2.5822,   0.3619,   0.2217
"2000-08-17 15:00:21",   2.6877,  -0.1992,   0.2760
"2000-08-17 15:00:22",   2.1545,   0.9252,   0.7152
"2000-08-17 15:00:23",   2.1581,   1.2800,   0.1869
"2000-08-17 15:00:24",   2.8098,   0.7496,   0.5544
"2000-08-17 15:00:25",   3.2680,   1.1522,   0.7319
"2000-08-17 15:00:26",   2.7016,   0.1853,   0.7853
"2000-08-17 15:00:27",   2.8458,   0.1344,  -0.6654
"2000-08-17 15:00:28",   2.7070,  -0.0046,   0.1446
"2000-08-17 15:00:29",   1.9224,  -0.4169,   0.5779
"2000-08-17 15:00:30",   1.8673,  -0.1954,   0.0136
"2000-08-17 15:00:31",   2.4316,   0.2783,  -0.2169
"2000-08-17 15:00:32",   1.9842,  -0.5710,  -0.2313
"2000-08-17 15:00:33",   2.5952,  -0.5706,  -0.0673
"2000-08-17 15:00:34",   2.7712,  -0.2825,  -0.3996
"2000-08-17 15:00:35",   2.8594,   0.6894,   0.3446
"2000-08-17 15:00:36",   2.8737,   0.3768,   0.3932
"2000-08-17 15:00:37",   3.1097,   0.7632,   0.6222
"2000-08-17 15:00:38",   3.2811,   0.9717,  -0.0607
"2000-08-17 15:00:39",   3.0273,   0.7185,  -0.2043
"2000-08-17 15:00:40",   3.1031,   0.3599,   0.0884
"2000-08-17 15:00:41",   3.0481,  -0.1243,   0.4423
"2000-08-17 15:00:42",   2.5871,  -0.2514,   0.0263
"2000-08-17 15:00:43",   2.0877,  -0.7306,   0.4484
"2000-08-17 15:00:44",   2.0434,  -0.5190,  -0.0979
"2000-08-17 15:00:45",   1.9077,  -0.3836,   0.2549
"2000-08-17 15:00:46",   2.1507,   0.1067,  -0.1740
"2000-08-17 15:00:47",   1.9489,  -0.1497,   0.0944
"2000-08-17 15:00:48",   2.3062,   0.4537,   0.5935
"2000-08-17 15:00:49",   2.0539,   0.4381,   0.3704
"2000-08-17 15:00:50",   2.0516,   0.4963,   0.0494
"2000-08-17 15:00:51",   1.7604,  -0.0262,  -0.0687
"2000-08-17 15:00:52",   2.0295,   0.2358,   0.4023
"2000-08-17 15:00:53",   1.8276,  -0.1547,   0.0069
"2000-08-17 15:00:54",   1.7254,  -0.0159,  -0.2874
"2000-08-17 15:00:55",   2.0875,   0.0781,  -0.0710
"2000-08-17 15:00:56",   2.0382,  -0.0222,   0.2365
"2000-08-17 15:00:57",   1.9930,  -0.0408,   0.2243
"2000-08-17 15:00:58",   2.4870,  -0.0435,  -0.2768
"2000-08-17 15:00:59",   2.7638,  -0.1145,  -0.1558
"2000-08-17 15:01:00",   2.8963,  -0.0987,  -0.1141
"2000-08-17 15:01:01",   2.6748,  -0.3741,   0.0839
"2000-08-17 15:01:02",   2.4099,  -0.1795,   0.0482
"2000-08-17 15:01:03",   2.2929,  -0.1395,  -0.0984
"2000-08-17 15:01:04",   2.7168,  -0.6370,  -0.0674
"2000-08-17 15:01:05",   2.6965,  -0.4219,  -0.1640
"2000-08-17 15:01:06",   2.4497,  -0.4725,  -0.4111
"2000-08-17 15:01:07",   2.7637,  -0.1411,  -0.0787
"2000-08-17 15:01:08",   2.7173,  -0.5203,  -0.2964
"2000-08-17 15:01:09",   2.4326,  -0.3889,   0.0670
"2000-08-17 15:01:10",   2.8361,  -0.3752,   0.1097
"2000-08-17 15:01:11",   2.4132,   0.1460,  -0.4381
"2000-08-17 15:01:12",   2.7709,  -0.4010,  -0.1429
"2000-08-17 15:01:13",   2.7959,  -0.2836,   0.1202
"2000-08-17 15:01:14",   1.9172,   0.0809,   0.1227
"2000-08-17 15:01:15",   1.7258,   0.2221,   0.2717
