# EBEX 2000, Kettleman City, CA, USA
# Turbulence data measured at 1 Hz by fast-anemometer at 6.4 m
# Start: 2000/08/04 15:30 PST
# u (m/s) : longitudinal wind vector component
# v (m/s) : lateral wind vector component
# w (m/s) : vertical wind vector component

"YYYY-MM-DD HH:MM:SS","u (m/s)","v (m/s)","w (m/s)"
"2000-08-04 15:30:00",   3.1334,   0.2236,  -0.1631
"2000-08-04 15:30:01",   3.2819,   0.3695,  -0.1424
"2000-08-04 15:30:02",   3.1887,   0.2953,   0.2499
"2000-08-04 15:30:03",   3.1525,   0.2392,   0.0706
"2000-08-04 15:30:04",   2.2210,  -0.3197,   0.0532
"2000-08-04 15:30:05",   2.5095,   0.0532,   0.1293
"2000-08-04 15:30:06",   3.3326,  -0.2417,  -0.6956
"2000-08-04 15:30:07",   2.3613,  -0.5351,   0.3196
"2000-08-04 15:30:08",   2.8423,  -0.3955,  -0.1182
"2000-08-04 15:30:09",   2.6560,  -0.0924,   0.0764
"2000-08-04 15:30:10",   3.2647,   0.1059,   0.0697
"2000-08-04 15:30:11",   3.2651,  -0.0010,  -0.4486
"2000-08-04 15:30:12",   3.1122,  -0.5236,  -0.1140
"2000-08-04 15:30:13",   2.8634,  -0.0206,  -0.7985
"2000-08-04 15:30:14",   2.7294,   0.5479,   0.4277
"2000-08-04 15:30:15",   3.3436,   0.7265,   0.7540
"2000-08-04 15:30:16",   2.8779,  -0.0135,   0.1912
"2000-08-04 15:30:17",   2.9612,   0.3232,   0.5348
"2000-08-04 15:30:18",   2.7979,  -0.3066,   0.1127
"2000-08-04 15:30:19",   3.2919,  -0.4971,   0.1944
"2000-08-04 15:30:20",   2.7673,   0.5479,   0.2044
"2000-08-04 15:30:21",   2.2742,   0.3377,  -0.5200
"2000-08-04 15:30:22",   3.1252,  -0.6249,  -0.1319
"2000-08-04 15:30:23",   2.5771,  -0.4954,   0.1807
"2000-08-04 15:30:24",   2.5680,   0.0305,   0.0469
"2000-08-04 15:30:25",   2.7071,   0.4410,  -0.1235
"2000-08-04 15:30:26",   2.4297,   0.3627,  -0.1235
"2000-08-04 15:30:27",   2.2154,  -0.1162,   0.0179
"2000-08-04 15:30:28",   2.1117,   1.0957,   0.2833
"2000-08-04 15:30:29",   2.2549,   0.3812,   0.6872
"2000-08-04 15:30:30",   2.1134,  -0.0206,   0.7738
"2000-08-04 15:30:31",   2.2271,  -0.0634,  -0.0275
"2000-08-04 15:30:32",   2.4890,   0.4209,   0.0965
"2000-08-04 15:30:33",   2.5498,  -1.3155,   0.2632
"2000-08-04 15:30:34",   3.5016,  -0.5484,  -0.3747
"2000-08-04 15:30:35",   3.7161,   0.2906,  -0.0925
"2000-08-04 15:30:36",   3.3044,  -0.3179,   0.1228
"2000-08-04 15:30:37",   3.7440,   0.4219,   0.3307
"2000-08-04 15:30:38",   3.4966,   0.1090,   0.1717
"2000-08-04 15:30:39",   2.8316,  -0.1081,   0.4397
"2000-08-04 15:30:40",   3.4048,  -0.0956,  -0.3318
"2000-08-04 15:30:41",   3.0988,   0.1180,  -0.1792
"2000-08-04 15:30:42",   2.6439,  -0.8021,  -0.8254
"2000-08-04 15:30:43",   2.1067,  -0.9995,  -0.2013
"2000-08-04 15:30:44",   2.6734,   0.5137,  -0.2212
"2000-08-04 15:30:45",   2.3493,  -0.1931,   0.3384
