# EBEX 2000, Kettleman City, CA, USA
# Turbulence data measured at 1 Hz by fast-anemometer at 6.4 m
# Start: 2000/08/03 10:30 PST
# u (m/s) : longitudinal wind vector component
# v (m/s) : lateral wind vector component
# w (m/s) : vertical wind vector component

"YYYY-MM-DD HH:MM:SS","u (m/s)","v (m/s)","w (m/s)"
"2000-08-03 10:30:00",   2.8859,   0.4034,   0.2426
"2000-08-03 10:30:01",   3.1998,   0.1416,   0.0269
"2000-08-03 10:30:02",   2.9133,   0.1419,   0.3182
"2000-08-03 10:30:03",   2.8723,  -0.0100,  -0.1582
"2000-08-03 10:30:04",   2.5680,   0.3374,  -0.2988
"2000-08-03 10:30:05",   2.6034,  -0.0401,   0.0309
"2000-08-03 10:30:06",   2.9165,   0.4984,   0.3976
"2000-08-03 10:30:07",   2.7273,   0.5225,   0.1334
"2000-08-03 10:30:08",   2.5714,   0.5030,  -0.0551
"2000-08-03 10:30:09",   2.7224,   0.4710,  -0.0054
"2000-08-03 10:30:10",   2.8387,   0.3294,   0.0448
"2000-08-03 10:30:11",   2.9258,   0.3090,   0.0424
"2000-08-03 10:30:12",   2.7935,   0.4020,   0.0337
"2000-08-03 10:30:13",   2.8056,   0.3284,  -0.0365
"2000-08-03 10:30:14",   2.7615,   0.2943,  -0.0257
"2000-08-03 10:30:15",   2.8738,   0.3165,  -0.0286
"2000-08-03 10:30:16",   2.8222,   0.1279,  -0.1197
"2000-08-03 10:30:17",   2.5711,   0.2687,   0.0339
"2000-08-03 10:30:18",   2.6893,   0.2829,   0.2378
"2000-08-03 10:30:19",   2.8545,   0.2730,   0.2429
"2000-08-03 10:30:20",   2.8709,   0.5808,   0.0928
"2000-08-03 10:30:21",   2.9738,   0.5132,   0.0806
"2000-08-03 10:30:22",   3.0127,   0.3577,  -0.0340
"2000-08-03 10:30:23",   2.9403,   0.6549,   0.0753
"2000-08-03 10:30:24",   2.7967,   0.4565,   0.1011
"2000-08-03 10:30:25",   2.7403,   0.5467,   0.0304
"2000-08-03 10:30:26",   2.9751,  -0.0710,   0.1326
"2000-08-03 10:30:27",   2.9061,   0.5912,  -0.0193
"2000-08-03 10:30:28",   2.4002,   0.7173,   0.7995
"2000-08-03 10:30:29",   2.7500,   0.3927,   0.2744
"2000-08-03 10:30:30",   2.8041,   0.2856,   0.0227
"2000-08-03 10:30:31",   3.0065,   0.3449,  -0.0253
"2000-08-03 10:30:32",   2.9488,   0.2284,   0.5626
"2000-08-03 10:30:33",   2.7006,   0.4431,   0.3087
"2000-08-03 10:30:34",   2.8338,   0.3615,   0.0862
"2000-08-03 10:30:35",   2.9012,   0.3924,   0.2354
"2000-08-03 10:30:36",   2.6630,   0.3022,   0.2943
"2000-08-03 10:30:37",   2.7097,   0.5633,   0.1174
"2000-08-03 10:30:38",   2.6509,   0.3916,   0.1220
"2000-08-03 10:30:39",   2.6830,   0.6193,   0.0559
"2000-08-03 10:30:40",   2.6359,   0.5214,   0.1051
"2000-08-03 10:30:41",   2.5549,   0.6490,   0.2172
"2000-08-03 10:30:42",   2.7052,   0.5319,   0.1748
"2000-08-03 10:30:43",   2.3920,   0.2501,   0.0964
"2000-08-03 10:30:44",   2.7364,   0.0493,   0.0061
"2000-08-03 10:30:45",   2.8800,   0.3964,  -0.0116
"2000-08-03 10:30:46",   2.7259,   0.2374,   0.0966
"2000-08-03 10:30:47",   2.4171,   0.1331,   0.1933
"2000-08-03 10:30:48",   2.4708,   0.1124,   0.1394
"2000-08-03 10:30:49",   2.2989,   0.0894,   0.0527
"2000-08-03 10:30:50",   2.6148,   0.0831,  -0.1436
"2000-08-03 10:30:51",   2.1978,  -0.0979,  -0.0863
"2000-08-03 10:30:52",   1.9248,   0.1670,   0.2904
"2000-08-03 10:30:53",   1.9841,   0.0654,   0.3923
"2000-08-03 10:30:54",   1.6778,   0.4629,   0.1854
"2000-08-03 10:30:55",   1.5514,   0.2682,  -0.0599
"2000-08-03 10:30:56",   1.6378,   0.2398,   0.2825
"2000-08-03 10:30:57",   1.4242,   0.4319,   0.4325
"2000-08-03 10:30:58",   1.7179,   0.0332,   0.4704
"2000-08-03 10:30:59",   1.7262,   0.0118,   0.3277
"2000-08-03 10:31:00",   2.2321,   0.3965,   0.5113
"2000-08-03 10:31:01",   2.3436,   0.4643,   0.2403
"2000-08-03 10:31:02",   2.3148,   0.6915,   0.4119
"2000-08-03 10:31:03",   2.4401,   0.5727,   0.0942
"2000-08-03 10:31:04",   2.2087,   0.3778,   0.2294
"2000-08-03 10:31:05",   2.4334,   0.2375,   0.2442
"2000-08-03 10:31:06",   2.5412,   0.3613,  -0.2258
"2000-08-03 10:31:07",   2.5617,   0.5306,  -0.3190
"2000-08-03 10:31:08",   2.6562,   0.5963,  -0.2069
"2000-08-03 10:31:09",   2.4420,   0.2057,  -0.3023
"2000-08-03 10:31:10",   2.3133,   0.4300,  -0.0852
"2000-08-03 10:31:11",   2.1864,   0.1470,  -0.2923
"2000-08-03 10:31:12",   2.0797,   0.1093,   0.0203
"2000-08-03 10:31:13",   2.1412,   0.3827,  -0.1090
"2000-08-03 10:31:14",   2.2278,   0.3719,   0.0991
