# EBEX 2000, Kettleman City, CA, USA
# Turbulence data measured at 1 Hz by fast-anemometer at 6.4 m
# Start: 2000/08/16 11:30 PST
# u (m/s) : longitudinal wind vector component
# v (m/s) : lateral wind vector component
# w (m/s) : vertical wind vector component

"YYYY-MM-DD HH:MM:SS","u (m/s)","v (m/s)","w (m/s)"
"2000-08-16 11:30:00",   2.6221,  -0.7639,   0.2864
"2000-08-16 11:30:01",   2.5171,  -1.3749,  -0.1885
"2000-08-16 11:30:02",   2.6722,  -0.6701,  -0.0734
"2000-08-16 11:30:03",   2.2435,  -0.7643,  -0.3426
"2000-08-16 11:30:04",   2.4602,  -0.0139,   0.5084
"2000-08-16 11:30:05",   2.6307,  -0.3162,   0.3727
"2000-08-16 11:30:06",   2.5653,  -0.1723,   0.5178
"2000-08-16 11:30:07",   2.3957,  -0.7240,   0.0310
"2000-08-16 11:30:08",   1.9379,  -0.4173,   0.1903
"2000-08-16 11:30:09",   2.0761,  -0.5313,  -0.0218
"2000-08-16 11:30:10",   2.0822,  -1.3275,  -0.0690
"2000-08-16 11:30:11",   2.1980,  -0.8841,  -0.0009
"2000-08-16 11:30:12",   2.6741,  -1.3361,   0.1208
"2000-08-16 11:30:13",   2.8647,  -1.5225,   0.2206
"2000-08-16 11:30:14",   2.5185,  -0.8889,   0.5710
"2000-08-16 11:30:15",   2.7653,  -1.0911,   0.2047
"2000-08-16 11:30:16",   2.8714,  -1.5907,  -0.1446
"2000-08-16 11:30:17",   2.7549,  -2.1906,  -0.3870
"2000-08-16 11:30:18",   2.8989,  -1.5808,  -0.5109
"2000-08-16 11:30:19",   2.1876,  -2.0189,  -0.2380
"2000-08-16 11:30:20",   1.8564,  -2.2830,  -0.3478
"2000-08-16 11:30:21",   0.8982,  -2.1328,  -0.2152
"2000-08-16 11:30:22",   2.1691,  -2.5664,   0.5578
"2000-08-16 11:30:23",   2.0081,  -2.1921,  -0.1625
"2000-08-16 11:30:24",   1.6142,  -1.7525,  -0.0695
"2000-08-16 11:30:25",   2.0412,  -1.8871,   0.2500
"2000-08-16 11:30:26",   2.0103,  -1.6670,   0.4526
"2000-08-16 11:30:27",   2.3309,  -1.8406,  -0.0118
"2000-08-16 11:30:28",   2.1333,  -1.9890,   0.4260
"2000-08-16 11:30:29",   2.1920,  -2.2220,   0.0864
"2000-08-16 11:30:30",   2.3981,  -2.1380,   0.0915
