# EBEX 2000, Kettleman City, CA, USA
# Turbulence data measured at 1 Hz by fast-anemometer at 6.4 m
# Start: 2000/08/04 11:00 PST
# u (m/s) : longitudinal wind vector component
# v (m/s) : lateral wind vector component
# w (m/s) : vertical wind vector component

"YYYY-MM-DD HH:MM:SS","u (m/s)","v (m/s)","w (m/s)"
"2000-08-04 11:00:00",   3.3590,  -0.1643,   0.4309
"2000-08-04 11:00:01",   3.1025,  -0.4332,  -0.0222
"2000-08-04 11:00:02",   2.9162,  -0.3752,  -0.3963
"2000-08-04 11:00:03",   2.7382,  -0.2645,  -0.5127
"2000-08-04 11:00:04",   2.6993,  -0.4569,  -0.2013
"2000-08-04 11:00:05",   2.0631,  -0.3541,   0.0850
"2000-08-04 11:00:06",   1.9117,  -0.3959,   0.2950
"2000-08-04 11:00:07",   2.1447,  -0.0694,  -0.1823
"2000-08-04 11:00:08",   1.9680,   0.0001,  -0.1202
"2000-08-04 11:00:09",   1.9874,   0.1602,  -0.1544
"2000-08-04 11:00:10",   2.1890,   0.3684,   0.3312
"2000-08-04 11:00:11",   2.6818,  -0.0486,   0.1563
"2000-08-04 11:00:12",   2.2693,   0.0958,   0.1980
"2000-08-04 11:00:13",   2.7442,  -0.0119,  -0.1168
"2000-08-04 11:00:14",   3.4650,  -0.3600,  -0.5583
"2000-08-04 11:00:15",   3.4988,  -0.0876,  -0.0136
"2000-08-04 11:00:16",   3.0717,  -0.1049,  -0.5825
"2000-08-04 11:00:17",   3.0629,  -0.1204,  -0.3278
"2000-08-04 11:00:18",   3.0376,  -0.1704,  -0.5685
"2000-08-04 11:00:19",   2.9794,  -0.3654,  -0.5042
"2000-08-04 11:00:20",   2.5677,  -0.4138,  -0.0317
"2000-08-04 11:00:21",   2.5161,  -0.1767,  -0.2174
"2000-08-04 11:00:22",   2.6354,  -0.6331,  -0.2208
"2000-08-04 11:00:23",   3.0088,  -0.3838,  -0.2910
"2000-08-04 11:00:24",   3.0451,  -0.7254,  -0.3918
"2000-08-04 11:00:25",   2.9996,  -0.7658,   0.1397
"2000-08-04 11:00:26",   2.8700,  -0.4395,  -0.5290
"2000-08-04 11:00:27",   2.8094,  -0.0030,  -0.3978
"2000-08-04 11:00:28",   2.4207,   0.1393,  -0.8301
"2000-08-04 11:00:29",   2.7331,   0.2998,  -0.0579
"2000-08-04 11:00:30",   2.8610,  -0.0244,  -0.0782
"2000-08-04 11:00:31",   2.9579,  -0.3006,  -0.2704
"2000-08-04 11:00:32",   2.8801,  -0.5115,  -0.0903
"2000-08-04 11:00:33",   2.8674,   0.0504,  -0.4176
"2000-08-04 11:00:34",   2.5512,  -0.4721,  -0.0984
"2000-08-04 11:00:35",   2.6767,  -0.4298,  -0.2934
"2000-08-04 11:00:36",   2.3622,  -0.6158,   0.0396
"2000-08-04 11:00:37",   2.2328,  -0.4012,  -0.1008
"2000-08-04 11:00:38",   2.3032,  -0.1512,  -0.1187
"2000-08-04 11:00:39",   1.8017,   0.1119,   0.6122
"2000-08-04 11:00:40",   1.6855,  -0.0112,   0.4474
"2000-08-04 11:00:41",   1.7785,   0.0412,   0.3883
"2000-08-04 11:00:42",   1.6680,  -0.1761,   0.0384
"2000-08-04 11:00:43",   2.3768,  -0.5899,  -0.2320
"2000-08-04 11:00:44",   2.3691,  -0.4717,   0.1627
"2000-08-04 11:00:45",   2.6689,  -0.5207,   0.1005
"2000-08-04 11:00:46",   2.4610,  -0.7216,   0.1121
"2000-08-04 11:00:47",   2.6231,  -0.6313,   0.0580
"2000-08-04 11:00:48",   2.7421,  -0.3135,  -0.1721
"2000-08-04 11:00:49",   2.9507,  -0.8814,  -0.3777
"2000-08-04 11:00:50",   2.7327,  -0.8822,  -0.3732
"2000-08-04 11:00:51",   2.8160,  -0.6866,  -0.5808
"2000-08-04 11:00:52",   2.8205,  -0.5819,  -0.3603
"2000-08-04 11:00:53",   2.5821,  -0.8654,  -0.1976
"2000-08-04 11:00:54",   2.6003,  -0.7602,  -0.0599
"2000-08-04 11:00:55",   2.7259,  -0.2647,  -0.4364
"2000-08-04 11:00:56",   2.7501,  -0.2841,  -0.5204
"2000-08-04 11:00:57",   2.1879,  -0.1574,  -0.3094
"2000-08-04 11:00:58",   3.0382,  -0.3933,  -0.4967
"2000-08-04 11:00:59",   2.9338,  -0.5760,  -0.0096
"2000-08-04 11:01:00",   2.2562,  -1.2355,  -0.0477
"2000-08-04 11:01:01",   3.2032,  -0.4843,  -0.1332
"2000-08-04 11:01:02",   2.7893,  -0.3661,  -0.0110
"2000-08-04 11:01:03",   3.4111,  -0.7842,  -0.4217
"2000-08-04 11:01:04",   3.5977,  -0.7835,  -0.2860
"2000-08-04 11:01:05",   3.8230,  -0.3382,  -0.0292
"2000-08-04 11:01:06",   2.6972,  -1.0687,  -0.2596
"2000-08-04 11:01:07",   2.4811,  -1.8589,  -0.4386
"2000-08-04 11:01:08",   2.5831,  -1.0805,   0.0694
"2000-08-04 11:01:09",   3.0383,  -0.9606,   0.0094
"2000-08-04 11:01:10",   3.1115,  -0.9006,  -0.1053
"2000-08-04 11:01:11",   3.2014,  -2.4783,  -0.0152
"2000-08-04 11:01:12",   2.9215,  -1.4156,   0.8012
"2000-08-04 11:01:13",   2.7536,  -0.8706,   0.8222
"2000-08-04 11:01:14",   3.4011,  -1.9850,   0.2177
"2000-08-04 11:01:15",   3.2554,  -1.1824,  -0.1908
"2000-08-04 11:01:16",   2.2817,  -1.8092,   0.6853
"2000-08-04 11:01:17",   2.3505,  -1.7796,   0.0172
"2000-08-04 11:01:18",   2.7189,  -1.7682,   0.2493
"2000-08-04 11:01:19",   2.7091,  -1.0836,   0.1734
"2000-08-04 11:01:20",   2.4837,  -0.7894,  -0.0125
"2000-08-04 11:01:21",   2.5174,   0.5221,   0.6402
"2000-08-04 11:01:22",   2.5919,  -0.0709,   0.4992
"2000-08-04 11:01:23",   3.8771,  -0.2799,   0.3763
"2000-08-04 11:01:24",   3.6379,  -0.2502,  -0.1860
"2000-08-04 11:01:25",   3.5739,  -0.7349,  -0.2306
"2000-08-04 11:01:26",   3.2588,  -0.7618,  -0.0016
"2000-08-04 11:01:27",   3.4108,  -0.7586,  -0.2998
"2000-08-04 11:01:28",   2.9449,  -1.1735,   0.2862
"2000-08-04 11:01:29",   2.7248,  -0.9470,   0.4332
"2000-08-04 11:01:30",   3.4671,  -0.6293,  -0.1282
"2000-08-04 11:01:31",   3.1645,  -0.1963,  -0.1889
"2000-08-04 11:01:32",   3.2099,  -0.4300,  -0.3516
"2000-08-04 11:01:33",   3.0198,  -0.8345,   0.1712
"2000-08-04 11:01:34",   3.4458,  -0.6349,  -0.3671
"2000-08-04 11:01:35",   3.2195,  -0.5697,   0.2915
"2000-08-04 11:01:36",   3.3631,  -0.4465,  -0.1789
"2000-08-04 11:01:37",   2.8771,  -0.5492,  -0.1355
"2000-08-04 11:01:38",   3.5178,  -0.4911,   0.1276
"2000-08-04 11:01:39",   3.4151,  -0.0307,  -0.1761
"2000-08-04 11:01:40",   3.5528,  -0.2116,  -0.2739
"2000-08-04 11:01:41",   3.3338,  -0.3400,  -0.1336
"2000-08-04 11:01:42",   2.8529,  -0.8474,   0.6798
"2000-08-04 11:01:43",   3.2208,  -0.9401,   0.1471
"2000-08-04 11:01:44",   3.2520,  -0.1835,  -0.5694
"2000-08-04 11:01:45",   3.1905,  -0.4811,  -0.4478
"2000-08-04 11:01:46",   2.9729,  -0.6355,   0.1327
"2000-08-04 11:01:47",   3.1083,  -0.2132,   0.1157
"2000-08-04 11:01:48",   3.2537,  -0.2820,  -0.4745
"2000-08-04 11:01:49",   3.3196,  -0.3032,  -0.1346
"2000-08-04 11:01:50",   3.2903,   0.0017,  -0.5256
"2000-08-04 11:01:51",   2.9102,   0.0331,  -0.1764
"2000-08-04 11:01:52",   2.2783,  -0.1238,   0.2590
"2000-08-04 11:01:53",   2.4561,   0.0277,   0.4028
"2000-08-04 11:01:54",   2.3890,   0.0509,   0.4913
"2000-08-04 11:01:55",   2.2623,   0.0064,   0.2838
"2000-08-04 11:01:56",   2.0989,  -0.1440,  -0.0760
"2000-08-04 11:01:57",   2.5654,  -0.1598,   0.1549
"2000-08-04 11:01:58",   2.1487,  -0.0613,   0.3061
"2000-08-04 11:01:59",   2.1398,   0.1763,   0.3760
"2000-08-04 11:02:00",   2.1883,   0.1564,   0.1068
"2000-08-04 11:02:01",   1.4994,  -0.2405,   0.2505
"2000-08-04 11:02:02",   1.6948,  -0.1755,   0.5551
"2000-08-04 11:02:03",   2.1574,  -0.0928,   0.4410
"2000-08-04 11:02:04",   1.8184,  -0.1909,   0.3365
"2000-08-04 11:02:05",   1.7388,  -0.5515,   0.3906
"2000-08-04 11:02:06",   1.8472,  -0.2530,   0.2388
"2000-08-04 11:02:07",   1.5510,  -0.2052,   0.3836
"2000-08-04 11:02:08",   1.8450,  -0.6843,   0.3869
"2000-08-04 11:02:09",   1.4341,  -0.1241,   0.3881
"2000-08-04 11:02:10",   1.8825,  -0.5114,  -0.0769
"2000-08-04 11:02:11",   1.7588,  -0.1389,   0.0271
"2000-08-04 11:02:12",   1.5155,  -0.3317,   0.3244
"2000-08-04 11:02:13",   1.6410,  -0.3193,   0.6447
"2000-08-04 11:02:14",   1.1948,  -0.6510,   0.3507
"2000-08-04 11:02:15",   1.5801,  -0.3626,   0.5966
"2000-08-04 11:02:16",   1.8115,  -0.5475,   0.4721
"2000-08-04 11:02:17",   1.9246,  -0.2898,   0.2875
"2000-08-04 11:02:18",   2.6765,   0.3103,  -0.0100
"2000-08-04 11:02:19",   2.9777,   0.6080,  -0.0225
"2000-08-04 11:02:20",   2.2733,   0.5817,   0.3611
"2000-08-04 11:02:21",   2.7736,   0.3726,  -1.2032
"2000-08-04 11:02:22",   3.1817,  -0.2521,  -0.3265
"2000-08-04 11:02:23",   2.7069,  -0.7201,  -0.2891
"2000-08-04 11:02:24",   2.4877,   0.3951,  -0.9114
"2000-08-04 11:02:25",   2.2153,   0.1200,   0.1664
"2000-08-04 11:02:26",   2.3555,  -0.2811,   0.8046
"2000-08-04 11:02:27",   2.5791,   0.2439,  -0.1161
"2000-08-04 11:02:28",   2.6480,   0.4067,   0.0875
"2000-08-04 11:02:29",   2.8475,   0.7017,  -0.5665
"2000-08-04 11:02:30",   3.0538,   0.2000,  -0.6391
"2000-08-04 11:02:31",   2.7319,   0.2238,  -0.5613
"2000-08-04 11:02:32",   2.0971,  -0.3690,   0.0367
"2000-08-04 11:02:33",   2.7798,   0.6241,  -0.2781
"2000-08-04 11:02:34",   2.5791,   0.3511,   0.1317
"2000-08-04 11:02:35",   2.9954,   0.0690,  -0.1805
"2000-08-04 11:02:36",   3.1060,   0.3811,   0.0857
"2000-08-04 11:02:37",   2.6040,   0.9457,  -0.1074
"2000-08-04 11:02:38",   2.5583,   1.2937,   0.2341
"2000-08-04 11:02:39",   2.7007,   0.9385,  -0.3076
"2000-08-04 11:02:40",   2.3764,   0.4017,   0.5443
"2000-08-04 11:02:41",   2.7991,   0.6729,   0.0401
"2000-08-04 11:02:42",   2.7917,   0.5862,   0.0384
"2000-08-04 11:02:43",   3.1288,   0.3449,  -0.2947
"2000-08-04 11:02:44",   3.0902,   0.3067,  -0.2020
"2000-08-04 11:02:45",   2.9673,   0.8140,  -0.1285
"2000-08-04 11:02:46",   3.1849,   0.8101,   0.0694
"2000-08-04 11:02:47",   2.5876,   0.4626,  -0.0665
"2000-08-04 11:02:48",   2.5781,   0.4561,  -0.2449
"2000-08-04 11:02:49",   2.6137,   0.6960,  -0.1805
"2000-08-04 11:02:50",   2.5448,   0.6628,  -0.0862
"2000-08-04 11:02:51",   2.4395,   0.7605,  -0.3076
"2000-08-04 11:02:52",   2.7589,   0.4323,  -0.3093
"2000-08-04 11:02:53",   2.4420,   0.5608,  -0.3893
"2000-08-04 11:02:54",   2.3359,   0.5977,  -0.3284
"2000-08-04 11:02:55",   2.5044,   0.4640,  -0.2046
"2000-08-04 11:02:56",   2.7524,   0.7019,  -0.0885
"2000-08-04 11:02:57",   2.7732,   0.7064,  -0.0634
"2000-08-04 11:02:58",   2.7861,   0.2846,  -0.1588
"2000-08-04 11:02:59",   2.2096,   0.0956,  -0.1742
"2000-08-04 11:03:00",   2.0478,   0.0074,   0.2660
"2000-08-04 11:03:01",   2.7128,   0.3624,  -0.1794
"2000-08-04 11:03:02",   2.4950,   0.3491,  -0.2674
"2000-08-04 11:03:03",   2.1309,   0.4174,  -0.4457
"2000-08-04 11:03:04",   2.0810,   0.5620,  -0.3707
"2000-08-04 11:03:05",   1.9875,   0.5443,  -0.3132
"2000-08-04 11:03:06",   2.5388,   0.1370,  -0.3889
"2000-08-04 11:03:07",   2.4418,   0.3431,  -0.2002
"2000-08-04 11:03:08",   2.4300,   0.6098,  -0.6438
"2000-08-04 11:03:09",   2.1697,   0.4249,  -0.1253
"2000-08-04 11:03:10",   2.4721,   0.0538,   0.5067
"2000-08-04 11:03:11",   2.0213,  -0.2056,   0.3836
"2000-08-04 11:03:12",   2.1424,   0.2382,   0.0294
"2000-08-04 11:03:13",   2.0450,  -0.0124,   0.2251
"2000-08-04 11:03:14",   2.2272,  -0.0182,   0.2076
"2000-08-04 11:03:15",   1.7994,   0.3080,  -0.0325
"2000-08-04 11:03:16",   1.6964,   0.6021,   0.2711
"2000-08-04 11:03:17",   1.7931,   0.8169,  -0.0436
"2000-08-04 11:03:18",   1.5700,   0.6816,  -0.2231
"2000-08-04 11:03:19",   1.0047,   0.9721,   0.1829
"2000-08-04 11:03:20",   0.6915,   0.9344,   0.4586
"2000-08-04 11:03:21",   1.1723,   0.9699,   0.2143
"2000-08-04 11:03:22",   0.9294,   1.1697,  -0.1447
"2000-08-04 11:03:23",   1.5125,   0.8685,  -0.0760
"2000-08-04 11:03:24",   2.0217,   0.5672,  -0.0989
"2000-08-04 11:03:25",   1.8661,   0.9226,  -0.2203
"2000-08-04 11:03:26",   2.0120,   1.0802,  -0.2487
"2000-08-04 11:03:27",   1.7500,   1.1051,   0.1235
"2000-08-04 11:03:28",   1.9108,   0.7054,   0.2307
"2000-08-04 11:03:29",   1.9623,   0.8873,   0.2755
"2000-08-04 11:03:30",   2.1628,   0.8790,  -0.0818
"2000-08-04 11:03:31",   2.1613,   0.7110,  -0.0644
"2000-08-04 11:03:32",   2.2733,   0.7029,  -0.1790
"2000-08-04 11:03:33",   2.6112,   0.5674,  -0.0176
"2000-08-04 11:03:34",   2.6650,   0.7448,  -0.0316
"2000-08-04 11:03:35",   2.2357,   0.4713,   0.1542
"2000-08-04 11:03:36",   2.0992,   0.7334,   0.1764
"2000-08-04 11:03:37",   2.6426,   0.8226,  -0.1825
"2000-08-04 11:03:38",   2.6350,   0.7916,  -0.1847
"2000-08-04 11:03:39",   3.0415,   0.7173,  -0.3730
"2000-08-04 11:03:40",   2.2749,   1.5013,  -0.2317
"2000-08-04 11:03:41",   2.6187,   1.0515,  -0.1846
"2000-08-04 11:03:42",   2.8376,   0.9789,  -0.0883
"2000-08-04 11:03:43",   2.5555,   1.5343,  -0.0276
"2000-08-04 11:03:44",   2.9639,   0.6007,  -0.0697
"2000-08-04 11:03:45",   2.6961,   0.4554,  -0.0242
"2000-08-04 11:03:46",   2.5678,  -0.6518,   0.0874
"2000-08-04 11:03:47",   2.1802,  -0.1201,   0.4201
"2000-08-04 11:03:48",   2.3645,   0.1100,   0.5891
"2000-08-04 11:03:49",   3.3843,   0.1577,   0.5233
"2000-08-04 11:03:50",   2.9053,   0.0021,  -0.1903
"2000-08-04 11:03:51",   3.0530,  -1.4651,  -0.1273
"2000-08-04 11:03:52",   3.6982,  -1.9109,   0.0128
"2000-08-04 11:03:53",   2.8062,  -0.3247,   0.4799
"2000-08-04 11:03:54",   2.0432,  -0.3932,   0.4726
"2000-08-04 11:03:55",   2.3860,  -0.9375,   0.2504
"2000-08-04 11:03:56",   2.1404,  -0.3123,   0.1204
"2000-08-04 11:03:57",   1.8087,  -0.9284,   0.2873
"2000-08-04 11:03:58",   2.3061,  -0.9128,   0.5696
"2000-08-04 11:03:59",   2.1786,  -1.1339,   0.5962
"2000-08-04 11:04:00",   2.0579,  -1.4017,   0.3537
"2000-08-04 11:04:01",   2.1879,  -1.5060,   0.6235
"2000-08-04 11:04:02",   1.9201,  -0.8776,   0.9697
"2000-08-04 11:04:03",   2.4994,  -0.0609,  -0.0401
"2000-08-04 11:04:04",   1.8119,  -0.0262,   0.4001
"2000-08-04 11:04:05",   2.1772,  -0.4106,  -0.1978
"2000-08-04 11:04:06",   2.3929,  -0.2617,  -0.1509
"2000-08-04 11:04:07",   1.7197,  -0.9148,   0.3827
"2000-08-04 11:04:08",   2.2764,  -0.4542,   0.0206
"2000-08-04 11:04:09",   1.7463,   0.0090,   0.4573
"2000-08-04 11:04:10",   1.3469,  -0.9999,   0.2663
"2000-08-04 11:04:11",   2.6918,  -1.2325,  -0.0557
"2000-08-04 11:04:12",   2.9613,  -0.7256,  -0.2594
"2000-08-04 11:04:13",   2.5445,  -0.3832,  -0.6379
"2000-08-04 11:04:14",   2.3435,  -0.8143,   0.1067
"2000-08-04 11:04:15",   2.2674,  -0.4255,  -0.1662
"2000-08-04 11:04:16",   2.5795,  -0.4484,  -0.4713
"2000-08-04 11:04:17",   2.6343,  -0.5017,  -0.2858
"2000-08-04 11:04:18",   2.5002,  -0.6468,  -0.3462
"2000-08-04 11:04:19",   2.4818,  -0.9179,  -0.3740
"2000-08-04 11:04:20",   2.0552,  -0.6469,  -0.0468
"2000-08-04 11:04:21",   2.2213,  -0.2901,   0.0885
"2000-08-04 11:04:22",   2.0009,  -1.0964,   0.0148
"2000-08-04 11:04:23",   2.2225,  -1.3474,   0.1626
"2000-08-04 11:04:24",   2.4437,  -1.0897,   0.2859
"2000-08-04 11:04:25",   2.4318,  -0.8341,  -0.0977
"2000-08-04 11:04:26",   3.6330,  -0.4661,  -0.3290
"2000-08-04 11:04:27",   3.3367,  -0.4196,  -0.5085
"2000-08-04 11:04:28",   2.5680,  -0.5196,  -0.1466
"2000-08-04 11:04:29",   2.7968,  -1.2195,   0.1764
"2000-08-04 11:04:30",   2.4876,  -1.2336,   0.1730
"2000-08-04 11:04:31",   2.7689,  -1.2086,  -0.1595
"2000-08-04 11:04:32",   2.2212,  -1.3343,   0.1978
"2000-08-04 11:04:33",   2.8001,  -1.3637,  -0.1393
"2000-08-04 11:04:34",   3.0257,  -1.5566,  -0.1825
