# EBEX 2000, Kettleman City, CA, USA
# Turbulence data measured at 1 Hz by fast-anemometer at 6.4 m
# Start: 2000/08/04 11:30 PST
# u (m/s) : longitudinal wind vector component
# v (m/s) : lateral wind vector component
# w (m/s) : vertical wind vector component

"YYYY-MM-DD HH:MM:SS","u (m/s)","v (m/s)","w (m/s)"
"2000-08-04 11:30:00",   3.2614,  -0.1083,  -0.2525
"2000-08-04 11:30:01",   3.2529,   0.0226,  -0.2028
"2000-08-04 11:30:02",   3.2421,   0.0145,  -0.2880
"2000-08-04 11:30:03",   2.9894,   0.3029,  -0.2251
"2000-08-04 11:30:04",   2.9462,  -0.0020,   0.1427
"2000-08-04 11:30:05",   3.5515,   0.2225,  -0.2761
"2000-08-04 11:30:06",   3.2365,   0.2670,  -0.3241
"2000-08-04 11:30:07",   2.7406,  -0.5876,   0.0476
"2000-08-04 11:30:08",   3.0542,   0.3734,  -0.7122
"2000-08-04 11:30:09",   3.0161,  -0.0436,  -0.4553
"2000-08-04 11:30:10",   3.4100,  -0.1049,  -0.4998
"2000-08-04 11:30:11",   3.5802,  -0.3952,  -0.1329
"2000-08-04 11:30:12",   3.5068,  -0.0047,  -0.0235
"2000-08-04 11:30:13",   3.6580,   0.1528,   0.0058
"2000-08-04 11:30:14",   3.5527,   0.2455,  -0.1644
"2000-08-04 11:30:15",   3.1122,   0.5028,  -0.0256
"2000-08-04 11:30:16",   3.3582,   0.3039,   0.0672
"2000-08-04 11:30:17",   3.0902,   0.5878,   0.1741
"2000-08-04 11:30:18",   3.2212,   0.5494,  -0.2445
"2000-08-04 11:30:19",   2.9955,   0.1981,   0.1761
"2000-08-04 11:30:20",   3.6182,   0.0949,   0.1754
"2000-08-04 11:30:21",   3.4766,   0.3405,   0.0432
"2000-08-04 11:30:22",   3.3044,   0.2650,  -0.3355
"2000-08-04 11:30:23",   2.6284,   0.2378,   0.3973
"2000-08-04 11:30:24",   2.9834,   0.3906,   0.0434
"2000-08-04 11:30:25",   3.1655,   0.1905,   0.2944
"2000-08-04 11:30:26",   3.4020,   0.0843,  -0.0302
"2000-08-04 11:30:27",   3.2351,   0.2685,  -0.0498
"2000-08-04 11:30:28",   3.8928,   0.2589,  -0.0678
