# EBEX 2000, Kettleman City, CA, USA
# Turbulence data measured at 1 Hz by fast-anemometer at 6.4 m
# Start: 2000/08/16 16:00 PST
# u (m/s) : longitudinal wind vector component
# v (m/s) : lateral wind vector component
# w (m/s) : vertical wind vector component

"YYYY-MM-DD HH:MM:SS","u (m/s)","v (m/s)","w (m/s)"
"2000-08-16 16:00:00",   3.0234,   0.0251,   0.0347
"2000-08-16 16:00:01",   2.9559,   0.2306,   0.0765
"2000-08-16 16:00:02",   2.7857,   0.5960,  -0.1003
"2000-08-16 16:00:03",   2.5467,   0.2985,  -0.0120
"2000-08-16 16:00:04",   2.6933,   0.1557,   0.0726
"2000-08-16 16:00:05",   2.7790,   0.0264,  -0.1063
"2000-08-16 16:00:06",   2.5768,   0.0706,  -0.2066
"2000-08-16 16:00:07",   2.7071,  -0.0767,  -0.0800
"2000-08-16 16:00:08",   2.9441,  -0.1070,   0.0275
"2000-08-16 16:00:09",   3.4140,   0.1874,   0.1824
"2000-08-16 16:00:10",   3.6888,   0.7365,   0.0303
"2000-08-16 16:00:11",   3.7835,   0.6082,  -0.0529
"2000-08-16 16:00:12",   3.5425,   0.3172,  -0.4693
"2000-08-16 16:00:13",   3.7644,   0.1658,  -0.2408
"2000-08-16 16:00:14",   3.5607,   0.0690,  -0.6308
"2000-08-16 16:00:15",   3.4142,   0.3612,  -0.2789
"2000-08-16 16:00:16",   3.8368,  -0.4843,  -0.3905
"2000-08-16 16:00:17",   3.3869,   0.0235,  -0.1456
"2000-08-16 16:00:18",   3.3873,   0.0949,  -0.0459
"2000-08-16 16:00:19",   3.7037,   0.1660,  -0.2161
"2000-08-16 16:00:20",   3.3935,   0.0303,   0.0728
"2000-08-16 16:00:21",   3.2554,   0.4404,  -0.0793
"2000-08-16 16:00:22",   3.1423,   0.8385,  -0.1699
"2000-08-16 16:00:23",   3.1191,   0.8071,   0.2269
"2000-08-16 16:00:24",   2.8860,   0.6402,   0.1854
"2000-08-16 16:00:25",   2.6211,   0.3882,   0.5363
"2000-08-16 16:00:26",   2.3912,   0.3784,   0.2853
"2000-08-16 16:00:27",   3.3781,  -0.1143,  -0.4679
"2000-08-16 16:00:28",   2.9363,  -0.0144,   0.1844
"2000-08-16 16:00:29",   3.0034,   0.1657,   0.3540
"2000-08-16 16:00:30",   3.1867,   1.1166,   0.3658
"2000-08-16 16:00:31",   3.5564,   0.6389,  -0.0727
"2000-08-16 16:00:32",   3.5450,   0.3094,   0.0323
"2000-08-16 16:00:33",   3.5869,   0.3186,   0.1535
"2000-08-16 16:00:34",   3.1129,   0.4163,  -0.0829
"2000-08-16 16:00:35",   2.9877,   0.0699,  -0.2023
"2000-08-16 16:00:36",   2.7124,   0.5106,   0.4301
"2000-08-16 16:00:37",   3.1558,   0.2120,  -0.1662
"2000-08-16 16:00:38",   3.3512,   0.2766,  -0.0922
"2000-08-16 16:00:39",   2.9673,   0.1303,  -0.1463
